Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G185E-4260,Rv0143c,168703,170182,G185E-4260-MONOMER,NC_000962.3
G185E-6734,Rv2498c,2812354,2813176,G185E-6734-MONOMER,NC_000962.3
G185E-7224,Rv2970c,3324572,3325703,G185E-7224-MONOMER,NC_000962.3
G185E-4707,Rv0573c,665850,667242,G185E-4707-MONOMER,NC_000962.3
G185E-7690,Rv3413c,3832145,3833045,G185E-7690-MONOMER,NC_000962.3
G185E-5275,Rv1110,1236184,1237192,G185E-5275-MONOMER,NC_000962.3
G185E-8189,Rv3891c,4374048,4374372,G185E-8189-MONOMER,NC_000962.3
G185E-5741,Rv1553,1759434,1760178,G185E-5741-MONOMER,NC_000962.3
G185E-6196,Rv1994c,2237627,2237984,G185E-6196-MONOMER,NC_000962.3
G185E-4244,Rv0127,154231,155599,G185E-4244-MONOMER,NC_000962.3
G185E-7196,Rv2943,3288463,3289705,G185E-7196-MONOMER,NC_000962.3
G185E-4689,Rv0556,647958,648474,G185E-4689-MONOMER,NC_000962.3
G185E-7666,Rv3390,3804864,3805575,G185E-7666-MONOMER,NC_000962.3
G185E-5256,Rv1092c,1219247,1220186,G185E-5256-MONOMER,NC_000962.3
G185E-8173,Rv3875,4352608,4352896,G185E-8173-MONOMER,NC_000962.3
G185E-5724,Rv1536,1736518,1739644,G185E-5724-MONOMER,NC_000962.3
G185E-6177,Rv1978,2220907,2221756,G185E-6177-MONOMER,NC_000962.3
G185E-4226,Rv0109,131381,132872,G185E-4226-MONOMER,NC_000962.3
G185E-7176,Rv2923c,3238085,3238499,G185E-7176-MONOMER,NC_000962.3
G185E-4671,Rv0538,630039,631686,G185E-4671-MONOMER,NC_000962.3
G185E-7646,Rv3370c,3781500,3784740,G185E-7646-MONOMER,NC_000962.3
G185E-5234,Rv1072,1196278,1197115,G185E-5234-MONOMER,NC_000962.3
G185E-5127,Rv0971c,1081774,1082584,G185E-5127-MONOMER,NC_000962.3
G185E-8156,Rv3858c,4330038,4331505,G185E-8156-MONOMER,NC_000962.3
