reaction,keff
2O4EH,65
3HBCOAHL,65
3M2OPLOXRD,65
5DGLCNR,65
ABTA,65
ACACT1r,65
ACALD,65
ACBIPGT,65
ACCA3,65
ACCC_1,65
ACCD3,65
ACCOAC,65
ACChex,65
ACGAMPM,65
ACGAMT,65
ACGK,65
ACGS,65
ACHBS,65
ACKr,65
ACLS,65
ACOADH1,65
ACONMT,65
ACONT,65
ACOTA,65
ACP1_FMN,65
ACPS1,65
ACS,65
ACS2,65
ACYP_2,65
ADA,65
ADCL,65
ADCPS1,65
ADCPS2,65
ADCS,65
ADCYRS,65
ADK1,65
ADK2,65
ADNCYC,65
ADNK1,65
ADNK3,65
ADNK4,65
ADOCBIAH,65
ADOCBIK,65
ADOCBLS,65
ADOCBLabc,65
ADPT,65
ADSK,65
ADSL1r,65
ADSL2r,65
ADSS,65
AFTA,65
AGDC,65
AGPAT160,65
AGPAT160190,65
AGPAT190,65
AGPR,65
AHCYSNS,65
AHCi,65
AHMMPS,65
AHSERL2,65
AICART,65
AIRCr,65
AKGDa,65
AKGDb,65
AL4D,65
ALAALAD,65
ALAALAr,65
ALAD_L,65
ALAR,65
ALCD19y,65
ALCD22_L,65
ALCD2ir,65
ALDD1,65
ALDD19xr,65
ALDD2x,65
AMAOTr,65
AMID4,65
AMPTASECG,65
AMYL2,65
ANPRT,65
ANS,65
AOXSr,65
APRAUR,65
APSR,65
ARABT,65
ARGDC,65
ARGDr,65
ARGSL,65
ARGSS,65
ARGt5r,65
ASAD,65
ASNN,65
ASNS1,65
ASNt2r,65
ASP1DC,65
ASPCT,65
ASPK,65
ASPO5,65
ASPO6,65
ASPTA,65
ASPt2r,65
ATPPRT,65
ATPS4r,65
BACCL,65
BALAt2r,65
BETALDHx,65
BIRA,65
BKDA2,65
BKDC,65
BKDC1,65
BPNT,65
BPNT2,65
BTS2,65
BTS3r,65
CAATPS,65
CAT,65
CAt4,65
CBIAT,65
CBPS,65
CDAPPA160,65
CDAPPA160190,65
CDAPPA190,65
CDPMEK,65
CDPPT160,65
CDPPT160190,65
CHLabc,65
CHLabc_rev,65
CHOD,65
CHOL1,65
CHOLCOA,65
CHOLK,65
CHORM,65
CHORS,65
CHRPL,65
CHSTEROLt_1,65
CIGAMS,65
CITL,65
CLPNS160190,65
CMCBTFL,65
CMCBTFU,65
CMLDC,65
COBALTt5,65
COCHL,65
COCO2,65
CPC6R,65
CPMPS,65
CPPPGO,65
CPPPGO2,65
CRNabc,65
CS,65
CTPS1,65
CTPS2,65
CYANST,65
CYO1a,65
CYO1b,65
CYP1,65
CYP2,65
CYP3,65
CYRDAAT,65
CYSK2_I,65
CYSM_I,65
CYSM_II,65
CYSO_I,65
CYSO_II,65
CYSS,65
CYSTL,65
CYSTS,65
CYST_II,65
CYTBD,65
CYTBD2,65
CYTD,65
CYTK1,65
CYTK2,65
Clt,65
Cuabc,65
Cut1,65
DAGK160,65
DALAOX,65
DALAt2r,65
DAPDC,65
DAPE,65
DASYN160,65
DASYN160190,65
DASYN190190,65
DB4PS,65
DBTS,65
DCPDP,65
DCPDPP,65
DCPE,65
DCPT,65
DCTPD,65
DCTPD2,65
DDPA,65
DESAT16,65
DESAT18,65
DGC3D,65
DGK1,65
DGTP8DETOX,65
DHAD1,65
DHAD2,65
DHDPRy,65
DHDPS,65
DHFR_copy1,65
DHFR_copy2,65
DHFS,65
DHNAOT,65
DHNPA2r,65
DHNPA_1,65
DHORD2,65
