,value
TU185E-1516,['G185E-7131']
TU185E-1743,['G185E-7620']
TU185E-2197,['G185E-7060']
TU185E-382,['G185E-4869']
TU185E-5156,['G185E-4112']
TU185E-5157,"['G185E-4115', 'G185E-4114', 'G185E-4113']"
TU185E-5158,"['G185E-4117', 'G185E-4116']"
TU185E-5159,['G185E-4118']
TU185E-5160,"['G185E-4120', 'G185E-4119']"
TU185E-5161,['G185E-4123']
TU185E-5162,['G185E-4124']
TU185E-5163,"['G185E-4126', 'G185E-4125']"
TU185E-5164,"['G185E-4131', 'G185E-4130', 'G185E-4129', 'G185E-4128', 'G185E-4127']"
TU185E-5165,['G185E-4132']
TU185E-5166,['G185E-4133']
TU185E-5167,['G185E-4135']
TU185E-5168,['G185E-4136']
TU185E-5169,"['G185E-4139', 'G185E-4138', 'G185E-4137']"
TU185E-5170,['G185E-4140']
TU185E-5171,"['G185E-4142', 'G185E-4141']"
TU185E-5172,['G185E-4143']
TU185E-5173,"['G185E-4145', 'G185E-4144']"
TU185E-5174,"['G185E-4149', 'G185E-4148', 'G185E-4147', 'G185E-4146']"
TU185E-5175,['G185E-4150']
TU185E-5176,['G185E-4151']
TU185E-5177,['G185E-4153']
TU185E-5178,['G185E-4154']
TU185E-5179,['G185E-4156']
TU185E-5180,['G185E-4157']
TU185E-5181,"['G185E-4159', 'G185E-4158']"
TU185E-5182,['G185E-4160']
TU185E-5183,['G185E-4161']
TU185E-5184,['G185E-4162']
TU185E-5185,['G185E-4163']
TU185E-5186,"['G185E-4166', 'G185E-4165', 'G185E-4164']"
TU185E-5187,['G185E-4167']
TU185E-5188,['G185E-4168']
TU185E-5189,"['G185E-4171', 'G185E-4170', 'G185E-4169']"
TU185E-5190,['G185E-4172']
TU185E-5191,"['G185E-4174', 'G185E-4173']"
TU185E-5192,['G185E-4176']
TU185E-5193,['G185E-4177']
TU185E-5194,"['G185E-4180', 'G185E-4179', 'G185E-4178']"
TU185E-5195,['G185E-4181']
TU185E-5196,['G185E-4182']
TU185E-5197,"['G185E-4185', 'G185E-4184']"
TU185E-5198,['G185E-4186']
TU185E-5199,"['G185E-4188', 'G185E-4187']"
TU185E-5200,"['G185E-4190', 'G185E-4189']"
TU185E-5201,['G185E-4191']
TU185E-5202,['G185E-4192']
TU185E-5203,"['G185E-4195', 'G185E-4194']"
TU185E-5204,"['G185E-4197', 'G185E-4196']"
TU185E-5205,"['G185E-4205', 'G185E-4204', 'G185E-4203', 'G185E-4202', 'G185E-4201', 'G185E-4200', 'G185E-4199', 'G185E-4198']"
TU185E-5206,['G185E-4206']
TU185E-5207,['G185E-4207']
TU185E-5208,['G185E-4208']
TU185E-5209,['G185E-4209']
TU185E-5210,['G185E-4210']
TU185E-5211,['G185E-4211']
TU185E-5212,['G185E-4212']
TU185E-5213,"['G185E-4218', 'G185E-4217', 'G185E-4216', 'G185E-4215', 'G185E-4214', 'G185E-4213']"
TU185E-5214,['G185E-4219']
TU185E-5215,['G185E-4224']
TU185E-5216,['G185E-4225']
TU185E-5217,['G185E-4226']
TU185E-5218,['G185E-4227']
TU185E-5219,['G185E-4228']
TU185E-5220,['G185E-4229']
TU185E-5221,"['G185E-4232', 'G185E-4231', 'G185E-4230']"
TU185E-5222,['G185E-4237']
TU185E-5223,['G185E-4238']
TU185E-5224,"['G185E-4240', 'G185E-4239']"
TU185E-5225,['G185E-4241']
TU185E-5226,['G185E-4242']
TU185E-5227,"['G185E-4244', 'G185E-4243']"
TU185E-5228,['G185E-4245']
TU185E-5229,['G185E-4248']
TU185E-5230,['G185E-4249']
TU185E-5231,['G185E-4250']
TU185E-5232,['G185E-4251']
TU185E-5233,"['G185E-4256', 'G185E-4255']"
TU185E-5234,['G185E-4257']
TU185E-5235,['G185E-4261']
TU185E-5236,['G185E-4262']
TU185E-5237,['G185E-4263']
TU185E-5238,['G185E-4264']
TU185E-5239,"['G185E-4266', 'G185E-4265']"
TU185E-5240,['G185E-4267']
TU185E-5241,"['G185E-4269', 'G185E-4268']"
TU185E-5242,"['G185E-4271', 'G185E-4270']"
TU185E-5243,"['G185E-4274', 'G185E-4273', 'G185E-4272']"
TU185E-5244,['G185E-4277']
TU185E-5245,['G185E-4278']
TU185E-5246,['G185E-4281']
TU185E-5247,['G185E-4282']
TU185E-5248,['G185E-4284']
TU185E-5249,"['G185E-4296', 'G185E-4295', 'G185E-4294', 'G185E-4293', 'G185E-4292', 'G185E-4291', 'G185E-4290', 'G185E-4289', 'G185E-4288', 'G185E-4287', 'G185E-4286', 'G185E-4285']"
TU185E-5250,['G185E-4297']
TU185E-5251,"['G185E-4300', 'G185E-4299', 'G185E-4298']"
TU185E-5252,['G185E-4301']
TU185E-5253,"['G185E-4303', 'G185E-4302']"
TU185E-5254,['G185E-4304']
TU185E-5255,['G185E-4306']
TU185E-5256,['G185E-4307']
TU185E-5257,['G185E-4309']
TU185E-5258,"['G185E-4311', 'G185E-4310']"
TU185E-5259,['G185E-4312']
TU185E-5260,['G185E-4314']
TU185E-5261,['G185E-4315']
TU185E-5262,"['G185E-4317', 'G185E-4316']"
TU185E-5263,"['G185E-4320', 'G185E-4319']"
TU185E-5264,"['G185E-4322', 'G185E-4321']"
TU185E-5265,['G185E-4326']
TU185E-5266,"['G185E-4328', 'G185E-4327']"
TU185E-5267,"['G185E-4330', 'G185E-4329']"
TU185E-5268,['G185E-4331']
TU185E-5269,"['G185E-4333', 'G185E-4332']"
TU185E-5270,"['G185E-4340', 'G185E-4339', 'G185E-4338']"
TU185E-5271,"['G185E-4342', 'G185E-4341']"
TU185E-5272,['G185E-4343']
TU185E-5273,['G185E-4344']
TU185E-5274,"['G185E-4347', 'G185E-4346']"
TU185E-5275,"['G185E-4350', 'G185E-4349']"
TU185E-5276,['G185E-4351']
TU185E-5277,"['G185E-4353', 'G185E-4352']"
TU185E-5278,"['G185E-4356', 'G185E-4355', 'G185E-4354']"
TU185E-5279,['G185E-4357']
TU185E-5280,['G185E-4358']
TU185E-5281,['G185E-4359']
TU185E-5282,"['G185E-4361', 'G185E-4360']"
TU185E-5283,"['G185E-4363', 'G185E-4362']"
TU185E-5284,['G185E-4364']
TU185E-5285,['G185E-4365']
TU185E-5286,['G185E-4367']
TU185E-5287,['G185E-4368']
TU185E-5288,"['G185E-4371', 'G185E-4370', 'G185E-4369']"
TU185E-5289,['G185E-4372']
TU185E-5290,['G185E-4373']
TU185E-5291,"['G185E-4375', 'G185E-4374']"
TU185E-5292,"['G185E-4378', 'G185E-4377', 'G185E-4376']"
TU185E-5293,"['G185E-4382', 'G185E-4381', 'G185E-4380']"
TU185E-5294,['G185E-4383']
TU185E-5295,"['G185E-4386', 'G185E-4385', 'G185E-4384']"
TU185E-5296,"['G185E-4388', 'G185E-4387']"
TU185E-5297,['G185E-4390']
TU185E-5298,['G185E-4391']
TU185E-5299,['G185E-4393']
TU185E-5300,"['G185E-4395', 'G185E-4394']"
TU185E-5301,"['G185E-4401', 'G185E-4399']"
TU185E-5302,['G185E-4402']
TU185E-5303,"['G185E-4404', 'G185E-4403']"
TU185E-5304,"['G185E-4409', 'G185E-4408', 'G185E-4407', 'G185E-4406', 'G185E-4405']"
TU185E-5305,"['G185E-4412', 'G185E-4411', 'G185E-4410']"
TU185E-5306,"['G185E-4415', 'G185E-4414', 'G185E-4413']"
TU185E-5307,"['G185E-4419', 'G185E-4418']"
TU185E-5308,['G185E-4420']
TU185E-5309,"['G185E-4422', 'G185E-4421']"
TU185E-5310,"['G185E-4424', 'G185E-4423']"
TU185E-5311,"['G185E-4426', 'G185E-4425']"
TU185E-5312,['G185E-4427']
TU185E-5313,['G185E-4428']
TU185E-5314,['G185E-4431']
TU185E-5315,['G185E-4432']
TU185E-5316,['G185E-4434']
TU185E-5317,['G185E-4435']
TU185E-5318,['G185E-4436']
TU185E-5319,['G185E-4438']
TU185E-5320,['G185E-4439']
TU185E-5321,['G185E-4440']
TU185E-5322,"['G185E-4442', 'G185E-4441']"
TU185E-5323,['G185E-4443']
TU185E-5324,"['G185E-4445', 'G185E-4444']"
TU185E-5325,['G185E-4446']
TU185E-5326,"['G185E-4450', 'G185E-4449', 'G185E-4448']"
TU185E-5327,"['G185E-4454', 'G185E-4453']"
TU185E-5328,['G185E-4455']
TU185E-5329,"['G185E-4458', 'G185E-4457', 'G185E-4456']"
TU185E-5330,"['G185E-4462', 'G185E-4461']"
TU185E-5331,['G185E-4463']
TU185E-5332,['G185E-4464']
TU185E-5333,"['G185E-4467', 'G185E-4466', 'G185E-4465']"
TU185E-5334,"['G185E-4473', 'G185E-4472', 'G185E-4471']"
TU185E-5335,"['G185E-4477', 'G185E-4476', 'G185E-4475', 'G185E-4474']"
TU185E-5336,['G185E-4478']
TU185E-5337,['G185E-4479']
TU185E-5338,"['G185E-4481', 'G185E-4480']"
TU185E-5339,"['G185E-4483', 'G185E-4482']"
TU185E-5340,['G185E-4485']
TU185E-5341,['G185E-4486']
TU185E-5342,"['G185E-4491', 'G185E-4490', 'G185E-4489']"
TU185E-5343,"['G185E-4493', 'G185E-4492']"
TU185E-5344,"['G185E-4499', 'G185E-4498', 'G185E-4497', 'G185E-4496', 'G185E-4495', 'G185E-4494']"
TU185E-5345,['G185E-4500']
TU185E-5346,['G185E-4501']
TU185E-5347,['G185E-4502']
TU185E-5348,['G185E-4503']
TU185E-5349,['G185E-4504']
TU185E-5350,"['G185E-4506', 'G185E-4505']"
TU185E-5351,['G185E-4507']
TU185E-5352,['G185E-4508']
TU185E-5353,['G185E-4509']
TU185E-5354,['G185E-4510']
TU185E-5355,['G185E-4511']
TU185E-5356,['G185E-4512']
TU185E-5357,"['G185E-4515', 'G185E-4514', 'G185E-4513']"
TU185E-5358,"['G185E-4520', 'G185E-4519']"
TU185E-5359,['G185E-4521']
TU185E-5360,['G185E-4522']
TU185E-5361,"['G185E-4525', 'G185E-4524', 'G185E-4523']"
TU185E-5362,"['G185E-4528', 'G185E-4527']"
TU185E-5363,"['G185E-4530', 'G185E-4529']"
TU185E-5364,"['G185E-4534', 'G185E-4533', 'G185E-4532']"
TU185E-5365,"['G185E-4537', 'G185E-4536', 'G185E-4535']"
TU185E-5366,"['G185E-4542', 'G185E-4541', 'G185E-4540']"
TU185E-5367,['G185E-4543']
TU185E-5368,['G185E-4544']
TU185E-5369,['G185E-4545']
TU185E-5370,"['G185E-4548', 'G185E-4547', 'G185E-4546']"
TU185E-5371,['G185E-4549']
TU185E-5372,['G185E-4550']
TU185E-5373,['G185E-4551']
TU185E-5374,"['G185E-4554', 'G185E-4553', 'G185E-4552']"
TU185E-5375,"['G185E-4558', 'G185E-4557', 'G185E-4556', 'G185E-4555']"
