modification,positions,type,enzymes,source
Cm,34,tRNA,G185E-7642-MONOMER,Homology
D,"16,17,20,20A,21",tRNA,G185E-4972-MONOMER,Homology
Gm,34,tRNA,G185E-7642-MONOMER,Homology
Gm,2251,23S,G185E-7857-MONOMER,Homology
I,34,tRNA,G185E-8043-MONOMER_mod_zn2(2),Homology
Um,34,tRNA,G185E-7642-MONOMER,Homology
Y,"1911,1915,1917",23S,G185E-5728-MONOMER_mod_mg2(1),Homology
Y,"38,39,40",tRNA,G185E-7732-MONOMER,Homology
i6A,37,tRNA,G185E-6975-MONOMER_mod_mg2(2),Homology
k2C,34,tRNA,G185E-7904-MONOMER,Homology
m1G,37,tRNA,G185E-7158-MONOMER,Homology
m2A,2503,23S,G185E-7131-MONOMER_mod_4fe4s(1),Homology
m2G,966,16S,G185E-7220-MONOMER,Homology
m3U,1498,16S,G185E-6598-MONOMER,Homology
m4Cm,1402,16S,generic_16Sm4Cm1402,Homology
m5C,967,16S,G185E-5590-MONOMER,Homology
m5U,1939,23S,G185E-6937-MONOMER_mod_4fe4s(1),Homology
m62A,"1518,1519",16S,G185E-5168-MONOMER,Homology
m6t6A,37,tRNA,G185E-5475-MONOMER,Homology
m7G,527,16S,G185E-8217-MONOMER,Homology
m7G,46,tRNA,G185E-4328-MONOMER,Homology
ms2i6A,37,tRNA,G185E-6981-MONOMER,Homology
