Reaction,Complexes
2O4EH,G185E-7813-MONOMER
3HBCOAHL,G185E-5233-MONOMER
3M2OPLOXRD,CPLX185E-7
5DGLCNR,G185E-6815-MONOMER
ABTA,G185E-6831-MONOMER_mod_pydx5p(1)
ACACT1r,G185E-5502-MONOMER OR G185E-7833-MONOMER OR G185E-5302-MONOMER
ACALD,G185E-7812-MONOMER
ACBIPGT,G185E-4376-MONOMER
ACCA3,G185E-7559-MONOMER
ACCC_1,CPLX_ACCC_1-0
ACCD3,G185E-5058-MONOMER
ACCOAC,CPLX-9192
ACChex,G185E-7554-MONOMER
ACGAMPM,G185E-7718-MONOMER
ACGAMT,G185E-5476-MONOMER_mod_mg2(1)
ACGK,G185E-5844-MONOMER_mod_mg2(1)
ACGS,G185E-6996-MONOMER
ACHBS,G185E-7261-MONOMER OR CPLX_ACHBS-0
ACKr,G185E-4534-MONOMER_mod_mg2(1)
ACLS,CPLX185E-24 OR G185E-6015-MONOMER OR G185E-7786-MONOMER
ACOADH1,G185E-7405-MONOMER
ACONMT,G185E-4417-MONOMER
ACONT,G185E-5659-MONOMER_mod_4fe4s(1)
ACOTA,G185E-5845-MONOMER_mod_pydx5p(1)
ACP1_FMN,G185E-7584-MONOMER
ACPS1,G185E-6761-MONOMER
ACS,G185E-7950-MONOMER
ACS2,G185E-7950-MONOMER
ACYP_2,G185E-7175-MONOMER
ADA,G185E-7588-MONOMER
ADCL,G185E-4961-MONOMER
ADCPS1,G185E-6449-MONOMER
ADCPS2,G185E-4376-MONOMER OR G185E-6449-MONOMER
ADCS,CPLX_ADCS-0
ADCYRS,G185E-4377-MONOMER
ADK1,G185E-4878-MONOMER_mod_mg2(1)
ADK2,G185E-4878-MONOMER_mod_mg2(1)
ADNCYC,CPLX_ADNCYC-0 OR G185E-5813-MONOMER OR G185E-5837-MONOMER OR G185E-5435-MONOMER OR G185E-6422-MONOMER OR G185E-6666-MONOMER OR G185E-5286-MONOMER OR G185E-6097-MONOMER OR G185E-7925-MONOMER OR G185E-4510-MONOMER
ADNK1,G185E-6412-MONOMER
ADNK3,G185E-6412-MONOMER
ADNK4,G185E-6412-MONOMER
ADOCBIAH,G185E-6443-MONOMER
ADOCBIK,G185E-4376-MONOMER
ADOCBLS,G185E-6418-MONOMER
ADOCBLabc,G185E-6014-MONOMER
ADPT,G185E-6826-MONOMER_mod_mg2(1) OR G185E-6826-MONOMER_mod_mn2(1)
ADSK,G185E-5458-MONOMER
ADSL1r,G185E-4925-MONOMER
