reaction,keff
14GLUCANabcpp,65
2DHGLCNkt_tpp,65
3HAD100,65
3HAD120,65
3HAD121,65
3HAD140,65
3HAD141,65
3HAD160,65
3HAD161,65
3HAD180,65
3HAD181,65
3HAD40,65
3HAD60,65
3HAD80,65
3OAR100,65
3OAR120,65
3OAR121,65
3OAR140,65
3OAR141,65
3OAR160,65
3OAR161,65
3OAR180,65
3OAR181,65
3OAR40,65
3OAR60,65
3OAR80,65
3OAS100,65
3OAS120,65
3OAS121,65
3OAS140,65
3OAS141,65
3OAS160,65
3OAS161,65
3OAS180,65
3OAS181,65
3OAS60,65
3OAS80,65
3OXOADPt_pp,65
3PEPTabcpp,65
4HBZtex,65
4HTHRS,65
4PEPTabcpp,65
A5PISO,65
AASAD3,65
ABTA,65
ACCOAC,65
ACGK,65
ACGS,65
ACHBS,65
ACOATA,65
ACOLIPAabctex,65
ACONT,65
ACONTa,65
ACONTb,65
ACOTA,65
ACt2rpp,65
ADCS,65
ADK1,65
ADK3,65
ADK4,65
ADNK1,65
ADSL1r,65
ADSL2r,65
ADSS,65
AGM3PApp,65
AGM4PApp,65
AGPAT120,65
AGPAT160,65
AGPAT161,65
AGPAT180,65
AGPAT181,65
AGPR,65
AHSERL2,65
AICART,65
AIRC3,65
AIRCr,65
AKGDH,65
AKGDa,65
AKGDb,65
AKGt2rpp,65
ALAALAabcpp,65
ALAALAr,65
ALAR,65
ALATA_D2,65
ALATA_L,65
ALATA_L2,65
ALATRS,65
ALAabcpp,65
ALDD2x_copy1,65
ALDD2x_copy2,65
AMMQLT8,65
AMPMS2,65
ANPRT,65
ANS,65
APRAUR,65
APTNAT,65
ARGSL,65
ARGSS,65
ARGTRS,65
ARGabcpp,65
ARUH,65
ASCBptspp,65
ASNS1,65
ASP1DC,65
ASPK,65
ASPO1,65
ASPO6,65
ASPT,65
ASPTA,65
ASPTRS,65
ASPabcpp,65
ASPt2_2pp,65
ATPM,65
ATPPRT,65
ATPS4rpp,65
BDH,65
BETALDHx,65
BTS4,65
BTS5,65
BUTSO3abcpp,65
BZt1pp,65
CATECHOLtex,65
CATECHOLtpp,65
CBPS,65
CCGS,65
CFAS160E,65
CFAS160G,65
CFAS180E,65
CFAS180G,65
CGLYabcpp,65
CHLabcpp,65
CHOLSH,65
CHOLS_ex,65
CHOLSabc,65
CHORM,65
CHORS,65
CITt_kt,65
CLIPAabctex,65
CMtpp,65
COALDDH,65
COBALT2tex,65
COLIPAPabctex,65
COLIPAabctex,65
CPH4S,65
CPPPGO,65
CRNDt2rpp,65
CRNabcpp,65
CRNt2rpp,65
CS,65
CTBTabcpp,65
CTBTt2rpp,65
CTPS2,65
CYO1b,65
CYSS,65
CYSSADS,65
CYSTGL,65
CYSTL,65
CYSTRS,65
CYSabcpp,65
CYTBD2pp,65
CYTBDpp,65
CYTBO3_4pp,65
CYTK1,65
CYTK2,65
DABAAT,65
DADK,65
DAPDC,65
DAPE,65
DASYN120,65
DASYN160,65
DASYN161,65
DASYN180,65
DASYN181,65
DB4PS,65
DDPA,65
DGK1,65
DHDPRy,65
DHDPS,65
DHFR,65
DHFS,65
DHORD2,65
DHORD5,65
DHORDi,65
DHORTS,65
DHPM1,65
DHPPDA,65
DHPS,65
DHPS2,65
DHQS,65
DHQTi,65
DMATT,65
DNAMTn2r,65
DNTPPA,65
DOXRBCNtpp,65
DPCOAK,65
DPR,65
DTMPK,65
DURAD,65
DUTPDP,65
DXPS,65
E4PD,65
EAR100x,65
EAR100y,65
EAR120x,65
EAR120y,65
EAR121x,65
EAR121y,65
EAR140x,65
EAR140y,65
