Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
B488_RS02470,B488_RS02470,553696,554278,B488_RS02470-MONOMER,B488_05120,CP003789.1
B488_RS04090,B488_RS04090,934953,935027,B488_RS04090-tRNA,B488_14030,CP003789.1
B488_RS00485,B488_RS00485,114980,116384,B488_RS00485-MONOMER,B488_00990,CP003789.1
B488_RS02270,B488_RS02270,0,393,B488_RS02270-MONOMER,B488_04680,B488_RS02270
B488_RS04505,B488_RS04505,1013425,1013692,B488_RS04505-MONOMER,B488_09400,CP003789.1
B488_RS01395,B488_RS01395,318076,319150,B488_RS01395-MONOMER,B488_02790,CP003789.1
B488_RS03135,B488_RS03135,0,759,B488_RS03135-MONOMER,B488_RS03135,B488_RS03135
B488_RS06465,B488_RS06465,1441682,1442672,B488_RS06465-MONOMER,B488_13280,CP003789.1
B488_RS05155,B488_RS05155,1154249,1154320,B488_RS05155-tRNA,B488_14180,CP003789.1
B488_RS05850,B488_RS05850,1311782,1313972,B488_RS05850-MONOMER,B488_12020,CP003789.1
B488_RS05950,B488_RS05950,1335574,1336147,B488_RS05950-MONOMER,B488_12220,CP003789.1
B488_RS00490,B488_RS00490,116380,117661,B488_RS00490-MONOMER,B488_01000,CP003789.1
B488_RS03455,B488_RS03455,796551,797979,B488_RS03455-MONOMER,B488_07150,CP003789.1
B488_RS04190,B488_RS04190,954306,954984,B488_RS04190-MONOMER,B488_08760,CP003789.1
B488_RS06980,B488_RS06980,0,732,B488_RS06980-MONOMER,B488_03020,B488_RS06980
B488_RS00170,B488_RS00170,0,270,B488_RS00170-MONOMER,B488_00330,B488_RS00170
B488_RS04930,B488_RS04930,1111205,1112000,B488_RS04930-MONOMER,B488_10160,CP003789.1
B488_RS02010,B488_RS02010,476895,477228,B488_RS02010-MONOMER,B488_04120,CP003789.1
B488_RS05220,B488_RS05220,1170525,1171266,B488_RS05220-MONOMER,B488_10720,CP003789.1
B488_RS00495,B488_RS00495,117717,121179,B488_RS00495-MONOMER,B488_01010,CP003789.1
B488_RS02275,B488_RS02275,525484,526117,B488_RS02275-MONOMER,B488_04690,CP003789.1
B488_RS04535,B488_RS04535,1017515,1018790,B488_RS04535-MONOMER,B488_09460,CP003789.1
B488_RS01400,B488_RS01400,319190,320036,B488_RS01400-MONOMER,B488_02800,CP003789.1
B488_RS04445,B488_RS04445,1000800,1001877,B488_RS04445-MONOMER,B488_09280,CP003789.1
B488_RS03730,B488_RS03730,854054,855686,B488_RS03730-MONOMER,B488_07760,CP003789.1
B488_RS03830,B488_RS03830,0,1548,B488_RS03830-MONOMER,B488_08000,B488_RS03830
B488_RS02915,B488_RS02915,658716,659661,B488_RS02915-MONOMER,B488_05980,CP003789.1
B488_RS03140,B488_RS03140,0,1278,B488_RS03140-MONOMER,B488_RS03140,B488_RS03140
B488_RS01810,B488_RS01810,0,396,B488_RS01810-MONOMER,B488_03650,B488_RS01810
B488_RS06895,B488_RS06895,970703,971063,B488_RS06895-MONOMER,B488_08940,CP003789.1
B488_RS04615,B488_RS04615,1036166,1038443,B488_RS04615-MONOMER,B488_09620,CP003789.1
