Modified_enzyme,Core_enzyme,Modifications,Source
CPLX27KH-14_mod_zn2(1)_mod_mg2(2),CPLX27KH-14,zn2(1) AND mg2(2),RNA_Polymerase
B488_RS05225-MONOMER_mod_k(1)_mod_mg2(1),B488_RS05225-MONOMER,k(1) AND mg2(1),Homology
B488_RS03240-MONOMER_mod_k(1)_mod_mg2(1),B488_RS03240-MONOMER,k(1) AND mg2(1),Homology
B488_RS00275-MONOMER_mod_mg2(1),B488_RS00275-MONOMER,mg2(1),Homology
B488_RS04585-MONOMER_mod_cobalt2(1)_mod_zn2(1),B488_RS04585-MONOMER,cobalt2(1) AND zn2(1),Homology
B488_RS04585-MONOMER_mod_mn2(1)_mod_zn2(1),B488_RS04585-MONOMER,mn2(1) AND zn2(1),Homology
B488_RS04585-MONOMER_mod_ni2(1)_mod_zn2(1),B488_RS04585-MONOMER,ni2(1) AND zn2(1),Homology
B488_RS02250-MONOMER_mod_mg2(1),B488_RS02250-MONOMER,mg2(1),Homology
CPLX27KH-13_mod_mg2(1)_mod_fe2(1),CPLX27KH-13,mg2(1) AND fe2(1),Homology
B488_RS00680-MONOMER_mod_mg2(1),B488_RS00680-MONOMER,mg2(1),Homology
B488_RS03840-MONOMER_mod_mg2(1),B488_RS03840-MONOMER,mg2(1),Homology
B488_RS04950-MONOMER_mod_mg2(1),B488_RS04950-MONOMER,mg2(1),Homology
B488_RS05475-MONOMER_mod_pydx5p(1),B488_RS05475-MONOMER,pydx5p(1),Homology
CPLX27KH-5_mod_pheme(1)_mod_hemeO(1)_mod_cu2(1),CPLX27KH-5,pheme(1) AND hemeO(1) AND cu2(1),Homology
B488_RS03860-MONOMER_mod_mg2(1),B488_RS03860-MONOMER,mg2(1),Homology
B488_RS04960-MONOMER_mod_mg2(1),B488_RS04960-MONOMER,mg2(1),Homology
B488_RS03325-MONOMER_mod_mg2(1),B488_RS03325-MONOMER,mg2(1),Homology
B488_RS06680-MONOMER_mod_Oxidized(1),B488_RS06680-MONOMER,Oxidized(1),Homology
B488_RS05485-MONOMER_mod_zn2(1),B488_RS05485-MONOMER,zn2(1),Homology
B488_RS03870-MONOMER_mod_mg2(1),B488_RS03870-MONOMER,mg2(1),Homology
B488_RS04620-MONOMER_mod_mg2(1),B488_RS04620-MONOMER,mg2(1),Homology
B488_RS03335-MONOMER_mod_mg2(2),B488_RS03335-MONOMER,mg2(2),Homology
B488_RS00315-MONOMER_mod_pydx5p(1),B488_RS00315-MONOMER,pydx5p(1),Homology
B488_RS04625-MONOMER_mod_mg2(1),B488_RS04625-MONOMER,mg2(1),Homology
B488_RS00740-MONOMER_mod_fmn(1),B488_RS00740-MONOMER,fmn(1),Homology
B488_RS03345-MONOMER_mod_mg2(1),B488_RS03345-MONOMER,mg2(1),Homology
B488_RS03345-MONOMER_mod_mn2(1),B488_RS03345-MONOMER,mn2(1),Homology
B488_RS03350-MONOMER_mod_mn2(1),B488_RS03350-MONOMER,mn2(1),Homology
B488_RS00750-MONOMER_mod_pydx5p(1),B488_RS00750-MONOMER,pydx5p(1),Homology
B488_RS03355-MONOMER_mod_mg2(1),B488_RS03355-MONOMER,mg2(1),Homology
B488_RS03910-MONOMER_mod_mg2(1),B488_RS03910-MONOMER,mg2(1),Homology
B488_RS03915-MONOMER_mod_mg2(1),B488_RS03915-MONOMER,mg2(1),Homology
B488_RS05775-MONOMER_mod_fmn(1),B488_RS05775-MONOMER,fmn(1),Homology
B488_RS05775-MONOMER_mod_mg2(1),B488_RS05775-MONOMER,mg2(1),Homology
B488_RS00345-MONOMER_mod_mg2(1),B488_RS00345-MONOMER,mg2(1),Homology
B488_RS04645-MONOMER_mod_mg2(1),B488_RS04645-MONOMER,mg2(1),Homology
