Gene Name,Accession-2,Left-End-Position,Right-End-Position,Product,Accession-1,replicon
CLJU_RS01450,CLJU_RS01450,300524,302327,CLJU_RS01450-MONOMER,CLJU_c02960,NC_014328.1
CLJU_RS13810,CLJU_RS13810,3090344,3091988,CLJU_RS13810-MONOMER,CLJU_c27960,NC_014328.1
CLJU_RS11390,CLJU_RS11390,2538778,2539345,CLJU_RS11390-MONOMER,CLJU_c23150,NC_014328.1
CLJU_RS05460,CLJU_RS05460,1215219,1215444,CLJU_RS05460-MONOMER,CLJU_c11140,NC_014328.1
CLJU_RS21760,CLJU_RS21760,0,132,CLJU_RS21760-MONOMER,CLJU_RS21760,CLJU_RS21760
CLJU_RS14170,CLJU_RS14170,3176298,3178221,CLJU_RS14170-MONOMER,CLJU_c28720,NC_014328.1
CLJU_RS18955,CLJU_RS18955,4184104,4184425,CLJU_RS18955-MONOMER,CLJU_c38490,NC_014328.1
CLJU_RS04445,CLJU_RS04445,999040,999376,CLJU_RS04445-MONOMER,CLJU_c09020,NC_014328.1
CLJU_RS08560,CLJU_RS08560,1894045,1894621,CLJU_RS08560-MONOMER,CLJU_c17430,NC_014328.1
CLJU_RS06250,CLJU_RS06250,1373428,1374595,CLJU_RS06250-MONOMER,CLJU_c12740,NC_014328.1
CLJU_RS10385,CLJU_RS10385,2302004,2302463,CLJU_RS10385-MONOMER,CLJU_c21150,NC_014328.1
CLJU_RS16190,CLJU_RS16190,3591829,3592372,CLJU_RS16190-MONOMER,CLJU_c32850,NC_014328.1
CLJU_RS19135,CLJU_RS19135,4228248,4229514,CLJU_RS19135-MONOMER,CLJU_c38870,NC_014328.1
CLJU_RS02470,CLJU_RS02470,545908,546634,CLJU_RS02470-MONOMER,CLJU_c05040,NC_014328.1
CLJU_RS11615,CLJU_RS11615,2599960,2600302,CLJU_RS11615-MONOMER,CLJU_c23620,NC_014328.1
CLJU_RS17720,CLJU_RS17720,3921289,3921895,CLJU_RS17720-MONOMER,CLJU_c36020,NC_014328.1
CLJU_RS09360,CLJU_RS09360,2077353,2078223,CLJU_RS09360-MONOMER,CLJU_c19090,NC_014328.1
CLJU_RS10890,CLJU_RS10890,2421956,2422430,CLJU_RS10890-MONOMER,CLJU_c22190,NC_014328.1
CLJU_RS06445,CLJU_RS06445,1411787,1412057,CLJU_RS06445-MONOMER,CLJU_c13130,NC_014328.1
CLJU_RS07300,CLJU_RS07300,1610758,1611577,CLJU_RS07300-MONOMER,CLJU_c14900,NC_014328.1
CLJU_RS15670,CLJU_RS15670,3482121,3482916,CLJU_RS15670-MONOMER,CLJU_c31800,NC_014328.1
CLJU_RS00060,CLJU_RS00060,14598,15102,CLJU_RS00060-MONOMER,CLJU_c00120,NC_014328.1
CLJU_RS07585,CLJU_RS07585,1680060,1681002,CLJU_RS07585-MONOMER,CLJU_c15480,NC_014328.1
CLJU_RS20500,CLJU_RS20500,4502822,4502911,CLJU_RS20500-tRNA,CLJU_c41610,NC_014328.1
CLJU_RS12435,CLJU_RS12435,2799684,2800587,CLJU_RS12435-MONOMER,CLJU_c25240,NC_014328.1
CLJU_RS17580,CLJU_RS17580,3890758,3891511,CLJU_RS17580-MONOMER,CLJU_c35700,NC_014328.1
CLJU_RS11155,CLJU_RS11155,2485153,2486740,CLJU_RS11155-MONOMER,CLJU_c22670,NC_014328.1
CLJU_RS17900,CLJU_RS17900,3962578,3963499,CLJU_RS17900-MONOMER,CLJU_c36400,NC_014328.1
CLJU_RS07740,CLJU_RS07740,1718858,1719437,CLJU_RS07740-MONOMER,CLJU_c15790,NC_014328.1
CLJU_RS06610,CLJU_RS06610,1446299,1448300,CLJU_RS06610-MONOMER,CLJU_c13460,NC_014328.1
CLJU_RS00950,CLJU_RS00950,197884,198499,CLJU_RS00950-MONOMER,CLJU_c01950,NC_014328.1
CLJU_RS05965,CLJU_RS05965,1316392,1316644,CLJU_RS05965-MONOMER,CLJU_c12160,NC_014328.1
CLJU_RS03795,CLJU_RS03795,852526,853774,CLJU_RS03795-MONOMER,CLJU_c07710,NC_014328.1
CLJU_RS19910,CLJU_RS19910,4397106,4397301,CLJU_RS19910-MONOMER,CLJU_c40430,NC_014328.1
CLJU_RS09600,CLJU_RS09600,2122127,2123306,CLJU_RS09600-MONOMER,CLJU_c19590,NC_014328.1
CLJU_RS20645,CLJU_RS20645,4530281,4531385,CLJU_RS20645-MONOMER,CLJU_c41900,NC_014328.1
CLJU_RS07950,CLJU_RS07950,1765490,1766084,CLJU_RS07950-MONOMER,CLJU_c16220,NC_014328.1
CLJU_RS12325,CLJU_RS12325,2775652,2775922,CLJU_RS12325-MONOMER,CLJU_c25020,NC_014328.1
CLJU_RS08225,CLJU_RS08225,1816377,1816569,CLJU_RS08225-MONOMER,CLJU_c16760,NC_014328.1
CLJU_RS05915,CLJU_RS05915,1305639,1306521,CLJU_RS05915-MONOMER,CLJU_c12060,NC_014328.1
CLJU_RS02035,CLJU_RS02035,436580,437990,CLJU_RS02035-MONOMER,CLJU_c04170,NC_014328.1
CLJU_RS14640,CLJU_RS14640,3274202,3274838,CLJU_RS14640-MONOMER,CLJU_c29680,NC_014328.1
CLJU_RS01860,CLJU_RS01860,395190,396978,CLJU_RS01860-MONOMER,CLJU_c03810,NC_014328.1
CLJU_RS03590,CLJU_RS03590,808401,809523,CLJU_RS03590-MONOMER,CLJU_c07290,NC_014328.1
CLJU_RS02335,CLJU_RS02335,508704,510417,CLJU_RS02335-MONOMER,CLJU_c04770,NC_014328.1
CLJU_RS02235,CLJU_RS02235,487314,488055,CLJU_RS02235-MONOMER,CLJU_c04570,NC_014328.1
CLJU_RS06635,CLJU_RS06635,1452464,1452665,CLJU_RS06635-MONOMER,CLJU_RS06635,NC_014328.1
CLJU_RS12100,CLJU_RS12100,2722894,2723509,CLJU_RS12100-MONOMER,CLJU_c24570,NC_014328.1
CLJU_RS05260,CLJU_RS05260,1181232,1181688,CLJU_RS05260-MONOMER,CLJU_c10710,NC_014328.1
CLJU_RS20685,CLJU_RS20685,4540423,4541209,CLJU_RS20685-MONOMER,CLJU_c41990,NC_014328.1
CLJU_RS03250,CLJU_RS03250,726623,727985,CLJU_RS03250-MONOMER,CLJU_c06610,NC_014328.1
CLJU_RS14320,CLJU_RS14320,3202936,3203332,CLJU_RS14320-MONOMER,CLJU_c29030,NC_014328.1
CLJU_RS10390,CLJU_RS10390,2302779,2303712,CLJU_RS10390-MONOMER,CLJU_c21160,NC_014328.1
CLJU_RS11190,CLJU_RS11190,2494662,2495772,CLJU_RS11190-MONOMER,CLJU_c22750,NC_014328.1
CLJU_RS01220,CLJU_RS01220,254429,254684,CLJU_RS01220-MONOMER,CLJU_c02490,NC_014328.1
CLJU_RS08955,CLJU_RS08955,1975271,1975778,CLJU_RS08955-MONOMER,CLJU_c18230,NC_014328.1
CLJU_RS19370,CLJU_RS19370,4280752,4281298,CLJU_RS19370-MONOMER,CLJU_c39340,NC_014328.1
CLJU_RS18085,CLJU_RS18085,3992076,3992150,CLJU_RS18085-tRNA,CLJU_c36740,NC_014328.1
CLJU_RS20825,CLJU_RS20825,4564586,4564663,CLJU_RS20825-tRNA,CLJU_c42280,NC_014328.1
CLJU_RS12285,CLJU_RS12285,2766561,2767278,CLJU_RS12285-MONOMER,CLJU_c24940,NC_014328.1
CLJU_RS10895,CLJU_RS10895,2422649,2423582,CLJU_RS10895-MONOMER,CLJU_c22200,NC_014328.1
CLJU_RS00795,CLJU_RS00795,162358,163048,CLJU_RS00795-MONOMER,CLJU_c01640,NC_014328.1
