Modified_enzyme,Core_enzyme,Modifications,Source
CODH_AC_SYN_mod_4fe4s(1)_mod_ni2(1),CODH_AC_SYN,4fe4s(1) AND ni2(1),iJL965
CPLX-15_mod_4fe4s(1)_mod_ni2(1),CPLX-15,4fe4s(1) AND ni2(1),iJL965
CPLX-27_mod_2fe2s(1)_mod_ni2(1),CPLX-27,2fe2s(1) AND ni2(1),iJL965
PrfA_mono_mod_methyl(1),PrfA_mono,methyl(1),iJL965
PrfB_mono_mod_methyl(1),PrfB_mono,methyl(1),iJL965
CPLX-18_mod_mg2(1),CPLX-18,mg2(1),iJL965
Hyp_CPLX_mod_zn2(1),Hyp_CPLX,zn2(1),iJL965
CPLX-28_mod_pydx5p(1),CPLX-28,pydx5p(1),iJL965
Etf3_CPLX_mod_fad(1),Etf3_CPLX,fad(1),iJL965
CPLX-30_mod_fmn(1),CPLX-30,fmn(1),iJL965
CPLX-31_mod_mg2(1)_mod_thmpp(1),CPLX-31,mg2(1) AND thmpp(1),iJL965
CPLX-32_mod_mg2(1)_mod_thmpp(1),CPLX-32,mg2(1) AND thmpp(1),iJL965
CPLX-33_mod_mg2(1)_mod_thmpp(1),CPLX-33,mg2(1) AND thmpp(1),iJL965
CPLX-39_mod_nad(1),CPLX-39,nad(1),iJL965
CPLX-40_mod_nad(1),CPLX-40,nad(1),iJL965
CPLX-46_mod_zn2(1),CPLX-46,zn2(1),iJL965
CPLX-60_mod_mg2(2)_mod_thmpp(2),CPLX-60,mg2(2) AND thmpp(2),iJL965
CPLX-61_mod_mg2(2)_mod_thmpp(2),CPLX-61,mg2(2) AND thmpp(2),iJL965
CPLX-62_mod_mg2(2)_mod_thmpp(2),CPLX-62,mg2(2) AND thmpp(2),iJL965
CPLX-65_mod_pydx5p(1),CPLX-65,pydx5p(1),iJL965
CPLX-66_mod_pydx5p(1),CPLX-66,pydx5p(1),iJL965
CPLX-75_mod_mn2(2),CPLX-75,mn2(2),iJL965
CPLX-82_mod_4fe4s(1),CPLX-82,4fe4s(1),iJL965
CPLX-83_mod_4fe4s(1),CPLX-83,4fe4s(1),iJL965
CPLX-84_mod_4fe4s(1),CPLX-84,4fe4s(1),iJL965
CPLX-90_mod_dpm(1),CPLX-90,dpm(1),iJL965
FolE_CPLX_mod_zn2(1),FolE_CPLX,zn2(1),iJL965
CPLX-102_mod_4fe4s(1),CPLX-102,4fe4s(1),iJL965
