Reaction,Complexes
5DOAN,CPLX-465
D__LACt2,GlcA_mono
GLUTRS,GluS_mono_mod_mg2(1)_mod_zn2(1)
ILETRS,IleS_mono_mod_zn2(1) OR IleS_mono_mod_zn2(2)
LEUTRS,LeuS_mono
METTRS,Met_RS_dim_mod_zn2(2)
PHETRS,CLJU_RS16970-MONOMER
SERTRS,Ser_RS_dim_mod_mg2(1)
VALTRS,ValS_mono_mod_mg2(1)
3HAD100,CPLX-43
3HAD120,CPLX-43
3HAD121,CPLX-43
3HAD140,CPLX-43
3HAD141,CPLX-43
3HAD160,CPLX-43
3HAD161,CPLX-43
3HAD180,CPLX-43
3HAD181,CPLX-43
3HAD40,CPLX-43
3HAD60,CPLX-43
3HAD80,CPLX-43
3OAR100,CPLX-51 OR CPLX-50
3OAR120,CPLX-51 OR CPLX-50
3OAR121,CPLX-51 OR CPLX-50
3OAR140,CPLX-51 OR CPLX-50
3OAR141,CPLX-51 OR CPLX-50
3OAR160,CPLX-51 OR CPLX-50
3OAR161,CPLX-51 OR CPLX-50
3OAR180,CPLX-51 OR CPLX-50
3OAR181,CPLX-51 OR CPLX-50
3OAR40,CPLX-51 OR CPLX-50
3OAR60,CPLX-51 OR CPLX-50
3OAR80,CPLX-51 OR CPLX-50
3OAS100,CPLX-23 OR ACP
3OAS120,CPLX-23 OR ACP
3OAS121,CPLX-23 OR ACP
3OAS140,CPLX-23 OR ACP
3OAS141,CPLX-23 OR ACP
3OAS160,CPLX-23 OR ACP
3OAS161,CPLX-23 OR ACP
3OAS180,CPLX-23 OR ACP
3OAS181,CPLX-23 OR ACP
3OAS60,CPLX-23 OR ACP
3OAS80,CPLX-23 OR ACP
4HTHRS,CPLX-290 OR CPLX-289
ABFA,CPLX-53
ABTA,CPLX-72
ACALD,CPLX-108 OR CPLX-494 OR CPLX-107
ACALDy,CPLX-108 OR CPLX-494 OR CPLX-107
ACBIPGT,CPLX-294
ACCOAC,CPLX-352_mod_zn2(1)
ACGK,CPLX-390
ACGS,CPLX-383
ACHBS,CPLX-61_mod_mg2(1) OR CPLX-60_mod_mg2(1) OR CPLX-62_mod_mg2(1)
ACKr,CPLX-180
ACLDC,CPLX-121
ACLS,CPLX-32_mod_mg2(1)_mod_thmpp(1) OR CPLX-31_mod_mg2(1)_mod_thmpp(1) OR CPLX-33_mod_mg2(1)_mod_thmpp(1)
ACOAD1z,Etf3_CPLX_mod_fad(1) OR fdxr__42_c
ACOATA,FabH_dim OR ACP
ACONT,CPLX-215 OR CPLX-216
ACONTa,CPLX-215 OR CPLX-216
ACONTb,CPLX-215 OR CPLX-216
ACOTA,CPLX-369_mod_pydx5p(1)
ACPS1,CPLX-248_mod_mg2(1) OR ACP
ADA,CPLX-459_mod_zn2(1)
ADCL,CPLX-550
ADCPS1,CPLX-191
ADCPS2,CPLX-191
ADCS,CPLX-560
ADCYRS,CPLX-234
ADD,CPLX-520_mod_mn2(1) OR CPLX-518_mod_mn2(1) OR CPLX-519_mod_mn2(1)
ADK1,CPLX-156
ADK2,CPLX-156
ADMDC,CPLX-540_mod_pyruvoyl(1)
ADOCBIK,CPLX-294
ADOCBLS,CPLX-504
ADPRDP,CPLX-158
ADPT,CPLX-117
ADSL1,CPLX-404
ADSL2,CPLX-404
ADSS,CPLX-259_mod_mg2(2)
AGPAT120,CPLX-147 OR CPLX-146 OR ACP
AGPAT140,CPLX-147 OR CPLX-146 OR ACP
AGPAT160,CPLX-147 OR CPLX-146 OR ACP
AGPAT161,CPLX-147 OR CPLX-146 OR ACP
AGPAT180,CPLX-147 OR CPLX-146 OR ACP
AGPAT181,CPLX-147 OR CPLX-146 OR ACP
AGPR,CPLX-505
AHCYSNS,CPLX-465
AHSERL2,CPLX-138_mod_pydx5p(1)
AICART,CPLX-206 OR CPLX-205
AIRCr,CPLX-258
ALAALAr,CPLX-460
ALAR,CPLX-506_mod_pydx5p(1) OR CPLX-508_mod_pydx5p(1) OR CPLX-507_mod_pydx5p(1)
ALATA_L,CPLX-268_mod_pydx5p(1)
ALCD2x,CPLX-107_mod_fe2(1) OR CPLX-108_mod_fe2(1) OR CPLX-106_mod_ca2(1)
ALCD2yi,CPLX-150_mod_fe2(1) OR CPLX-242_mod_zn2(1) OR CPLX-149_mod_fe2(1)
ALCD4,CPLX-108 OR CPLX-107
ALCD4y,CPLX-150_mod_fe2(1) OR CPLX-149_mod_fe2(1)
ALLTN,CPLX-470_mod_zn2(1) OR CPLX-471_mod_zn2(8)
ALLTNt2r,CPLX-37 OR CPLX-36
