Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
ABAYE_RS15230-MONOMER	Membrane	ABAYE_RS15230()	Membrane	s
ABAYE_RS17075-MONOMER	Inner_Membrane	ABAYE_RS17075()	Inner_Membrane	s
ABAYE_RS03315-MONOMER	Inner_Membrane	ABAYE_RS03315()	Inner_Membrane	s
ABAYE_RS16200-MONOMER	Membrane	ABAYE_RS16200()	Membrane	s
ABAYE_RS18505-MONOMER	Inner_Membrane	ABAYE_RS18505()	Inner_Membrane	s
ABAYE_RS05145-MONOMER	Inner_Membrane	ABAYE_RS05145()	Inner_Membrane	s
ABAYE_RS16590-MONOMER	Inner_Membrane	ABAYE_RS16590()	Inner_Membrane	s
ABAYE_RS11780-MONOMER	Inner_Membrane	ABAYE_RS11780()	Inner_Membrane	s
ABAYE_RS07570-MONOMER	Inner_Membrane	ABAYE_RS07570()	Inner_Membrane	s
ABAYE_RS20035-MONOMER	Inner_Membrane	ABAYE_RS20035()	Inner_Membrane	s
ABAYE_RS19040-MONOMER	Membrane	ABAYE_RS19040()	Membrane	s
ABAYE_RS14810-MONOMER	Outer_Membrane	ABAYE_RS14810()	Outer_Membrane	s
ABAYE_RS14020-MONOMER	Inner_Membrane	ABAYE_RS14020()	Inner_Membrane	s
ABAYE_RS02235-MONOMER	Inner_Membrane	ABAYE_RS02235()	Inner_Membrane	s
ABAYE_RS14310-MONOMER	Inner_Membrane	ABAYE_RS14310()	Inner_Membrane	s
ABAYE_RS16470-MONOMER	Inner_Membrane	ABAYE_RS16470()	Inner_Membrane	s
ABAYE_RS18640-MONOMER	Inner_Membrane	ABAYE_RS18640()	Inner_Membrane	s
ABAYE_RS06815-MONOMER	Inner_Membrane	ABAYE_RS06815()	Inner_Membrane	s
ABAYE_RS18720-MONOMER	Inner_Membrane	ABAYE_RS18720()	Inner_Membrane	s
ABAYE_RS13455-MONOMER	Inner_Membrane	ABAYE_RS13455()	Inner_Membrane	s
ABAYE_RS07505-MONOMER	Inner_Membrane	ABAYE_RS07505()	Inner_Membrane	s
ABAYE_RS07220-MONOMER	Inner_Membrane	ABAYE_RS07220()	Inner_Membrane	s
ABAYE_RS09430-MONOMER	Inner_Membrane	ABAYE_RS09430()	Inner_Membrane	s
ABAYE_RS07095-MONOMER	Inner_Membrane	ABAYE_RS07095()	Inner_Membrane	s
ABAYE_RS10915-MONOMER	Inner_Membrane	ABAYE_RS10915()	Inner_Membrane	s
ABAYE_RS09575-MONOMER	Periplasm	ABAYE_RS09575()	Periplasm	s
ABAYE_RS16250-MONOMER	Outer_Membrane	ABAYE_RS16250()	Outer_Membrane	s
ABAYE_RS07415-MONOMER	Inner_Membrane	ABAYE_RS07415()	Inner_Membrane	s
ABAYE_RS04900-MONOMER	Outer_Membrane	ABAYE_RS04900()	Outer_Membrane	s
ABAYE_RS05610-MONOMER	Inner_Membrane	ABAYE_RS05610()	Inner_Membrane	s
ABAYE_RS16125-MONOMER	Inner_Membrane	ABAYE_RS16125()	Inner_Membrane	s
ABAYE_RS04120-MONOMER	Membrane	ABAYE_RS04120()	Membrane	s
ABAYE_RS17695-MONOMER	Inner_Membrane	ABAYE_RS17695()	Inner_Membrane	s
ABAYE_RS04935-MONOMER	Inner_Membrane	ABAYE_RS04935()	Inner_Membrane	s
ABAYE_RS17895-MONOMER	Inner_Membrane	ABAYE_RS17895()	Inner_Membrane	s
ABAYE_RS18385-MONOMER	Inner_Membrane	ABAYE_RS18385()	Inner_Membrane	s
ABAYE_RS03280-MONOMER	Membrane	ABAYE_RS03280()	Membrane	s
ABAYE_RS01540-MONOMER	Inner_Membrane	ABAYE_RS01540()	Inner_Membrane	s
ABAYE_RS02060-MONOMER	Inner_Membrane	ABAYE_RS02060()	Inner_Membrane	s
ABAYE_RS03035-MONOMER	Inner_Membrane	ABAYE_RS03035()	Inner_Membrane	s
ABAYE_RS18940-MONOMER	Inner_Membrane	ABAYE_RS18940()	Inner_Membrane	s
ABAYE_RS15985-MONOMER	Periplasm	ABAYE_RS15985()	Periplasm	s
ABAYE_RS13120-MONOMER	Outer_Membrane	ABAYE_RS13120()	Outer_Membrane	s
ABAYE_RS11430-MONOMER	Inner_Membrane	ABAYE_RS11430()	Inner_Membrane	s
ABAYE_RS07440-MONOMER	Inner_Membrane	ABAYE_RS07440()	Inner_Membrane	s
ABAYE_RS17300-MONOMER	Outer_Membrane	ABAYE_RS17300()	Outer_Membrane	s
ABAYE_RS01745-MONOMER	Inner_Membrane	ABAYE_RS01745()	Inner_Membrane	s
ABAYE_RS12305-MONOMER	Inner_Membrane	ABAYE_RS12305()	Inner_Membrane	s
ABAYE_RS11415-MONOMER	Periplasm	ABAYE_RS11415()	Periplasm	s
ABAYE_RS18130-MONOMER	Inner_Membrane	ABAYE_RS18130()	Inner_Membrane	s
ABAYE_RS15120-MONOMER	Inner_Membrane	ABAYE_RS15120()	Inner_Membrane	s
ABAYE_RS01995-MONOMER	Membrane	ABAYE_RS01995()	Membrane	s
ABAYE_RS10225-MONOMER	Inner_Membrane	ABAYE_RS10225()	Inner_Membrane	s
ABAYE_RS18490-MONOMER	Inner_Membrane	ABAYE_RS18490()	Inner_Membrane	s
ABAYE_RS06310-MONOMER	Inner_Membrane	ABAYE_RS06310()	Inner_Membrane	s
ABAYE_RS04225-MONOMER	Inner_Membrane	ABAYE_RS04225()	Inner_Membrane	s
ABAYE_RS10870-MONOMER	Periplasm	ABAYE_RS10870()	Periplasm	s
