bnum	position	modification
ABAYE_RS00625	1518	m62A
ABAYE_RS00625	1519	m62A
ABAYE_RS02890	1518	m62A
ABAYE_RS02890	1519	m62A
ABAYE_RS03055	1518	m62A
ABAYE_RS03055	1519	m62A
ABAYE_RS15645	1518	m62A
ABAYE_RS15645	1519	m62A
ABAYE_RS18370	1518	m62A
ABAYE_RS18370	1519	m62A
ABAYE_RS19140	1518	m62A
ABAYE_RS19140	1519	m62A
ABAYE_RS00625	967	m5C
ABAYE_RS02890	967	m5C
ABAYE_RS03055	967	m5C
ABAYE_RS15645	967	m5C
ABAYE_RS18370	967	m5C
ABAYE_RS19140	967	m5C
ABAYE_RS00625	966	m2G
ABAYE_RS02890	966	m2G
ABAYE_RS03055	966	m2G
ABAYE_RS15645	966	m2G
ABAYE_RS18370	966	m2G
ABAYE_RS19140	966	m2G
ABAYE_RS00625	1498	m3U
ABAYE_RS02890	1498	m3U
ABAYE_RS03055	1498	m3U
ABAYE_RS15645	1498	m3U
ABAYE_RS18370	1498	m3U
ABAYE_RS19140	1498	m3U
ABAYE_RS00625	527	m7G
ABAYE_RS02890	527	m7G
ABAYE_RS03055	527	m7G
ABAYE_RS15645	527	m7G
ABAYE_RS18370	527	m7G
ABAYE_RS19140	527	m7G
ABAYE_RS00625	1402	m4Cm
ABAYE_RS02890	1402	m4Cm
ABAYE_RS03055	1402	m4Cm
ABAYE_RS15645	1402	m4Cm
ABAYE_RS18370	1402	m4Cm
ABAYE_RS19140	1402	m4Cm
ABAYE_RS00625	516	Y
ABAYE_RS02890	516	Y
ABAYE_RS03055	516	Y
ABAYE_RS15645	516	Y
ABAYE_RS18370	516	Y
ABAYE_RS19140	516	Y
ABAYE_RS00640	2503	m2A
ABAYE_RS02905	2503	m2A
ABAYE_RS03070	2503	m2A
ABAYE_RS15630	2503	m2A
ABAYE_RS18355	2503	m2A
ABAYE_RS19125	2503	m2A
ABAYE_RS00640	2251	Gm
ABAYE_RS02905	2251	Gm
ABAYE_RS03070	2251	Gm
ABAYE_RS15630	2251	Gm
ABAYE_RS18355	2251	Gm
ABAYE_RS19125	2251	Gm
ABAYE_RS00640	1939	m5U
ABAYE_RS02905	1939	m5U
ABAYE_RS03070	1939	m5U
ABAYE_RS15630	1939	m5U
ABAYE_RS18355	1939	m5U
ABAYE_RS19125	1939	m5U
ABAYE_RS00640	745	m1G
ABAYE_RS02905	745	m1G
ABAYE_RS03070	745	m1G
ABAYE_RS15630	745	m1G
ABAYE_RS18355	745	m1G
ABAYE_RS19125	745	m1G
ABAYE_RS00640	2445	m2G
ABAYE_RS02905	2445	m2G
ABAYE_RS03070	2445	m2G
ABAYE_RS15630	2445	m2G
ABAYE_RS18355	2445	m2G
ABAYE_RS19125	2445	m2G
ABAYE_RS00640	2069	m7G
ABAYE_RS02905	2069	m7G
ABAYE_RS03070	2069	m7G
ABAYE_RS15630	2069	m7G
ABAYE_RS18355	2069	m7G
ABAYE_RS19125	2069	m7G
ABAYE_RS00640	2552	Um
ABAYE_RS02905	2552	Um
ABAYE_RS03070	2552	Um
ABAYE_RS15630	2552	Um
ABAYE_RS18355	2552	Um
ABAYE_RS19125	2552	Um
ABAYE_RS00640	1911	Y
ABAYE_RS00640	1915	Y
ABAYE_RS00640	1917	Y
ABAYE_RS02905	1911	Y
ABAYE_RS02905	1915	Y
ABAYE_RS02905	1917	Y
ABAYE_RS03070	1911	Y
ABAYE_RS03070	1915	Y
ABAYE_RS03070	1917	Y
ABAYE_RS15630	1911	Y
ABAYE_RS15630	1915	Y
ABAYE_RS15630	1917	Y
ABAYE_RS18355	1911	Y
ABAYE_RS18355	1915	Y
ABAYE_RS18355	1917	Y
ABAYE_RS19125	1911	Y
ABAYE_RS19125	1915	Y
ABAYE_RS19125	1917	Y
