amino_acid	enzyme
ala__L_c	ABAYE_RS13005-MONOMER_mod_zn2(4)
arg__L_c	ABAYE_RS18530-MONOMER_mod_mg2(1)
asn__L_c	CPLX_dummy
asp__L_c	ABAYE_RS03490-MONOMER
cys__L_c	ABAYE_RS12525-MONOMER_mod_zn2(1)
gln__L_c	ABAYE_RS07660-MONOMER
glu__L_c	ABAYE_RS01925-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX1SOZ-17
his__L_c	ABAYE_RS16235-MONOMER_mod_mg2(4)
ile__L_c	ABAYE_RS19095-MONOMER_mod_zn2(2)
leu__L_c	ABAYE_RS16150-MONOMER
lys__L_c	ABAYE_RS13945-MONOMER_mod_mg2(6)
met__L_c	ABAYE_RS15110-MONOMER_mod_zn2(2)
phe__L_c	CPLX1SOZ-12_mod_mg2(1)
pro__L_c	ABAYE_RS03855-MONOMER
ser__L_c	ABAYE_RS04335-MONOMER_mod_mg2(1)
thr__L_c	ABAYE_RS15805-MONOMER
trp__L_c	ABAYE_RS04470-MONOMER_mod_mg2(1)
tyr__L_c	ABAYE_RS00620-MONOMER
val__L_c	ABAYE_RS04250-MONOMER_mod_mg2(1)
