complex_id,name,genes,mod,replace
ABAYE_RS00605-MONOMER,,,pydx5p(1),
ABAYE_RS00605-MONOMER,,,pydx5p(1) AND SH(1),
ABAYE_RS00605-MONOMER,,,2fe2s(1),
ABAYE_RS00605-MONOMER,,,4fe4s(1),
ABAYE_RS00675-MONOMER,,,mg2(1) AND k(1),
ABAYE_RS00680-MONOMER,,,4fe4s(1),
ABAYE_RS00730-MONOMER,,,zn2(4),
ABAYE_RS00950-MONOMER,,,mn2(2),
ABAYE_RS00995-MONOMER,,,mg2(1),
ABAYE_RS01005-MONOMER,,,mg2(1),
ABAYE_RS01020-MONOMER,,,mg2(1),
ABAYE_RS01280-MONOMER,,,mg2(1),
ABAYE_RS01565-MONOMER,,,pydx5p(1),
ABAYE_RS01785-MONOMER,,,mg2(1),
ABAYE_RS01785-MONOMER,,,mn2(1),
ABAYE_RS01925-MONOMER,,,mg2(1) AND zn2(1),
ABAYE_RS01975-MONOMER,,,zn2(2),
ABAYE_RS02010-MONOMER,,,mg2(1),
ABAYE_RS02010-MONOMER,,,mn2(1),
ABAYE_RS02010-MONOMER,,,k(1),
ABAYE_RS02010-MONOMER,,,ca2(1),
ABAYE_RS02010-MONOMER,,,fe2(1),
ABAYE_RS02010-MONOMER,,,cobalt2(1),
ABAYE_RS02015-MONOMER,,,cobalt2(1) AND nad(1),
ABAYE_RS02090-MONOMER,,,mg2(1),
ABAYE_RS02095-MONOMER,,,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),
ABAYE_RS02230-MONOMER,,,cu2(1),
ABAYE_RS02280-MONOMER,,,pydx5p(1),
ABAYE_RS02420-MONOMER,,,thmpp(1),
ABAYE_RS02425-MONOMER,,,mg2(1),
ABAYE_RS02530-MONOMER,,,fad(1) AND pheme(1),
ABAYE_RS02840-MONOMER,,,4fe4s(1),
ABAYE_RS03170-MONOMER,,,mg2(1),
ABAYE_RS03170-MONOMER,,,fmn(1),
ABAYE_RS03190-MONOMER,,,zn2(6),
ABAYE_RS03435-MONOMER,,,pydx5p(1),
ABAYE_RS03435-MONOMER,,,pydx5p(6),
ABAYE_RS03565-MONOMER,,,mg2(1),
ABAYE_RS04165-MONOMER,,,mn2(1),
ABAYE_RS04165-MONOMER,,,mg2(1),
ABAYE_RS04250-MONOMER,,,mg2(1),
ABAYE_RS04305-MONOMER,,,mg2(1),
ABAYE_RS04335-MONOMER,,,mg2(1),
ABAYE_RS04470-MONOMER,,,mg2(1),
ABAYE_RS04565-MONOMER,,,mg2(1),
ABAYE_RS04620-MONOMER,,,mn2(1),
ABAYE_RS04620-MONOMER,,,mg2(1),
ABAYE_RS04625-MONOMER,,,fad(1),
ABAYE_RS04670-MONOMER,,,ca2(1),
ABAYE_RS04825-MONOMER,,,pydx5p(1),
ABAYE_RS04905-MONOMER,,,pydx5p(1),
ABAYE_RS04960-MONOMER,,,k(1) AND mg2(1),
ABAYE_RS05065-MONOMER,,,mg2(1),
ABAYE_RS05175-MONOMER,,,mg2(1),
ABAYE_RS05185-MONOMER,,,fad(1),
ABAYE_RS05215-MONOMER,,,mg2(2),
ABAYE_RS05325-MONOMER,,,mg2(1),
ABAYE_RS05360-MONOMER,,,nad(1),
ABAYE_RS05400-MONOMER,,,mg2(1) AND cu(1) AND fad(1),
ABAYE_RS05425-MONOMER,,,mn2(1),
ABAYE_RS05425-MONOMER,,,mg2(1),
ABAYE_RS05515-MONOMER,,,mg2(1),
ABAYE_RS05520-MONOMER,,,pydx5p(1),
ABAYE_RS05960-MONOMER,,,mg2(1),
ABAYE_RS06005-MONOMER,,,zn2(1),
ABAYE_RS06065-MONOMER,,,mn2(1),
ABAYE_RS06115-MONOMER,,,mn2(1),
ABAYE_RS06135-MONOMER,,,mg2(1),
ABAYE_RS06135-MONOMER,,,mn2(1),
ABAYE_RS06175-MONOMER,,,4fe4s(2),
ABAYE_RS06205-MONOMER,,,fe2(2),
ABAYE_RS06435-MONOMER,,,mg2(1),
ABAYE_RS06485-MONOMER,,,zn2(2),
ABAYE_RS06820-MONOMER,,,mg2(1),
ABAYE_RS07250-MONOMER,,,mg2(1),
ABAYE_RS07335-MONOMER,,,ca2(1),
ABAYE_RS07335-MONOMER,,,mg2(1),
ABAYE_RS07365-MONOMER,,,mg2(1),
ABAYE_RS07630-MONOMER,,,mg2(2),
ABAYE_RS07645-MONOMER,,,fad(1),
ABAYE_RS07990-MONOMER,,,fad(1),
ABAYE_RS08155-MONOMER,,,nad(1),
ABAYE_RS08190-MONOMER,,,mn2(1),
ABAYE_RS08235-MONOMER,,,mg2(1),
ABAYE_RS08240-MONOMER,,,mg2(1) AND k(1),
