id	me_id	name	formula	compartment	type
mstrACP_c					CURATE
4hbzACP_c					CURATE
arachACP_c					CURATE
mmmeroacidcyc1ACP_c					CURATE
mkmeroacidcyc1ACP_c					CURATE
phdcaACP_c					CURATE
meroacidcyc2ACP_c					CURATE
mmeroacidcyc2ACP_c					CURATE
kmeroacidcyc2ACP_c					CURATE
meroacidACP_c					CURATE
meroacidcyc1ACP_c					CURATE
mmeroacidACP_c					CURATE
mmeroacidcyc1ACP_c					CURATE
kmeroacidACP_c					CURATE
kmeroacidcyc1ACP_c					CURATE
mmmeroacidACP_c					CURATE
mkmeroacidACP_c					CURATE
prephthACP_c					CURATE
prepphthACP_c					CURATE
sertrna_sec_c					CURATE
c78mycolateACP_c					CURATE
alatrna_c					REMOVE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cystrna_c					REMOVE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
histrna_c					REMOVE
iletrna_c					REMOVE
leutrna_c					REMOVE
lipopb_c					REMOVE
lystrna_c					REMOVE
mettrna_c					REMOVE
octapb_c					REMOVE
phetrna_c					REMOVE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
thrtrna_c					REMOVE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
2fe1s_c					REMOVE
iscs_c	G185E-7285-MONOMER_mod_pydx5p(2)				REPLACE
trdrd_c	G185E-8212-MONOMER				REPLACE
trdox_c	G185E-8212-MONOMER_mod_Oxidized(1)				REPLACE
LI_c					CURATE
sufbcd_c					CURATE
sufse_c					CURATE
sufsesh_c					CURATE
dsbard_p					CURATE
dsbaox_p					CURATE
dsbcrd_p					CURATE
dsbcox_p					CURATE
dsbdrd_c					CURATE
dsbdox_c					CURATE
dsbgrd_p					CURATE
dsbgox_p					CURATE
lpp_p					CURATE
alpp_p					CURATE
moadamp_c					CURATE
moadcoo_c					CURATE
moadcosh_c					CURATE
apoACP_c					CURATE
ACP_c					CURATE
3haACP_c					CURATE
3hcddec5eACP_c					CURATE
3hcmrs7eACP_c					CURATE
3hcpalm9eACP_c					CURATE
3hcvac11eACP_c					CURATE
3hddecACP_c					CURATE
3hdecACP_c					CURATE
3hhexACP_c					CURATE
3hmrsACP_c					CURATE
3hoctACP_c					CURATE
3hoctaACP_c					CURATE
3hpalmACP_c					CURATE
3ocddec5eACP_c					CURATE
3ocmrs7eACP_c					CURATE
3ocvac11eACP_c					CURATE
3oddecACP_c					CURATE
3odecACP_c					CURATE
3ohexACP_c					CURATE
3omrsACP_c					CURATE
3ooctACP_c					CURATE
3ooctdACP_c					CURATE
3opalmACP_c					CURATE
3ocpalm9eACP_c					CURATE
acACP_c					CURATE
actACP_c					CURATE
butACP_c					CURATE
but2eACP_c					CURATE
cddec5eACP_c					CURATE
cdec3eACP_c					CURATE
dcaACP_c					CURATE
ddcaACP_c					CURATE
egmeACP_c					CURATE
epmeACP_c					CURATE
gmeACP_c					CURATE
hdeACP_c					CURATE
hexACP_c					CURATE
hgmeACP_c					CURATE
hpmeACP_c					CURATE
malACP_c					CURATE
myrsACP_c					CURATE
ocACP_c					CURATE
ocdcaACP_c					CURATE
octeACP_c					CURATE
ogmeACP_c					CURATE
opmeACP_c					CURATE
palmACP_c					CURATE
pimACP_c					CURATE
pmeACP_c					CURATE
t3c11vaceACP_c					CURATE
t3c5ddeceACP_c					CURATE
t3c7mrseACP_c					CURATE
t3c9palmeACP_c					CURATE
tddec2eACP_c					CURATE
tdeACP_c					CURATE
tdec2eACP_c					CURATE
thex2eACP_c					CURATE
tmrs2eACP_c					CURATE
toct2eACP_c					CURATE
toctd2eACP_c					CURATE
tpalm2eACP_c					CURATE
flxr_c					CURATE
fldrd_c					CURATE
flxso_c					CURATE
fldox_c					CURATE
grxrd_c					CURATE
grxox_c					CURATE
iscssh_c					CURATE
iscu_c					CURATE
