bnum	position	modification
STM0249	1518	m62A
STM0249	1519	m62A
STM2659	1518	m62A
STM2659	1519	m62A
STM3398	1518	m62A
STM3398	1519	m62A
STM3889	1518	m62A
STM3889	1519	m62A
STM3988	1518	m62A
STM3988	1519	m62A
STM4132	1518	m62A
STM4132	1519	m62A
STM4177	1518	m62A
STM4177	1519	m62A
STM0249	967	m5C
STM2659	967	m5C
STM3398	967	m5C
STM3889	967	m5C
STM3988	967	m5C
STM4132	967	m5C
STM4177	967	m5C
STM0249	966	m2G
STM2659	966	m2G
STM3398	966	m2G
STM3889	966	m2G
STM3988	966	m2G
STM4132	966	m2G
STM4177	966	m2G
STM0249	1498	m3U
STM2659	1498	m3U
STM3398	1498	m3U
STM3889	1498	m3U
STM3988	1498	m3U
STM4132	1498	m3U
STM4177	1498	m3U
STM0249	527	m7G
STM2659	527	m7G
STM3398	527	m7G
STM3889	527	m7G
STM3988	527	m7G
STM4132	527	m7G
STM4177	527	m7G
STM0249	1402	m4Cm
STM2659	1402	m4Cm
STM3398	1402	m4Cm
STM3889	1402	m4Cm
STM3988	1402	m4Cm
STM4132	1402	m4Cm
STM4177	1402	m4Cm
STM0249	516	Y
STM2659	516	Y
STM3398	516	Y
STM3889	516	Y
STM3988	516	Y
STM4132	516	Y
STM4177	516	Y
STM0252	2503	m2A
STM2657	2503	m2A
STM3396	2503	m2A
STM3891	2503	m2A
STM3991	2503	m2A
STM4135	2503	m2A
STM4179	2503	m2A
STM0252	2251	Gm
STM2657	2251	Gm
STM3396	2251	Gm
STM3891	2251	Gm
STM3991	2251	Gm
STM4135	2251	Gm
STM4179	2251	Gm
STM0252	1939	m5U
STM2657	1939	m5U
STM3396	1939	m5U
STM3891	1939	m5U
STM3991	1939	m5U
STM4135	1939	m5U
STM4179	1939	m5U
STM0252	2498	Cm
STM2657	2498	Cm
STM3396	2498	Cm
STM3891	2498	Cm
STM3991	2498	Cm
STM4135	2498	Cm
STM4179	2498	Cm
STM0252	745	m1G
STM2657	745	m1G
STM3396	745	m1G
STM3891	745	m1G
STM3991	745	m1G
STM4135	745	m1G
STM4179	745	m1G
STM0252	1835	m2G
STM2657	1835	m2G
STM3396	1835	m2G
STM3891	1835	m2G
STM3991	1835	m2G
STM4135	1835	m2G
STM4179	1835	m2G
STM0252	1962	m5C
STM2657	1962	m5C
STM3396	1962	m5C
STM3891	1962	m5C
STM3991	1962	m5C
STM4135	1962	m5C
STM4179	1962	m5C
STM0252	1618	m6A
STM2657	1618	m6A
STM3396	1618	m6A
STM3891	1618	m6A
STM3991	1618	m6A
STM4135	1618	m6A
STM4179	1618	m6A
STM0252	2069	m7G
STM2657	2069	m7G
STM3396	2069	m7G
STM3891	2069	m7G
STM3991	2069	m7G
STM4135	2069	m7G
STM4179	2069	m7G
STM0252	2552	Um
STM2657	2552	Um
STM3396	2552	Um
STM3891	2552	Um
STM3991	2552	Um
STM4135	2552	Um
STM4179	2552	Um
STM0252	1911	Y
STM0252	1915	Y
STM0252	1917	Y
STM2657	1911	Y
STM2657	1915	Y
STM2657	1917	Y
STM3396	1911	Y
STM3396	1915	Y
STM3396	1917	Y
STM3891	1911	Y
STM3891	1915	Y
STM3891	1917	Y
STM3991	1911	Y
STM3991	1915	Y
STM3991	1917	Y
STM4135	1911	Y
STM4135	1915	Y
STM4135	1917	Y
STM4179	1911	Y
STM4179	1915	Y
STM4179	1917	Y
