complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,STM3379(2) AND STM2366(2) AND STM0232(2) AND STM3380(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),STM2431(1) AND STM2433(1) AND STM1203(2) AND STM2432(2),,
CPLX_ACGAptspp-1,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),STM2431(1) AND STM2432(2) AND STM0685(2),,
CPLX_ACMANAptspp-0,N-acetyl-D-mannosamine transport via PTS  (periplasm),STM2431(1) AND STM1831(2) AND STM2432(2) AND STM1830(1) AND STM1832(1),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,STM1196() AND STM1193(),,
CPLX_ADOCBLtonex-0,Adenosylcobalimin transport via ton system (extermal),STM4130() AND STM1737() AND STM3158() AND STM3159(),,
CPLX_4PEPTabcpp-0,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),STM1745() AND STM1744() AND STM1743() AND STM1742(),,
CPLX_AACPS1-0,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),STM3010() AND STM1196(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),STM0891(2) AND STM0889(1) AND STM0890(1) AND STM0887(1) AND STM0888(1),,
CPLX_ASCBptspp-0,L-ascorbate transport via PEP:Pyr PTS (periplasm),STM2431() AND STM2432() AND STM4385() AND STM4384(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),STM2162(1) AND STM2164(1) AND STM2165(1) AND STM2163(2),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),STM0665() AND STM0664() AND STM0663() AND STM0662(),,
CPLX_CITL-0,Citrate lyase,STM0621() AND STM0622() AND STM0623() AND STM0620(),,
CPLX_CITL-1,Citrate lyase,STM0059() AND STM0060() AND STM0061() AND STM0620(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),STM3869() AND STM3864() AND STM3868() AND STM3872() AND STM3867() AND STM3866() AND STM3871() AND STM3870() AND STM3865(),,
CPLX_CPGNtonex-0,Coprogen transport via ton system (extracellular),STM1204() AND STM3158() AND STM1737() AND STM3159(),,
CPLX_DSBAO1-0,DsbA protein reoxidation reaction (aerobic),STM3997() AND STM1807(),,
CPLX_DSBDR-0,DsbD reductase,STM4323() AND STM3915(),,
CPLX_DSBDR-1,DsbD reductase,STM4323() AND STM2649(),,
CPLX_ECAP3pp-0,Enterobacterial common antigen polymerase (periplasm),STM3919() AND STM3928(),,
CPLX_FE3DHBZStonex-0,"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)",STM3158() AND STM1737() AND STM2199() AND STM3159(),,
CPLX_FE3HOXtonex-0,Fe(III)hydroxamine transport via ton system (extracellular),STM1737() AND STM0191() AND STM3158() AND STM3159(),,
CPLX_FEENTERtonex-0,Fe-enterobactin transport via ton system (extracellular),STM1737() AND STM3158() AND STM0585() AND STM3159(),,
CPLX_FLDR-0,Flavodoxin reductase (NADPH),STM0694() AND STM4084(),,
CPLX_FLDR-1,Flavodoxin reductase (NADPH),STM3045() AND STM4084(),,
CPLX_FRUptspp-0,D-fructose transport via PEP:Pyr PTS (periplasm),STM2431(1) AND STM2432(2) AND STM2204(2) AND STM2206(1),,
CPLX_FUM-0,Fumarase,STM0761() AND STM0762(),,
CPLX_GALUi-0,UTP-glucose-1-phosphate uridylyltransferase (irreversible),STM1752() AND STM2098(),,
CPLX_GLYCL-0,Glycine Cleavage System,STM3054(1) AND STM0154(2) AND STM3055(1) AND STM3053(2),,
CPLX_GLCptspp-0,D-glucose transport via PEP:Pyr PTS (periplasm),STM2433() AND STM2431() AND STM2432(),,
CPLX_INDOLEt2pp-0,"Indole transport via proton symport, irreversible (periplasm)",STM3390() AND STM3391(),,
CPLX_Kt2pp-0,Potassium transport in via proton symport (periplasm),STM3986() AND STM1695() AND STM3409(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,STM1196() AND STM1194(),,
CPLX_METDabcpp-0,D-methionine transport via ABC system (periplasm),STM0245() AND STM0246() AND STM0247(2),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,STM4408() AND STM2649(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,STM4408() AND STM3915(),,
CPLX_METSOXR2-0,L-methionine-R-sulfoxide reductase,STM1291() AND STM2649(),,
CPLX_METSOXR2-1,L-methionine-R-sulfoxide reductase,STM1291() AND STM3915(),,
CPLX_MNLptspp-0,Mannitol transport via PEP:Pyr PTS (periplasm),STM2431(1) AND STM2432(2) AND STM3685(2),,
CPLX_MOBDabcpp-0,Molybdate transport via ABC system (periplasm),STM2441(2) AND STM2442(1) AND STM2443(1) AND STM2444(1),,
CPLX_MOBDabcpp-1,Molybdate transport via ABC system (periplasm),STM0782(2) AND STM0783(2) AND STM0781(1),,
CPLX_NHFRBO-0,NADH:flavorubredoxin oxidoreductase,STM2840() AND STM2841(),,
CPLX_NADH16pp-0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),STM2317() AND STM2318() AND STM2319() AND STM2320() AND STM2321() AND STM2322() AND STM2324() AND STM2325() AND STM2326() AND STM2327() AND STM2328(),,
CPLX_NO3R1bpp-0,Nitrate reductase (Ubiquinol-8),STM2255() AND STM2256() AND STM2257() AND STM2258() AND STM2259(),,
CPLX_NO3R1pp-0,Nitrate reductase (Ubiquinol-8) (periplasm),STM1580() AND STM1579() AND STM1578() AND STM1577(),,
CPLX_NO3R1pp-1,Nitrate reductase (Ubiquinol-8) (periplasm),STM1764() AND STM1763() AND STM1762() AND STM1761(),,
CPLX_NO3R2bpp-0,Nitrate reductase (Menaquinol-8) (periplasm),STM2255() AND STM2256() AND STM2259() AND STM2260(),,
CPLX_NTRIR3pp-0,"Nitrite Reductase (Ubiquinole-8, periplasm)",STM4277() AND STM4279() AND STM4280(),,
CPLX_OBTFL-0,2-Oxobutanoate formate lyase,STM0970() AND STM0973() AND STM2646(),,
CPLX_OBTFL-1,2-Oxobutanoate formate lyase,STM0970() AND STM0973(),,
CPLX_OBTFL-2,2-Oxobutanoate formate lyase,STM0970() AND STM3241(),,
CPLX_PAPSR-0,Phosphoadenylyl-sulfate reductase (thioredoxin),STM2946() AND STM2649(),,
CPLX_PAPSR-1,Phosphoadenylyl-sulfate reductase (thioredoxin),STM2946() AND STM3915(),,
CPLX_PAPSR2-0,Phosphoadenylyl-sulfate reductase (glutaredoxin),STM2946() AND STM0872(),,
CPLX_PAPSR2-1,Phosphoadenylyl-sulfate reductase (glutaredoxin),STM2946() AND STM1165(),,
CPLX_PAPSR2-2,Phosphoadenylyl-sulfate reductase (glutaredoxin),STM2946() AND STM1433(),,
CPLX_PAPSR2-3,Phosphoadenylyl-sulfate reductase (glutaredoxin),STM2946() AND STM3702(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,STM0091() AND STM2578(),,
CPLX_PDX5PS-1,Pyridoxine 5'-phosphate synthase,STM0163() AND STM2578(),,
CPLX_PFL-0,Pyruvate formate lyase,STM4114(2) AND STM4115(1),,
