Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
USA300HOU_RS05015,USA300HOU_RS05015,1015079,1016165,USA300HOU_RS05015-MONOMER,NC_010079.1
USA300HOU_RS05975,USA300HOU_RS05975,1198407,1198971,USA300HOU_RS05975-MONOMER,NC_010079.1
USA300HOU_RS05890,USA300HOU_RS05890,1181907,1181981,USA300HOU_RS05890-tRNA,NC_010079.1
USA300HOU_RS03345,USA300HOU_RS03345,693147,693450,USA300HOU_RS03345-MONOMER,NC_010079.1
USA300HOU_RS08315,USA300HOU_RS08315,1668514,1669861,USA300HOU_RS08315-MONOMER,NC_010079.1
USA300HOU_RS03825,USA300HOU_RS03825,782546,782987,USA300HOU_RS03825-MONOMER,NC_010079.1
USA300HOU_RS11530,USA300HOU_RS11530,2253079,2254381,USA300HOU_RS11530-MONOMER,NC_010079.1
USA300HOU_RS07725,USA300HOU_RS07725,1578684,1579326,USA300HOU_RS07725-MONOMER,NC_010079.1
USA300HOU_RS04900,USA300HOU_RS04900,990108,991191,USA300HOU_RS04900-MONOMER,NC_010079.1
USA300HOU_RS14540,USA300HOU_RS14540,2837985,2839236,USA300HOU_RS14540-MONOMER,NC_010079.1
USA300HOU_RS03930,USA300HOU_RS03930,803569,805075,USA300HOU_RS03930-MONOMER,NC_010079.1
USA300HOU_RS00490,USA300HOU_RS00490,102992,103736,USA300HOU_RS00490-MONOMER,NC_010079.1
USA300HOU_RS13910,USA300HOU_RS13910,2704704,2705832,USA300HOU_RS13910-MONOMER,NC_010079.1
USA300HOU_RS01950,USA300HOU_RS01950,420047,420986,USA300HOU_RS01950-MONOMER,NC_010079.1
USA300HOU_RS03005,USA300HOU_RS03005,631875,633276,USA300HOU_RS03005-MONOMER,NC_010079.1
USA300HOU_RS04090,USA300HOU_RS04090,835609,836449,USA300HOU_RS04090-MONOMER,NC_010079.1
USA300HOU_RS01605,USA300HOU_RS01605,352078,352567,USA300HOU_RS01605-MONOMER,NC_010079.1
USA300HOU_RS13955,USA300HOU_RS13955,2714974,2715544,USA300HOU_RS13955-MONOMER,NC_010079.1
USA300HOU_RS01030,USA300HOU_RS01030,228841,231631,USA300HOU_RS01030-MONOMER,NC_010079.1
USA300HOU_RS11705,USA300HOU_RS11705,2292673,2292748,USA300HOU_RS11705-tRNA,NC_010079.1
USA300HOU_RS02640,USA300HOU_RS02640,552667,553033,USA300HOU_RS02640-MONOMER,NC_010079.1
USA300HOU_RS05100,USA300HOU_RS05100,1034091,1035078,USA300HOU_RS05100-MONOMER,NC_010079.1
USA300HOU_RS13740,USA300HOU_RS13740,2668741,2668945,USA300HOU_RS13740-MONOMER,NC_010079.1
USA300HOU_RS12510,USA300HOU_RS12510,2429778,2430576,USA300HOU_RS12510-MONOMER,NC_010079.1
USA300HOU_RS12180,USA300HOU_RS12180,2371194,2371503,USA300HOU_RS12180-MONOMER,NC_010079.1
USA300HOU_RS08435,USA300HOU_RS08435,1692559,1693537,USA300HOU_RS08435-MONOMER,NC_010079.1
USA300HOU_RS11635,USA300HOU_RS11635,2274647,2276780,USA300HOU_RS11635-MONOMER,NC_010079.1
USA300HOU_RS15715,USA300HOU_RS15715,476793,476859,USA300HOU_RS15715-MONOMER,NC_010079.1
USA300HOU_RS10890,USA300HOU_RS10890,2134434,2135346,USA300HOU_RS10890-MONOMER,NC_010079.1
USA300HOU_RS14420,USA300HOU_RS14420,2811512,2818328,USA300HOU_RS14420-MONOMER,NC_010079.1
USA300HOU_RS11200,USA300HOU_RS11200,2192656,2193136,USA300HOU_RS11200-MONOMER,NC_010079.1
USA300HOU_RS04530,USA300HOU_RS04530,915228,915693,USA300HOU_RS04530-MONOMER,NC_010079.1
USA300HOU_RS14440,USA300HOU_RS14440,2820701,2821061,USA300HOU_RS14440-MONOMER,NC_010079.1
USA300HOU_RS04450,USA300HOU_RS04450,899999,900272,USA300HOU_RS04450-MONOMER,NC_010079.1
USA300HOU_RS08825,USA300HOU_RS08825,1767985,1768087,USA300HOU_RS08825-MONOMER,NC_010079.1
USA300HOU_RS00730,USA300HOU_RS00730,159117,159780,USA300HOU_RS00730-MONOMER,NC_010079.1
USA300HOU_RS14760,USA300HOU_RS14760,0,420,USA300HOU_RS14760-MONOMER,USA300HOU_RS14760
USA300HOU_RS13810,USA300HOU_RS13810,2680707,2680965,USA300HOU_RS13810-MONOMER,NC_010079.1
USA300HOU_RS05980,USA300HOU_RS05980,1198982,1199273,USA300HOU_RS05980-MONOMER,NC_010079.1
USA300HOU_RS09425,USA300HOU_RS09425,1903840,1904695,USA300HOU_RS09425-MONOMER,NC_010079.1
USA300HOU_RS01285,USA300HOU_RS01285,290335,291595,USA300HOU_RS01285-MONOMER,NC_010079.1
USA300HOU_RS00005,USA300HOU_RS00005,543,1905,USA300HOU_RS00005-MONOMER,NC_010079.1
USA300HOU_RS00520,USA300HOU_RS00520,110963,111734,USA300HOU_RS00520-MONOMER,NC_010079.1
USA300HOU_RS12960,USA300HOU_RS12960,2516941,2520631,USA300HOU_RS12960-MONOMER,NC_010079.1
USA300HOU_RS03535,USA300HOU_RS03535,728131,729199,USA300HOU_RS03535-MONOMER,NC_010079.1
USA300HOU_RS13880,USA300HOU_RS13880,2696687,2699096,USA300HOU_RS13880-MONOMER,NC_010079.1
USA300HOU_RS09145,USA300HOU_RS09145,1835311,1836916,USA300HOU_RS09145-MONOMER,NC_010079.1
USA300HOU_RS13045,USA300HOU_RS13045,2534328,2535048,USA300HOU_RS13045-MONOMER,NC_010079.1
USA300HOU_RS13505,USA300HOU_RS13505,2620436,2620703,USA300HOU_RS13505-MONOMER,NC_010079.1
USA300HOU_RS11310,USA300HOU_RS11310,2215018,2215708,USA300HOU_RS11310-MONOMER,NC_010079.1
USA300HOU_RS14115,USA300HOU_RS14115,2741038,2742376,USA300HOU_RS14115-MONOMER,NC_010079.1
USA300HOU_RS03010,USA300HOU_RS03010,633819,635196,USA300HOU_RS03010-MONOMER,NC_010079.1
USA300HOU_RS04030,USA300HOU_RS04030,822863,823625,USA300HOU_RS04030-MONOMER,NC_010079.1
USA300HOU_RS01610,USA300HOU_RS01610,353189,353564,USA300HOU_RS01610-MONOMER,NC_010079.1
USA300HOU_RS06330,USA300HOU_RS06330,1275513,1275627,USA300HOU_RS06330-MONOMER,NC_010079.1
USA300HOU_RS05590,USA300HOU_RS05590,1130601,1131036,USA300HOU_RS05590-MONOMER,NC_010079.1
USA300HOU_RS08130,USA300HOU_RS08130,1639452,1640334,USA300HOU_RS08130-MONOMER,NC_010079.1
USA300HOU_RS13995,USA300HOU_RS13995,2719858,2720869,USA300HOU_RS13995-MONOMER,NC_010079.1
USA300HOU_RS08440,USA300HOU_RS08440,1693636,1694761,USA300HOU_RS08440-MONOMER,NC_010079.1
USA300HOU_RS12185,USA300HOU_RS12185,2371859,2372249,USA300HOU_RS12185-MONOMER,NC_010079.1
USA300HOU_RS10895,USA300HOU_RS10895,2135506,2136814,USA300HOU_RS10895-MONOMER,NC_010079.1
USA300HOU_RS06570,USA300HOU_RS06570,1333011,1333488,USA300HOU_RS06570-MONOMER,NC_010079.1
USA300HOU_RS12685,USA300HOU_RS12685,2463495,2464704,USA300HOU_RS12685-MONOMER,NC_010079.1
USA300HOU_RS02450,USA300HOU_RS02450,518694,520032,USA300HOU_RS02450-MONOMER,NC_010079.1
USA300HOU_RS14180,USA300HOU_RS14180,2754856,2756479,USA300HOU_RS14180-MONOMER,NC_010079.1
USA300HOU_RS00010,USA300HOU_RS00010,2182,3316,USA300HOU_RS00010-MONOMER,NC_010079.1
USA300HOU_RS10100,USA300HOU_RS10100,2004703,2005654,USA300HOU_RS10100-MONOMER,NC_010079.1
USA300HOU_RS04200,USA300HOU_RS04200,860519,862037,USA300HOU_RS04200-MONOMER,NC_010079.1
USA300HOU_RS10055,USA300HOU_RS10055,1998023,1998099,USA300HOU_RS10055-tRNA,NC_010079.1
USA300HOU_RS01380,USA300HOU_RS01380,311510,312947,USA300HOU_RS01380-MONOMER,NC_010079.1
USA300HOU_RS00540,USA300HOU_RS00540,115883,117062,USA300HOU_RS00540-MONOMER,NC_010079.1
USA300HOU_RS10295,USA300HOU_RS10295,2037827,2038358,USA300HOU_RS10295-MONOMER,NC_010079.1
USA300HOU_RS08830,USA300HOU_RS08830,1768147,1769434,USA300HOU_RS08830-MONOMER,NC_010079.1
USA300HOU_RS07855,USA300HOU_RS07855,1594488,1594746,USA300HOU_RS07855-MONOMER,NC_010079.1
USA300HOU_RS07160,USA300HOU_RS07160,1440969,1441599,USA300HOU_RS07160-MONOMER,NC_010079.1
USA300HOU_RS05985,USA300HOU_RS05985,1199382,1200162,USA300HOU_RS05985-MONOMER,NC_010079.1
USA300HOU_RS15310,USA300HOU_RS15310,1516007,1516387,USA300HOU_RS15310-ncRNA,NC_010079.1
USA300HOU_RS03350,USA300HOU_RS03350,693463,693784,USA300HOU_RS03350-MONOMER,NC_010079.1
USA300HOU_RS07940,USA300HOU_RS07940,1602848,1603283,USA300HOU_RS07940-MONOMER,NC_010079.1
USA300HOU_RS04600,USA300HOU_RS04600,926008,926788,USA300HOU_RS04600-MONOMER,NC_010079.1
USA300HOU_RS02000,USA300HOU_RS02000,426057,426441,USA300HOU_RS02000-MONOMER,NC_010079.1
USA300HOU_RS06920,USA300HOU_RS06920,1393711,1394920,USA300HOU_RS06920-MONOMER,NC_010079.1
USA300HOU_RS11775,USA300HOU_RS11775,2307871,2308840,USA300HOU_RS11775-MONOMER,NC_010079.1
USA300HOU_RS15855,USA300HOU_RS15855,2863588,2863675,USA300HOU_RS15855-MONOMER,NC_010079.1
USA300HOU_RS08205,USA300HOU_RS08205,1652203,1653295,USA300HOU_RS08205-MONOMER,NC_010079.1
USA300HOU_RS14765,USA300HOU_RS14765,0,846,USA300HOU_RS14765-MONOMER,USA300HOU_RS14765
USA300HOU_RS03015,USA300HOU_RS03015,635197,636337,USA300HOU_RS03015-MONOMER,NC_010079.1
USA300HOU_RS13165,USA300HOU_RS13165,2555656,2555764,USA300HOU_RS13165-MONOMER,NC_010079.1
USA300HOU_RS01615,USA300HOU_RS01615,353716,354115,USA300HOU_RS01615-MONOMER,NC_010079.1
USA300HOU_RS02645,USA300HOU_RS02645,553029,553506,USA300HOU_RS02645-MONOMER,NC_010079.1
USA300HOU_RS07315,USA300HOU_RS07315,1468613,1468808,USA300HOU_RS07315-MONOMER,NC_010079.1
USA300HOU_RS00015,USA300HOU_RS00015,3696,3942,USA300HOU_RS00015-MONOMER,NC_010079.1
USA300HOU_RS08450,USA300HOU_RS08450,1695323,1697147,USA300HOU_RS08450-MONOMER,NC_010079.1
USA300HOU_RS12190,USA300HOU_RS12190,2372440,2373775,USA300HOU_RS12190-MONOMER,NC_010079.1
USA300HOU_RS10900,USA300HOU_RS10900,2137666,2138110,USA300HOU_RS10900-MONOMER,NC_010079.1
USA300HOU_RS07730,USA300HOU_RS07730,1579360,1579756,USA300HOU_RS07730-MONOMER,NC_010079.1
USA300HOU_RS01130,USA300HOU_RS01130,254875,256255,USA300HOU_RS01130-MONOMER,NC_010079.1
USA300HOU_RS15185,USA300HOU_RS15185,900283,900457,USA300HOU_RS15185-MONOMER,NC_010079.1
USA300HOU_RS01415,USA300HOU_RS01415,316866,317865,USA300HOU_RS01415-MONOMER,NC_010079.1
USA300HOU_RS13325,USA300HOU_RS13325,2587345,2587603,USA300HOU_RS13325-MONOMER,NC_010079.1
USA300HOU_RS01335,USA300HOU_RS01335,301489,303178,USA300HOU_RS01335-MONOMER,NC_010079.1
USA300HOU_RS08160,USA300HOU_RS08160,1644069,1644534,USA300HOU_RS08160-MONOMER,NC_010079.1
USA300HOU_RS08010,USA300HOU_RS08010,1615318,1615768,USA300HOU_RS08010-MONOMER,NC_010079.1
USA300HOU_RS08835,USA300HOU_RS08835,1769481,1770456,USA300HOU_RS08835-MONOMER,NC_010079.1
USA300HOU_RS11900,USA300HOU_RS11900,2333257,2334049,USA300HOU_RS11900-MONOMER,NC_010079.1
USA300HOU_RS00735,USA300HOU_RS00735,159807,160986,USA300HOU_RS00735-MONOMER,NC_010079.1
USA300HOU_RS00935,USA300HOU_RS00935,200501,201527,USA300HOU_RS00935-MONOMER,NC_010079.1
USA300HOU_RS04290,USA300HOU_RS04290,880162,880849,USA300HOU_RS04290-MONOMER,NC_010079.1
USA300HOU_RS05990,USA300HOU_RS05990,1200185,1200803,USA300HOU_RS05990-MONOMER,NC_010079.1
USA300HOU_RS07040,USA300HOU_RS07040,1419200,1419545,USA300HOU_RS07040-MONOMER,NC_010079.1
