TU_id,replicon,genes,start,stop,tss,strand,rho_dependent,rnapol
TU2KSB-3046_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS12625,2452583,2453002,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2712_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1","USA300HOU_RS09145,USA300HOU_RS09140",1834165,1836916,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2884_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS10980,2150409,2150516,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-3463_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS05565,1126474,1127385,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-3304_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS13685,2659566,2660558,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2055_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS02410,508632,509156,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2931_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS11490,2246119,2246979,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-2196_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS03735,765004,766377,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2281_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS04470,901353,903725,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2176_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1","USA300HOU_RS03580,USA300HOU_RS03575",734768,737408,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-1990_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1,NC_010079.1","USA300HOU_RS01800,USA300HOU_RS01795,USA300HOU_RS01790",390996,393577,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2548_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS07230,1456686,1456886,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-2333_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1","USA300HOU_RS04970,USA300HOU_RS04965",1005824,1007018,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-2814_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS10175,2019259,2019774,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-2729_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS09270,1866152,1867228,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-2078_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1,NC_010079.1","USA300HOU_RS02645,USA300HOU_RS02640,USA300HOU_RS02635",551887,553506,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2629_from_USA300HOU_RS08330-MONOMER,"NC_010079.1,NC_010079.1","USA300HOU_RS08215,USA300HOU_RS08210",1653454,1654114,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-3303_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS13690,2660807,2661607,,-,True,USA300HOU_RS08330-MONOMER
TU2KSB-3035_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS12535,2433860,2434732,,+,True,USA300HOU_RS08330-MONOMER
TU2KSB-2895_from_USA300HOU_RS08330-MONOMER,NC_010079.1,USA300HOU_RS11110,2176448,2176562,,-,True,USA300HOU_RS08330-MONOMER
