,value
generic_16Sm4Cm1402,{'enzymes': ['USA300HOU_RS05925-MONOMER']}
generic_LYSINEaaRS,{'enzymes': ['USA300HOU_RS02655-MONOMER']}
generic_Dus,{'enzymes': ['USA300HOU_RS00455-MONOMER']}
generic_RF,"{'enzymes': ['USA300HOU_RS11435-MONOMER', 'USA300HOU_RS04080-MONOMER']}"
generic_Tuf,{'enzymes': ['USA300HOU_RS02880-MONOMER']}
generic_RNase,{'enzymes': ['CPLX_dummy']}
generic_16s_rRNAs,"{'enzymes': ['RNA_USA300HOU_RS02435', 'RNA_USA300HOU_RS02705', 'RNA_USA300HOU_RS10090', 'RNA_USA300HOU_RS11120', 'RNA_USA300HOU_RS11720']}"
generic_23s_rRNAs,"{'enzymes': ['RNA_USA300HOU_RS02440', 'RNA_USA300HOU_RS02715', 'RNA_USA300HOU_RS10075', 'RNA_USA300HOU_RS11115', 'RNA_USA300HOU_RS11715']}"
generic_5s_rRNAs,"{'enzymes': ['RNA_USA300HOU_RS02445', 'RNA_USA300HOU_RS02660', 'RNA_USA300HOU_RS02720', 'RNA_USA300HOU_RS10070', 'RNA_USA300HOU_RS11110', 'RNA_USA300HOU_RS11710']}"
generic_fes_transfers_complex,{'enzymes': ['USA300HOU_RS04660-MONOMER']}
