Modified_enzyme,Core_enzyme,Modifications,Source
CPLX2KSB-27_mod_zn2(1)_mod_mg2(2),CPLX2KSB-27,zn2(1) AND mg2(2),RNA_Polymerase
USA300HOU_RS11085-MONOMER_mod_mg2(1)_mod_mn2(1),USA300HOU_RS11085-MONOMER,mg2(1) AND mn2(1),Homology
USA300HOU_RS04040-MONOMER_mod_mg2(1),USA300HOU_RS04040-MONOMER,mg2(1),Homology
USA300HOU_RS07295-MONOMER_mod_mg2(1),USA300HOU_RS07295-MONOMER,mg2(1),Homology
USA300HOU_RS02630-MONOMER_mod_pydx5p(2),USA300HOU_RS02630-MONOMER,pydx5p(2),Homology
USA300HOU_RS06785-MONOMER_mod_hemed(6),USA300HOU_RS06785-MONOMER,hemed(6),Homology
USA300HOU_RS02635-MONOMER_mod_mg2(1),USA300HOU_RS02635-MONOMER,mg2(1),Homology
USA300HOU_RS05905-MONOMER_mod_mn2(1),USA300HOU_RS05905-MONOMER,mn2(1),Homology
USA300HOU_RS05445-MONOMER_mod_fe2(1),USA300HOU_RS05445-MONOMER,fe2(1),Homology
USA300HOU_RS02645-MONOMER_mod_mg2(1),USA300HOU_RS02645-MONOMER,mg2(1),Homology
USA300HOU_RS10300-MONOMER_mod_4fe4s(1),USA300HOU_RS10300-MONOMER,4fe4s(1),Homology
USA300HOU_RS02655-MONOMER_mod_mg2(6),USA300HOU_RS02655-MONOMER,mg2(6),Homology
USA300HOU_RS02655-MONOMER_mod_lys__L(1),USA300HOU_RS02655-MONOMER,lys__L(1),Homology
USA300HOU_RS10240-MONOMER_mod_fe2(2),USA300HOU_RS10240-MONOMER,fe2(2),Homology
USA300HOU_RS03230-MONOMER_mod_mg2(1),USA300HOU_RS03230-MONOMER,mg2(1),Homology
USA300HOU_RS00125-MONOMER_mod_zn2(1),USA300HOU_RS00125-MONOMER,zn2(1),Homology
USA300HOU_RS00125-MONOMER_mod_cobalt2(1),USA300HOU_RS00125-MONOMER,cobalt2(1),Homology
USA300HOU_RS00675-MONOMER_mod_nad(1),USA300HOU_RS00675-MONOMER,nad(1),Homology
USA300HOU_RS11450-MONOMER_mod_mg2(3),USA300HOU_RS11450-MONOMER,mg2(3),Homology
USA300HOU_RS08370-MONOMER_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1),USA300HOU_RS08370-MONOMER,cd2(1) AND zn2(1) AND mg2(1) AND mn2(1) AND cobalt2(1),Homology
USA300HOU_RS07355-MONOMER_mod_pydx5p(1),USA300HOU_RS07355-MONOMER,pydx5p(1),Homology
USA300HOU_RS11100-MONOMER_mod_pydx5p(1),USA300HOU_RS11100-MONOMER,pydx5p(1),Homology
USA300HOU_RS12070-MONOMER_mod_mg2(1),USA300HOU_RS12070-MONOMER,mg2(1),Homology
USA300HOU_RS02780-MONOMER_mod_mg2(1)_mod_zn2(1),USA300HOU_RS02780-MONOMER,mg2(1) AND zn2(1),Homology
USA300HOU_RS02790-MONOMER_mod_zn2(1),USA300HOU_RS02790-MONOMER,zn2(1),Homology
USA300HOU_RS08040-MONOMER_mod_zn2(2),USA300HOU_RS08040-MONOMER,zn2(2),Homology
USA300HOU_RS08680-MONOMER_mod_mg2(4),USA300HOU_RS08680-MONOMER,mg2(4),Homology
USA300HOU_RS02070-MONOMER_mod_mg2(1),USA300HOU_RS02070-MONOMER,mg2(1),Homology
USA300HOU_RS00150-MONOMER_mod_mg2(1),USA300HOU_RS00150-MONOMER,mg2(1),Homology
USA300HOU_RS08420-MONOMER_mod_zn2(4),USA300HOU_RS08420-MONOMER,zn2(4),Homology
USA300HOU_RS05525-MONOMER_mod_mg2(1),USA300HOU_RS05525-MONOMER,mg2(1),Homology
USA300HOU_RS06830-MONOMER_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1),USA300HOU_RS06830-MONOMER,thmpp(1) AND mn2(1) AND mg2(1),Homology
USA300HOU_RS05760-MONOMER_mod_mg2(1),USA300HOU_RS05760-MONOMER,mg2(1),Homology
USA300HOU_RS08635-MONOMER_mod_pydx5p(2),USA300HOU_RS08635-MONOMER,pydx5p(2),Homology
USA300HOU_RS02840-MONOMER_mod_acetyl(1),USA300HOU_RS02840-MONOMER,acetyl(1),Homology
USA300HOU_RS10385-MONOMER_mod_mg2(1),USA300HOU_RS10385-MONOMER,mg2(1),Homology
USA300HOU_RS10385-MONOMER_mod_mn2(1),USA300HOU_RS10385-MONOMER,mn2(1),Homology
USA300HOU_RS06545-MONOMER_mod_mg2(1),USA300HOU_RS06545-MONOMER,mg2(1),Homology
USA300HOU_RS06545-MONOMER_mod_mn2(1),USA300HOU_RS06545-MONOMER,mn2(1),Homology
USA300HOU_RS00960-MONOMER_mod_mg2(1),USA300HOU_RS00960-MONOMER,mg2(1),Homology
