,value
ala__L_c,USA300HOU_RS08615-MONOMER_mod_zn2(4)
arg__L_c,USA300HOU_RS03230-MONOMER_mod_mg2(1)
asn__L_c,USA300HOU_RS07440-MONOMER
asp__L_c,USA300HOU_RS08675-MONOMER
cys__L_c,USA300HOU_RS02790-MONOMER_mod_zn2(1)
gln__L_c,CPLX_dummy
glu__L_c,USA300HOU_RS02780-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c,USA300HOU_RS08350-MONOMER
his__L_c,USA300HOU_RS08680-MONOMER_mod_mg2(4)
ile__L_c,USA300HOU_RS05995-MONOMER_mod_zn2(2)
leu__L_c,USA300HOU_RS09335-MONOMER
lys__L_c,USA300HOU_RS02655-MONOMER_mod_mg2(6)
met__L_c,USA300HOU_RS02505-MONOMER_mod_zn2(2)
phe__L_c,CPLX2KSB-34_mod_mg2(1)
pro__L_c,USA300HOU_RS06365-MONOMER
ser__L_c,USA300HOU_RS00045-MONOMER_mod_mg2(1)
thr__L_c,USA300HOU_RS08915-MONOMER_mod_zn2(1)
trp__L_c,USA300HOU_RS04940-MONOMER_mod_mg2(1)
tyr__L_c,USA300HOU_RS09175-MONOMER
val__L_c,USA300HOU_RS08810-MONOMER_mod_mg2(1)
