Reaction,Complexes
10M3HDHL,USA300HOU_RS11335-MONOMER
10M3OACPO,USA300HOU_RS06185-MONOMER
10M3OUO,USA300HOU_RS06185-MONOMER
10MDOD,CPLX_10MDOD-0
10MTDAO,USA300HOU_RS05010-MONOMER
10MTU2A,USA300HOU_RS05010-MONOMER
10MUAM,CPLX_10MDOD-0
11M3ODO,USA300HOU_RS06185-MONOMER
11MDAMCA,CPLX_10MDOD-0
11MHDOD,USA300HOU_RS11335-MONOMER
11MTRDOC,USA300HOU_RS05010-MONOMER
12M3HTDH,USA300HOU_RS11335-MONOMER
12M3HTHL,USA300HOU_RS11335-MONOMER
12M3OXOT,USA300HOU_RS06185-MONOMER
12M3TDA,USA300HOU_RS06185-MONOMER
12MTACPM,CPLX_10MDOD-0
12MTT2E,USA300HOU_RS05010-MONOMER
12TTACA,USA300HOU_RS05010-MONOMER
ACALD,USA300HOU_RS00795-MONOMER_mod_fe2(1)
3OAS120_2,CPLX_10MDOD-0
13M3HTDAHL,USA300HOU_RS11335-MONOMER
13M3OTDAO,USA300HOU_RS06185-MONOMER
13MTDAM,CPLX_10MDOD-0
13MTTDAO,USA300HOU_RS05010-MONOMER
14M3HDEC,USA300HOU_RS11335-MONOMER
14M3HPAHL,USA300HOU_RS11335-MONOMER
14M3OHO,USA300HOU_RS06185-MONOMER
14M3OP,USA300HOU_RS06185-MONOMER
14MHDAAD,CPLX_10MDOD-0
14MTACPM,CPLX_10MDOD-0
14MTHEAO,USA300HOU_RS05010-MONOMER
14MTP2EA,USA300HOU_RS05010-MONOMER
15M3HEXDA,USA300HOU_RS11335-MONOMER
3OAS140,USA300HOU_RS04880-MONOMER
3OAS160_2,CPLX_10MDOD-0
3OAS200,CPLX_10MDOD-0
3OAS60,CPLX_10MDOD-0
3OAS80_2,CPLX_10MDOD-0
3OXDAM,CPLX_10MDOD-0
4HTHRS_1,USA300HOU_RS06755-MONOMER
4ISOHELS,USA300HOU_RS11335-MONOMER
4M3G3P,USA300HOU_RS11335-MONOMER
4M3OHAT,CPLX_10MDOD-0
4M3OPAO,USA300HOU_RS06185-MONOMER
4M3OXHA,USA300HOU_RS06185-MONOMER
4METPAC,CPLX_10MDOD-0
4MHEAMA,CPLX_10MDOD-0
4MTHACP,USA300HOU_RS05010-MONOMER
15M3OHAO,USA300HOU_RS06185-MONOMER
15MHDAAD,CPLX_10MDOD-0
15MTHACP,USA300HOU_RS05010-MONOMER
16M3HDEC,USA300HOU_RS11335-MONOMER
16M3HPAHL,USA300HOU_RS11335-MONOMER
4MTRPE,USA300HOU_RS05010-MONOMER
ACCOAC,CPLX_ACCOAC-0
5DOAN,USA300HOU_RS08520-MONOMER
5M3HHAL,USA300HOU_RS11335-MONOMER
5MET3OH,USA300HOU_RS06185-MONOMER
5MHACC,CPLX_10MDOD-0
5MTH2EO,USA300HOU_RS05010-MONOMER
6M3HHL,USA300HOU_RS11335-MONOMER
16M3OHO,USA300HOU_RS06185-MONOMER
16M3OP,USA300HOU_RS06185-MONOMER
16MTHEAO,USA300HOU_RS05010-MONOMER
16MTP2EA,USA300HOU_RS05010-MONOMER
17M3HDEC,USA300HOU_RS11335-MONOMER
17M3OHO,USA300HOU_RS06185-MONOMER
17MTHEAO,USA300HOU_RS05010-MONOMER
6M3HOAHL,USA300HOU_RS11335-MONOMER
6M3OHAO,USA300HOU_RS06185-MONOMER
6M3OXO,USA300HOU_RS06185-MONOMER
6MHACPA,CPLX_10MDOD-0
6MOAMCA,CPLX_10MDOD-0
6MTHAO,USA300HOU_RS05010-MONOMER
6MTR2EO,USA300HOU_RS05010-MONOMER
ACGAMT,USA300HOU_RS04040-MONOMER_mod_mg2(1)
6PGALSZ_1,USA300HOU_RS11865-MONOMER
ACGApts,CPLX_ACGApts-0
ACGAptsw,CPLX_ACGAptsw-0
