,value
USA300HOU_RS00005,TU2KSB-1805
USA300HOU_RS00010,TU2KSB-1805
USA300HOU_RS00015,TU2KSB-1806
USA300HOU_RS00020,TU2KSB-1806
USA300HOU_RS00025,TU2KSB-1806
USA300HOU_RS00030,TU2KSB-1806
USA300HOU_RS00035,TU2KSB-3560
USA300HOU_RS00040,TU2KSB-1807
USA300HOU_RS00045,TU2KSB-1808
USA300HOU_RS00050,TU2KSB-1809
USA300HOU_RS00055,TU2KSB-1809
USA300HOU_RS00060,TU2KSB-1810
USA300HOU_RS00065,TU2KSB-1811
USA300HOU_RS00070,TU2KSB-1811
USA300HOU_RS00075,TU2KSB-1811
USA300HOU_RS00080,TU2KSB-1811
USA300HOU_RS00085,TU2KSB-1812
USA300HOU_RS00090,TU2KSB-1812
USA300HOU_RS00095,TU2KSB-1812
USA300HOU_RS00100,TU2KSB-1813
USA300HOU_RS00105,TU2KSB-1813
USA300HOU_RS00110,TU2KSB-1813
USA300HOU_RS00115,TU2KSB-1813
USA300HOU_RS00120,TU2KSB-1814
USA300HOU_RS00125,TU2KSB-1815
USA300HOU_RS00130,TU2KSB-1816
USA300HOU_RS00135,TU2KSB-1817
USA300HOU_RS00140,TU2KSB-3559
USA300HOU_RS00150,TU2KSB-1819
USA300HOU_RS00155,TU2KSB-1820
USA300HOU_RS00160,TU2KSB-3558
USA300HOU_RS00165,TU2KSB-1821
USA300HOU_RS00170,TU2KSB-1822
USA300HOU_RS00175,TU2KSB-1823
USA300HOU_RS00180,TU2KSB-1824
USA300HOU_RS00185,TU2KSB-1824
USA300HOU_RS00190,TU2KSB-1825
USA300HOU_RS00195,TU2KSB-1826
USA300HOU_RS00200,TU2KSB-1826
USA300HOU_RS00205,TU2KSB-1827
USA300HOU_RS00210,TU2KSB-1827
USA300HOU_RS00215,TU2KSB-1828
USA300HOU_RS00220,TU2KSB-1829
USA300HOU_RS00230,TU2KSB-3557
USA300HOU_RS00235,TU2KSB-1830
USA300HOU_RS00240,TU2KSB-1831
USA300HOU_RS00245,TU2KSB-1834
USA300HOU_RS00250,TU2KSB-1835
USA300HOU_RS00255,TU2KSB-1836
USA300HOU_RS00260,TU2KSB-1837
USA300HOU_RS00265,TU2KSB-1838
USA300HOU_RS00270,TU2KSB-1839
USA300HOU_RS00275,TU2KSB-3556
USA300HOU_RS00280,TU2KSB-1840
USA300HOU_RS00285,TU2KSB-1840
USA300HOU_RS00290,TU2KSB-1840
USA300HOU_RS00295,TU2KSB-1841
USA300HOU_RS00300,TU2KSB-3555
USA300HOU_RS00305,TU2KSB-1843
