	central_CE	central_AFN	intermediate	secondary	other
Carbohydrates	0	0	0	0	1
Alternate Carbon Metabolism	0	0	0	0	1
Pyruvate Metabolism	0	0	0	0	1
Cysteine Metabolism	0	0	0	0	1
Glycerophospholipid Metabolism	0	0	0	0	1
Nucleotide Salvage Pathway	0	0	0	0	1
Cell Wall and Capsule	0	0	0	0	1
Purine and Pyrimidine Biosynthesis	0	0	0	0	1
Sulfur Metabolism	0	0	0	0	1
Phosphorus Metabolism	0	0	0	0	1
Nitrogen Metabolism	0	0	0	0	1
tRNA Charging	0	0	0	0	1
Pentose Phosphate Pathway	0	0	0	0	1
Histidine Metabolism	0	0	0	0	1
Methylglyoxal Metabolism	0	0	0	0	1
Respiration	0	0	0	0	1
Membrane Transport	0	0	0	0	1
Threonine and Lysine Metabolism	0	0	0	0	1
Cofactor and Prosthetic Group Biosynthesis	0	0	0	0	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	0	0	0	0	1
Folate Metabolism	0	0	0	0	1
Potassium metabolism	0	0	0	0	1
Membrane Lipid Metabolism	0	0	0	0	1
Unassigned	0	0	0	0	1
Protein Metabolism	0	0	0	0	1
Arginine and Proline Metabolism	0	0	0	0	1
Nucleosides and Nucleotides	0	0	0	0	1
Transport	0	0	0	0	1
Miscellaneous	0	0	0	0	1
Alanine and Aspartate Metabolism	0	0	0	0	1
Glutamate Metabolism	0	0	0	0	1
Methionine Metabolism	0	0	0	0	1
Citric Acid Cycle	0	0	0	0	1
Oxidative Phosphorylation	0	0	0	0	1
Cell Envelope Biosynthesis	0	0	0	0	1
Amino Acids and Derivatives	0	0	0	0	1
Exchange	0	0	0	0	1
Demand	0	0	0	0	1
Glyoxylate Metabolism	0	0	0	0	1
Tyrosine, Tryptophan, and Phenylalanine Metabolism	0	0	0	0	1
Glycine and Serine Metabolism	0	0	0	0	1
Stress Response	0	0	0	0	1
Anaplerotic Reactions	0	0	0	0	1
Fatty Acids, Lipids, and Isoprenoids	0	0	0	0	1
Valine, Leucine, and Isoleucine Metabolism	0	0	0	0	1
Glycolysis/Gluconeogenesis	0	0	0	0	1
