,query,evalue
BSU00010,LLMG_RS00005,2.2500000000000002e-117
BSU00020,LLMG_RS00010,2.97e-90
BSU00030,LLMG_RS11175,3.17e-12
BSU00040,LLMG_RS11180,1.28e-104
BSU00060,LLMG_RS08215,0.0
BSU00070,LLMG_RS07325,0.0
BSU00090,LLMG_RS01210,0.0
BSU00100,LLMG_RS12915,5.02e-74
BSU00130,LLMG_RS03735,0.0
BSU00140,LLMG_RS02445,3.39e-36
BSU00180,LLMG_RS09230,9.19e-49
BSU00190,LLMG_RS12450,2.58e-131
BSU00200,LLMG_RS00685,2.2899999999999998e-24
BSU00210,LLMG_RS01850,6.85e-93
BSU00260,LLMG_RS05665,5.76e-127
BSU00280,LLMG_RS02125,7.350000000000001e-70
BSU00310,LLMG_RS02130,8.67e-44
BSU00320,LLMG_RS02135,3.39e-66
BSU00330,LLMG_RS02140,9.66e-11
BSU00340,LLMG_RS12155,1.77e-74
BSU00350,LLMG_RS10060,2.65e-26
BSU00360,LLMG_RS02145,3.7699999999999997e-90
BSU00380,LLMG_RS08860,0.0
BSU00390,LLMG_RS09435,6.38e-76
BSU00410,LLMG_RS09425,2.5399999999999998e-52
BSU00420,LLMG_RS09420,2.4299999999999997e-104
BSU00470,LLMG_RS12865,6.08e-100
BSU00480,LLMG_RS06460,1.48e-41
BSU00500,LLMG_RS10360,1.57e-169
BSU00510,LLMG_RS08760,2.31e-156
BSU00530,LLMG_RS00055,7.7e-66
BSU00550,LLMG_RS00060,0.0
BSU00590,LLMG_RS00065,4.999999999999999e-34
BSU00670,LLMG_RS00085,1.3e-25
BSU00680,LLMG_RS00090,2.15e-70
BSU00690,LLMG_RS00095,0.0
BSU00710,LLMG_RS11065,4.22e-83
BSU00730,LLMG_RS08910,1.32e-126
BSU00750,LLMG_RS05855,2.5900000000000003e-57
BSU00770,LLMG_RS06770,4.910000000000001e-35
BSU00780,LLMG_RS06780,4.14e-15
BSU00810,LLMG_RS11090,2e-147
BSU00820,LLMG_RS01995,0.0
BSU00830,LLMG_RS03200,1.31e-35
BSU00860,LLMG_RS03205,0.0
BSU00870,LLMG_RS11750,0.0
BSU00890,LLMG_RS11740,2.7399999999999997e-81
BSU00920,LLMG_RS11690,0.0
BSU00930,LLMG_RS10205,8.03e-60
BSU00940,LLMG_RS10195,2.43e-164
BSU00950,LLMG_RS10190,7.94e-40
BSU00960,LLMG_RS10300,1.9600000000000002e-70
BSU00990,LLMG_RS11980,8.24e-14
BSU01010,LLMG_RS11970,6.769999999999999e-55
BSU01020,LLMG_RS11430,8.03e-81
BSU01030,LLMG_RS11425,1.38e-113
BSU01040,LLMG_RS06105,6.919999999999999e-69
BSU01050,LLMG_RS06110,1.03e-31
BSU01060,LLMG_RS05375,1.5200000000000001e-56
BSU01070,LLMG_RS09935,0.0
BSU01080,LLMG_RS09930,0.0
BSU01100,LLMG_RS12900,2.9300000000000005e-79
BSU01110,LLMG_RS12895,1.84e-82
BSU01120,LLMG_RS12890,0.0
BSU01130,LLMG_RS10245,0.0
BSU01150,LLMG_RS11950,1e-59
BSU01160,LLMG_RS11945,2.78e-106
BSU01170,LLMG_RS11940,7.23e-93
BSU01180,LLMG_RS11935,3.71e-31
BSU01190,LLMG_RS11930,1e-156
BSU01200,LLMG_RS11925,5.11e-53
BSU01210,LLMG_RS11920,4.84e-48
BSU01220,LLMG_RS11915,2.8199999999999997e-119
BSU01230,LLMG_RS11910,9.89e-73
BSU01240,LLMG_RS11905,4.51e-14
BSU01250,LLMG_RS11900,4.69e-47
BSU01260,LLMG_RS11895,7.03e-70
BSU01270,LLMG_RS11890,1.86e-34
BSU01280,LLMG_RS11885,2.3399999999999998e-104
BSU01290,LLMG_RS11880,2.8799999999999997e-34
BSU01300,LLMG_RS11870,8.9e-71
BSU01310,LLMG_RS11865,2.2199999999999998e-67
BSU01320,LLMG_RS11860,7.84e-44
BSU01330,LLMG_RS11855,2.37e-75
BSU01340,LLMG_RS11850,1.55e-16
BSU01350,LLMG_RS11845,1.53e-51
BSU01360,LLMG_RS11840,4.6099999999999997e-138
BSU01370,LLMG_RS11835,6.82e-91
BSU01380,LLMG_RS03000,4.3300000000000005e-58
BSU01390,LLMG_RS11830,4.7e-41
BSU01400,LLMG_RS11825,6.42e-17
BSU01410,LLMG_RS11820,6.8e-60
BSU01420,LLMG_RS11815,1.23e-63
BSU01430,LLMG_RS11810,3.23e-128
BSU01440,LLMG_RS11805,4.82e-56
BSU01450,LLMG_RS01500,5.2700000000000007e-110
BSU01460,LLMG_RS01505,1.6500000000000002e-103
BSU01470,LLMG_RS01510,5.17e-91
BSU01480,LLMG_RS02350,1.0200000000000001e-58
BSU01490,LLMG_RS12840,5.29e-63
BSU01500,LLMG_RS12835,1.25e-63
BSU01660,LLMG_RS02515,1.48e-23
BSU01670,LLMG_RS11640,3.6e-17
BSU01680,LLMG_RS07195,5.45e-117
BSU01690,LLMG_RS07190,5.229999999999999e-42
BSU01700,LLMG_RS07200,6.16e-103
BSU01750,LLMG_RS02280,3.18e-78
BSU01760,LLMG_RS02285,8.29e-14
BSU01770,LLMG_RS02290,0.0
BSU01780,LLMG_RS07630,0.0
BSU01810,LLMG_RS02540,3.76e-53
BSU01820,LLMG_RS02535,3.16e-22
BSU02140,LLMG_RS02750,3.01e-72
BSU02240,LLMG_RS06070,3.95e-14
BSU02330,LLMG_RS06525,2.5000000000000002e-164
BSU02360,LLMG_RS04735,6.34e-69
BSU02390,LLMG_RS05980,3.55e-64
BSU02650,LLMG_RS03455,1.91e-62
BSU02690,LLMG_RS09135,8.43e-44
BSU02750,LLMG_RS08235,1.0899999999999999e-45
BSU02850,LLMG_RS12035,1.28e-71
BSU02860,LLMG_RS12030,1.32e-84
BSU02870,LLMG_RS12025,1.4200000000000002e-79
BSU02890,LLMG_RS06850,1.65e-45
BSU02900,LLMG_RS06845,1.07e-78
BSU02930,LLMG_RS06860,4.37e-75
BSU02940,LLMG_RS06855,8.560000000000001e-80
BSU02980,LLMG_RS05325,8.1e-161
BSU02990,LLMG_RS05330,1.22e-84
BSU03050,LLMG_RS05690,7.870000000000001e-123
BSU03130,LLMG_RS07415,3.2699999999999997e-108
BSU03140,LLMG_RS10995,8.5e-20
BSU03150,LLMG_RS09635,7.78e-11
BSU03320,LLMG_RS08890,5.1e-29
BSU03410,LLMG_RS01005,0.0
BSU03670,LLMG_RS09340,4.69e-166
BSU03730,LLMG_RS08425,6.43e-73
BSU03740,LLMG_RS08430,4.11e-83
BSU03790,LLMG_RS09120,3e-164
BSU03840,LLMG_RS08185,1.1299999999999999e-104
BSU03870,LLMG_RS02880,1.19e-12
BSU03920,LLMG_RS12920,8.66e-68
BSU03981,LLMG_RS00140,4.2799999999999995e-170
BSU03982,LLMG_RS00150,2.04e-43
BSU03990,LLMG_RS00155,8.62e-94
BSU04010,LLMG_RS12860,1.05e-26
BSU04150,LLMG_RS00790,1.9499999999999997e-52
BSU04160,LLMG_RS00145,1.81e-38
BSU04300,LLMG_RS03365,1.78e-30
BSU04340,LLMG_RS11635,1.17e-137
BSU04360,LLMG_RS07515,4.03e-75
BSU04560,LLMG_RS01855,2.91e-99
BSU04570,LLMG_RS01860,6.27e-93
BSU04580,LLMG_RS01900,9.26e-177
BSU04610,LLMG_RS00965,1.45e-17
BSU04620,LLMG_RS08575,4.87e-35
BSU04640,LLMG_RS08570,2.0399999999999998e-106
BSU04780,LLMG_RS01555,0.0
BSU04790,LLMG_RS01560,2.15e-39
BSU04800,LLMG_RS12680,1.89e-30
BSU05070,LLMG_RS11700,4.53e-46
BSU05120,LLMG_RS00955,1.27e-34
BSU05160,LLMG_RS05190,3.9e-53
BSU05180,LLMG_RS05845,8.030000000000001e-79
BSU05600,LLMG_RS08395,1.72e-38
BSU05620,LLMG_RS01925,2.2200000000000002e-125
BSU05660,LLMG_RS05225,1.31e-82
BSU05670,LLMG_RS05220,1.5100000000000001e-22
BSU05700,LLMG_RS04385,2.22e-11
BSU05860,LLMG_RS05120,5.2699999999999995e-82
BSU05910,LLMG_RS02330,1.73e-32
BSU05920,LLMG_RS01590,4.29e-44
BSU05930,LLMG_RS01600,1.32e-22
BSU05940,LLMG_RS01605,4.4200000000000006e-132
BSU05950,LLMG_RS07610,0.0
BSU05970,LLMG_RS07620,3.89e-65
BSU06020,LLMG_RS02095,1.06e-28
BSU06030,LLMG_RS02100,0.0
BSU06160,LLMG_RS11220,1.51e-32
BSU06190,LLMG_RS05595,1.48e-56
BSU06240,LLMG_RS08265,2.32e-81
BSU06280,LLMG_RS08730,5.4400000000000005e-21
BSU06320,LLMG_RS01665,6.19e-78
BSU06360,LLMG_RS05125,0.0
BSU06420,LLMG_RS05085,1.01e-61
BSU06430,LLMG_RS05090,1.25e-92
BSU06440,LLMG_RS04040,0.0
BSU06450,LLMG_RS04950,2.05e-92
BSU06460,LLMG_RS04955,1.72e-16
BSU06470,LLMG_RS04960,4.8099999999999994e-104
BSU06480,LLMG_RS04965,0.0
BSU06490,LLMG_RS04970,0.0
BSU06500,LLMG_RS05020,1.01e-139
BSU06510,LLMG_RS05025,1.84e-49
BSU06520,LLMG_RS05055,0.0
BSU06530,LLMG_RS05075,1.2400000000000001e-144
BSU06610,LLMG_RS07295,0.0
BSU06620,LLMG_RS02260,0.0
BSU06650,LLMG_RS04475,2.64e-24
BSU06670,LLMG_RS00930,2.7e-23
BSU06680,LLMG_RS00935,0.0
BSU06690,LLMG_RS00940,0.0
BSU06720,LLMG_RS02265,6.99e-99
