amino_acid	enzyme
ala__L_c	BSU27410-MONOMER_mod_zn2(4)
arg__L_c	BSU37330-MONOMER_mod_mg2(1)
asn__L_c	BSU22360-MONOMER
asp__L_c	BSU27550-MONOMER
cys__L_c	BSU00940-MONOMER_mod_zn2(1)
gln__L_c	CPLX_dummy
glu__L_c	BSU00920-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX8J2-12
his__L_c	BSU27560-MONOMER_mod_mg2(4)
ile__L_c	BSU15430-MONOMER_mod_zn2(2)
leu__L_c	BSU30320-MONOMER
lys__L_c	BSU00820-MONOMER_mod_mg2(6)
met__L_c	BSU00380-MONOMER_mod_zn2(2)
phe__L_c	CPLX8J2-11_mod_mg2(1)
pro__L_c	BSU16570-MONOMER
ser__L_c	BSU00130-MONOMER_mod_mg2(1)
thr__L_c	generic_thr_ligase
trp__L_c	BSU11420-MONOMER_mod_mg2(1)
tyr__L_c	generic_tyr_ligase
val__L_c	BSU28090-MONOMER_mod_mg2(1)
