complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,acetyl-CoA carboxylase,CLJU_c42140(2) AND CLJU_c42110(2) AND CLJU_c42100(2) AND CLJU_c42120(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,CLJU_c20430(2) AND CLJU_c23420(2),,
CPLX_ACHBS-1,2-aceto-2-hydroxybutanoate synthase,CLJU_c38920() AND CLJU_c20430(),,
CPLX_ACOAD1z-0,"acyl-CoA dehydrogenase (butanoyl-CoA), ferredoxin coupled",CLJU_c39420() AND CLJU_c39400() AND CLJU_c39410(),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,CLJU_c12820() AND CLJU_c42190(),,
CPLX_ANS-0,anthranilate synthase,CLJU_c16070() AND CLJU_c16080(),,
CPLX_ARGt2r-0,L-arganine reversible transport via proton symport,CLJU_c04750() AND CLJU_c04760(),,
CPLX_ASPCT-0,aspartate carbamoyltransferase,CLJU_c35730(6) AND CLJU_c35720(6),,
CPLX_ATPS4r-0,ATP synthase (four protons for one ATP),CLJU_c02370() AND CLJU_c02380() AND CLJU_c02390() AND CLJU_c02400() AND CLJU_c02410() AND CLJU_c02420() AND CLJU_c02430() AND CLJU_c02440() AND CLJU_c02360(),,
CPLX_CITL-0,Citrate lyase,CLJU_c25340() AND CLJU_c30480() AND CLJU_c25320(),,
CPLX_CITL-1,Citrate lyase,CLJU_c25340() AND CLJU_c30480() AND CLJU_c40560(),,
CPLX_CITL-2,Citrate lyase,CLJU_c25340() AND CLJU_c30480() AND CLJU_c30470(),,
CPLX_CITL-3,Citrate lyase,CLJU_c25340() AND CLJU_c25330() AND CLJU_c25320(),,
CPLX_CITL-4,Citrate lyase,CLJU_c25340() AND CLJU_c25330() AND CLJU_c40560(),,
CPLX_CITL-5,Citrate lyase,CLJU_c25340() AND CLJU_c25330() AND CLJU_c30470(),,
CPLX_CITL-6,Citrate lyase,CLJU_c25340() AND CLJU_c40570() AND CLJU_c25320(),,
CPLX_CITL-7,Citrate lyase,CLJU_c25340() AND CLJU_c40570() AND CLJU_c40560(),,
CPLX_CITL-8,Citrate lyase,CLJU_c25340() AND CLJU_c40570() AND CLJU_c30470(),,
CPLX_CITL-9,Citrate lyase,CLJU_c40580() AND CLJU_c30480() AND CLJU_c25320(),,
CPLX_CITL-10,Citrate lyase,CLJU_c40580() AND CLJU_c30480() AND CLJU_c40560(),,
CPLX_CITL-11,Citrate lyase,CLJU_c40580() AND CLJU_c30480() AND CLJU_c30470(),,
CPLX_CITL-12,Citrate lyase,CLJU_c40580() AND CLJU_c25330() AND CLJU_c25320(),,
CPLX_CITL-13,Citrate lyase,CLJU_c40580() AND CLJU_c25330() AND CLJU_c40560(),,
CPLX_CITL-14,Citrate lyase,CLJU_c40580() AND CLJU_c25330() AND CLJU_c30470(),,
CPLX_CITL-15,Citrate lyase,CLJU_c40580() AND CLJU_c40570() AND CLJU_c25320(),,
CPLX_CITL-16,Citrate lyase,CLJU_c40580() AND CLJU_c40570() AND CLJU_c40560(),,
CPLX_CITL-17,Citrate lyase,CLJU_c40580() AND CLJU_c40570() AND CLJU_c30470(),,
CPLX_CITL-18,Citrate lyase,CLJU_c30490() AND CLJU_c30480() AND CLJU_c25320(),,
CPLX_CITL-19,Citrate lyase,CLJU_c30490() AND CLJU_c30480() AND CLJU_c40560(),,
CPLX_CITL-20,Citrate lyase,CLJU_c30480(6) AND CLJU_c30490(6) AND CLJU_c30470(6),,
CPLX_CITL-21,Citrate lyase,CLJU_c30490() AND CLJU_c25330() AND CLJU_c25320(),,
CPLX_CITL-22,Citrate lyase,CLJU_c30490() AND CLJU_c25330() AND CLJU_c40560(),,
CPLX_CITL-23,Citrate lyase,CLJU_c30490() AND CLJU_c25330() AND CLJU_c30470(),,
CPLX_CITL-24,Citrate lyase,CLJU_c30490() AND CLJU_c40570() AND CLJU_c25320(),,
CPLX_CITL-25,Citrate lyase,CLJU_c30490() AND CLJU_c40570() AND CLJU_c40560(),,
CPLX_CITL-26,Citrate lyase,CLJU_c30490() AND CLJU_c40570() AND CLJU_c30470(),,
CPLX_CODH4-0,carbon monoxide dehydrogenase / acetyl-CoA synthase 2,CLJU_c09090() AND CLJU_c09100() AND CLJU_c09110(),,
CPLX_CODH_ACS-0,CODH/Acetyl-CoA synthase (Wood-Ljundahl),CLJU_c37500() AND CLJU_c37530() AND CLJU_c37550() AND CLJU_c37570() AND CLJU_c37580() AND CLJU_c37590() AND CLJU_c37660() AND CLJU_c37670(),,
CPLX_CPC5MT-0,precorrin-5 C1-methyltransferase,CLJU_c31920() AND CLJU_c31870(),,
CPLX_DHORD5-0,dihydroorotic acid (menaquinone-8),CLJU_c35690() AND CLJU_c35700(),,
CPLX_FE2abc-0,iron (II) transport via ABC system,CLJU_c21650() AND CLJU_c21660(),,
CPLX_FE2abc-1,iron (II) transport via ABC system,CLJU_c13960() AND CLJU_c13980(),,
CPLX_FRD2-0,fumarate reductase,CLJU_c22800() AND CLJU_c22820(),,
CPLX_FRUpts-0,D-fructose transport via PEP:Pyr PTS,CLJU_c26050() AND CLJU_c26060(),,
CPLX_FUM-0,fumarase,CLJU_c40600() AND CLJU_c40590(),,
CPLX_GCCa-0,glycine-cleavage complex,CLJU_c24170() AND CLJU_c24150() AND CLJU_c24160() AND CLJU_c37600() AND CLJU_c37600(),,
CPLX_GCCa-1,glycine-cleavage complex,CLJU_c37540() AND CLJU_c24150() AND CLJU_c24160() AND CLJU_c37600() AND CLJU_c37600(),,
CPLX_GLUSy-0,glutamate synthase (NADPH),CLJU_c17380(4) AND CLJU_c17370(4),,
CPLX_GLYCL-0,Glycine Cleavage System,CLJU_c24170() AND CLJU_c24150() AND CLJU_c24160() AND CLJU_c24180() AND CLJU_c24180() AND CLJU_c37600() AND CLJU_c37600(),,
CPLX_GLYCL-1,Glycine Cleavage System,CLJU_c37540() AND CLJU_c24150() AND CLJU_c24160() AND CLJU_c24180() AND CLJU_c24180() AND CLJU_c37600() AND CLJU_c37600(),,
CPLX_HXAND-0,hypoxanthine dehydrogenase,CLJU_c23590() AND CLJU_c23600() AND CLJU_c23610(),,
CPLX_HXAND-1,hypoxanthine dehydrogenase,CLJU_c23890() AND CLJU_c23900() AND CLJU_c23910(),,
CPLX_HXAND-2,hypoxanthine dehydrogenase,CLJU_c29920() AND CLJU_c29930() AND CLJU_c29940(),,
CPLX_HYD2-0,Hydrogenase (menaquinone8: 2 protons),CLJU_c28640() AND CLJU_c28650() AND CLJU_c28660() AND CLJU_c28670() AND CLJU_c23060() AND CLJU_c23070() AND CLJU_c23080() AND CLJU_c23090(),,
CPLX_HYDFDN2r-0,Ferredoxin NADPH linked hydrogenase,CLJU_c14700() AND CLJU_c14710() AND CLJU_c14720(),,
CPLX_HYDFDN2r-1,Ferredoxin NADPH linked hydrogenase,CLJU_c07030() AND CLJU_c07040() AND CLJU_c07050() AND CLJU_c07060() AND CLJU_c07070(),,
CPLX_HYDFDi-0,Official Name Ferredoxin hydrogenase,CLJU_c17280() AND CLJU_c17270(),,
CPLX_Kabc-0,Potassium ABC transporter,CLJU_c39560() AND CLJU_c39550() AND CLJU_c39540(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,CLJU_c12820() AND CLJU_c42170(),,
CPLX_MOBDabc-0,molybdate transport via ABC system,CLJU_c22150() AND CLJU_c22170() AND CLJU_c22160(),,
CPLX_MOBDabc-1,molybdate transport via ABC system,CLJU_c38080() AND CLJU_c38090() AND CLJU_c38100(),,
CPLX_MOBDabc-2,molybdate transport via ABC system,CLJU_c17230() AND CLJU_c17240(),,
CPLX_MOBDabc-3,molybdate transport via ABC system,CLJU_c04890() AND CLJU_c26020(),,
CPLX_MOBDabc-4,molybdate transport via ABC system,CLJU_c04890() AND CLJU_c22150() AND CLJU_c22170() AND CLJU_c22160(),,
CPLX_MTHFR5-0,"5,10-methylenetetrahydrofolate reductase (Ferredoxin) Electron bifurcating",CLJU_c37610() AND CLJU_c37620(),,
CPLX_NAt3_2-0,sodium proton antiporter (H:NA is 2),CLJU_c08970() AND CLJU_c08880(),,
CPLX_NAt3_2-1,sodium proton antiporter (H:NA is 2),CLJU_c08970() AND CLJU_c40350(),,
