Gene Name	Accession-2	Left-End-Position	Right-End-Position	Product	Accession-1
GMET_RS15340	GMET_RS15340	3454707	3456482	GMET_RS15340-MONOMER	Gmet_3059
GMET_RS09070	GMET_RS09070	2016835	2017017	GMET_RS09070-MONOMER	Gmet_3652
GMET_RS02235	GMET_RS02235	490796	493315	GMET_RS02235-MONOMER	Gmet_0447
GMET_RS05945	GMET_RS05945	1312044	1314999	GMET_RS05945-rRNA	Gmet_R0014
GMET_RS18760	GMET_RS18760	1479902	1480048	GMET_RS18760-MONOMER	
GMET_RS00620	GMET_RS00620	149369	150493	GMET_RS00620-MONOMER	Gmet_0123
GMET_RS00060	GMET_RS00060	18680	20365	GMET_RS00060-MONOMER	Gmet_0012
GMET_RS18480	GMET_RS18480	3456479	3457696	GMET_RS18480-MONOMER	Gmet_3060
GMET_RS00700	GMET_RS00700	167907	169037	GMET_RS00700-MONOMER	Gmet_0139
GMET_RS15345	GMET_RS15345	3457708	3458913	GMET_RS15345-MONOMER	Gmet_3061
GMET_RS09075	GMET_RS09075	2017051	2019021	GMET_RS09075-MONOMER	Gmet_1802
GMET_RS15350	GMET_RS15350	3458900	3462322	GMET_RS15350-MONOMER	Gmet_3062
GMET_RS00855	GMET_RS00855	197988	199778	GMET_RS00855-MONOMER	Gmet_0170
GMET_RS09080	GMET_RS09080	2019008	2019544	GMET_RS09080-MONOMER	Gmet_1803
GMET_RS00065	GMET_RS00065	20371	21297	GMET_RS00065-MONOMER	Gmet_0013
GMET_RS15355	GMET_RS15355	3462319	3462918	GMET_RS15355-MONOMER	Gmet_3063
GMET_RS05950	GMET_RS05950	1315103	1315219	GMET_RS05950-rRNA	Gmet_R0015
GMET_RS03335	GMET_RS03335	727384	728853	GMET_RS03335-MONOMER	Gmet_0664
GMET_RS03995	GMET_RS03995	878243	878863	GMET_RS03995-MONOMER	Gmet_0798
GMET_RS15360	GMET_RS15360	3462943	3464367	GMET_RS15360-MONOMER	Gmet_3064
GMET_RS09085	GMET_RS09085	2019654	2020958	GMET_RS09085-MONOMER	Gmet_1804
GMET_RS15365	GMET_RS15365	3464632	3464844	GMET_RS15365-MONOMER	Gmet_3065
GMET_RS02240	GMET_RS02240	493334	495313	GMET_RS02240-MONOMER	Gmet_0448
GMET_RS09090	GMET_RS09090	2021000	2021482	GMET_RS09090-MONOMER	Gmet_1805
GMET_RS18955	GMET_RS18955	1480286	1480410	GMET_RS18955-MONOMER	
GMET_RS00070	GMET_RS00070	21297	22052	GMET_RS00070-MONOMER	Gmet_0014
GMET_RS15370	GMET_RS15370	3465157	3465477	GMET_RS15370-MONOMER	Gmet_3066
GMET_RS17655	GMET_RS17655	3955548	3956153	GMET_RS17655-MONOMER	Gmet_3522
GMET_RS09095	GMET_RS09095	2021506	2022192	GMET_RS09095-MONOMER	Gmet_1806
GMET_RS06140	GMET_RS06140	1376436	1376522	GMET_RS06140-tRNA	Gmet_R0016
GMET_RS18650	GMET_RS18650	3465631	3465909	GMET_RS18650-MONOMER	Gmet_3067
GMET_RS09100	GMET_RS09100	2022211	2023608	GMET_RS09100-MONOMER	Gmet_1807
GMET_RS16860	GMET_RS16860	3779990	3781900	GMET_RS16860-MONOMER	Gmet_3364
GMET_RS15375	GMET_RS15375	3465911	3467605	GMET_RS15375-MONOMER	Gmet_3068
GMET_RS03340	GMET_RS03340	729297	730163	GMET_RS03340-MONOMER	Gmet_0665
GMET_RS04000	GMET_RS04000	879101	880267	GMET_RS04000-MONOMER	Gmet_0799
GMET_RS15380	GMET_RS15380	3467607	3468533	GMET_RS15380-MONOMER	Gmet_3069
GMET_RS09105	GMET_RS09105	2023767	2024027	GMET_RS09105-MONOMER	Gmet_1808
GMET_RS18960	GMET_RS18960	1480409	1480768	GMET_RS18960-MONOMER	
GMET_RS00795	GMET_RS00795	188385	188954	GMET_RS00795-MONOMER	Gmet_0158
GMET_RS15385	GMET_RS15385	3468586	3469536	GMET_RS15385-MONOMER	Gmet_3070
GMET_RS02245	GMET_RS02245	495313	496527	GMET_RS02245-MONOMER	Gmet_0449
GMET_RS09110	GMET_RS09110	2024370	2024885	GMET_RS09110-MONOMER	Gmet_1809
GMET_RS15390	GMET_RS15390	3469679	3470683	GMET_RS15390-MONOMER	Gmet_3071
GMET_RS15395	GMET_RS15395	3470702	3471910	GMET_RS15395-MONOMER	Gmet_3072
GMET_RS09115	GMET_RS09115	2024896	2027088	GMET_RS09115-MONOMER	Gmet_1810
GMET_RS18965	GMET_RS18965	1480859	1481251	GMET_RS18965-MONOMER	
GMET_RS06595	GMET_RS06595	1471254	1471328	GMET_RS06595-tRNA	Gmet_R0017
GMET_RS01390	GMET_RS01390	309552	309872	GMET_RS01390-MONOMER	Gmet_0277
GMET_RS15400	GMET_RS15400	3471861	3472547	GMET_RS15400-MONOMER	Gmet_3073
GMET_RS02255	GMET_RS02255	497403	498824	GMET_RS02255-MONOMER	Gmet_0451
GMET_RS09120	GMET_RS09120	2027135	2027839	GMET_RS09120-MONOMER	Gmet_1811
GMET_RS06680	GMET_RS06680	1481248	1482354	GMET_RS06680-MONOMER	Gmet_1325
