Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
CLJU_RS07615-MONOMER	Inner_Membrane	CLJU_c15540()	Periplasm	t
CLJU_RS05200-MONOMER	Inner_Membrane	CLJU_c10590()	Inner_Membrane	r
CLJU_RS07525-MONOMER	Inner_Membrane	CLJU_c15350()	Inner_Membrane	r
CLJU_RS16555-MONOMER	Periplasm	CLJU_c33590()	Periplasm	s
CLJU_RS00350-MONOMER	Inner_Membrane	CLJU_c00730()	Inner_Membrane	r
CLJU_RS08975-MONOMER	Inner_Membrane	CLJU_c18280()	Inner_Membrane	r
CLJU_RS05835-MONOMER	Inner_Membrane	CLJU_c11890()	Inner_Membrane	r
CLJU_RS06415-MONOMER	Inner_Membrane	CLJU_c13070()	Inner_Membrane	r
CLJU_RS08715-MONOMER	Inner_Membrane	CLJU_c17740()	Inner_Membrane	r
CLJU_RS16820-MONOMER	Inner_Membrane	CLJU_c34120()	Inner_Membrane	r
CLJU_RS14340-MONOMER	Inner_Membrane	CLJU_c29070()	Inner_Membrane	r
CLJU_RS14140-MONOMER	Inner_Membrane	CLJU_c28660()	Periplasm	t
CPLX_HYD2-0	Inner_Membrane	CLJU_c28660()	Periplasm	t
CLJU_RS04500-MONOMER	Inner_Membrane	CLJU_c09130()	Inner_Membrane	p
CLJU_RS03055-MONOMER	Inner_Membrane	CLJU_c06220()	Inner_Membrane	r
CLJU_RS12265-MONOMER	Inner_Membrane	CLJU_c24900()	Inner_Membrane	r
CLJU_RS03385-MONOMER	Inner_Membrane	CLJU_c06890()	Inner_Membrane	r
CLJU_RS17640-MONOMER	Inner_Membrane	CLJU_c35850()	Inner_Membrane	r
CLJU_RS10210-MONOMER	Inner_Membrane	CLJU_c20790()	Inner_Membrane	r
CLJU_RS01115-MONOMER	Inner_Membrane	CLJU_c02280()	Inner_Membrane	r
CLJU_RS00615-MONOMER	Inner_Membrane	CLJU_c01260()	Periplasm	s
CPLX_RIBabc-0	Inner_Membrane	CLJU_c01260()	Periplasm	s
CLJU_RS00625-MONOMER	Inner_Membrane	CLJU_c01280()	Inner_Membrane	r
CPLX_RIBabc-0	Inner_Membrane	CLJU_c01280()	Inner_Membrane	r
CLJU_RS04410-MONOMER	Inner_Membrane	CLJU_c08950()	Periplasm	s
CLJU_RS01170-MONOMER	Inner_Membrane	CLJU_c02390()	Inner_Membrane	r
CPLX271D-8	Inner_Membrane	CLJU_c02390()	Inner_Membrane	r
CPLX_ATPS4r-0	Inner_Membrane	CLJU_c02390()	Inner_Membrane	r
CLJU_RS01195-MONOMER	Inner_Membrane	CLJU_c02440()	Inner_Membrane	y
CPLX271D-8	Inner_Membrane	CLJU_c02440()	Inner_Membrane	y
CPLX_ATPS4r-0	Inner_Membrane	CLJU_c02440()	Inner_Membrane	y
CLJU_RS01160-MONOMER	Inner_Membrane	CLJU_c02370()	Inner_Membrane	p
CPLX271D-8	Inner_Membrane	CLJU_c02370()	Inner_Membrane	p
CPLX_ATPS4r-0	Inner_Membrane	CLJU_c02370()	Inner_Membrane	p
CLJU_RS19835-MONOMER	Inner_Membrane	CLJU_c40280()	Inner_Membrane	r
