Reaction	Complexes
3HAD100	CLJU_RS20750-MONOMER
3HAD120	CLJU_RS20750-MONOMER
3HAD121	CLJU_RS20750-MONOMER
3HAD140	CLJU_RS20750-MONOMER
3HAD141	CLJU_RS20750-MONOMER
3HAD160	CLJU_RS20750-MONOMER
3HAD161	CLJU_RS20750-MONOMER
3HAD180	CLJU_RS20750-MONOMER
3HAD181	CLJU_RS20750-MONOMER
3HAD40	CLJU_RS20750-MONOMER
3HAD60	CLJU_RS20750-MONOMER
3HAD80	CLJU_RS20750-MONOMER
3OAR100	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR120	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR121	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR140	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR141	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR160	CLJU_RS20765-MONOMER OR CLJU_RS17225-MONOMER
3OAR161	CLJU_RS20765-MONOMER OR CLJU_RS17225-MONOMER
3OAR180	CLJU_RS20765-MONOMER OR CLJU_RS17225-MONOMER
3OAR181	CLJU_RS20765-MONOMER OR CLJU_RS17225-MONOMER
3OAR40	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR60	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAR80	CLJU_RS17225-MONOMER OR CLJU_RS20765-MONOMER
3OAS100	CLJU_RS20760-MONOMER
3OAS120	CLJU_RS20760-MONOMER
3OAS121	CLJU_RS20760-MONOMER
3OAS140	CLJU_RS20760-MONOMER
3OAS141	CLJU_RS20760-MONOMER
3OAS160	CLJU_RS20760-MONOMER
3OAS161	CLJU_RS20760-MONOMER
3OAS180	CLJU_RS20760-MONOMER
3OAS181	CLJU_RS20760-MONOMER
3OAS60	CLJU_RS20760-MONOMER
3OAS80	CLJU_RS20760-MONOMER
4HTHRS	CLJU_RS19875-MONOMER OR CLJU_RS16355-MONOMER_mod_pydx5p(1)
ABFA	CLJU_RS00605-MONOMER
ABTA	CLJU_RS10045-MONOMER_mod_pydx5p(1)
ACALD	CLJU_RS08095-MONOMER_mod_fe2(1) OR CLJU_RS08100-MONOMER OR CLJU_RS05870-MONOMER
ACBIPGT	CLJU_RS17490-MONOMER
ACCOAC	CPLX_ACCOAC-0_mod_btn(1)
ACGK	CLJU_RS10565-MONOMER
ACGS	CLJU_RS10570-MONOMER
ACHBS	CPLX271D-10 OR CPLX_ACHBS-0 OR CPLX_ACHBS-1
ACKr	CLJU_RS06265-MONOMER_mod_mg2(1)
ACLDC	CLJU_RS04120-MONOMER
ACLS	CPLX_ACHBS-1 OR CLJU_RS10020-MONOMER OR CLJU_RS11515-MONOMER
ACOAD1z	CPLX_ACOAD1z-0
ACOATA	CPLX_ACOATA-0
ACONT	CLJU_RS03255-MONOMER OR CLJU_RS15025-MONOMER
ACONTa	CLJU_RS03255-MONOMER OR CLJU_RS15025-MONOMER
ACONTb	CLJU_RS15025-MONOMER OR CLJU_RS03255-MONOMER
ACOTA	CLJU_RS10560-MONOMER_mod_pydx5p(1)
ACPS1	CLJU_RS01470-MONOMER_mod_mg2(1) OR CLJU_RS01470-MONOMER_mod_mn2(1)
ADA	CLJU_RS13960-MONOMER
ADCL	CLJU_RS17710-MONOMER_mod_pydx5p(1)
ADCPS1	CLJU_RS15775-MONOMER
ADCPS2	CLJU_RS15775-MONOMER
ADCS	CPLX271D-11
ADCYRS	CLJU_RS15780-MONOMER
ADD	CLJU_RS11775-MONOMER_mod_mn2(1) OR CLJU_RS12870-MONOMER OR CLJU_RS14750-MONOMER
ADK1	CLJU_RS20110-MONOMER_mod_mg2(1)
ADK2	CLJU_RS20110-MONOMER_mod_mg2(1)
ADMDC	CLJU_RS10460-MONOMER
ADOCBIK	CLJU_RS17490-MONOMER
ADOCBLS	CLJU_RS17495-MONOMER
ADPRDP	CLJU_RS05505-MONOMER
ADPT	CLJU_RS16620-MONOMER_mod_mg2(1) OR CLJU_RS16620-MONOMER_mod_mn2(1)
ADSL1	CLJU_RS06565-MONOMER
ADSL2	CLJU_RS06565-MONOMER
ADSS	CLJU_RS20860-MONOMER_mod_mg2(1)
AGPAT120	CLJU_RS19340-MONOMER OR CLJU_RS03245-MONOMER
AGPAT140	CLJU_RS19340-MONOMER OR CLJU_RS03245-MONOMER
AGPAT160	CLJU_RS19340-MONOMER OR CLJU_RS03245-MONOMER
AGPAT161	CLJU_RS03245-MONOMER OR CLJU_RS19340-MONOMER
AGPAT180	CLJU_RS03245-MONOMER OR CLJU_RS19340-MONOMER
AGPAT181	CLJU_RS03245-MONOMER OR CLJU_RS19340-MONOMER
AGPR	CLJU_RS10575-MONOMER
AHCYSNS	CLJU_RS05255-MONOMER
AHSERL2	CLJU_RS03265-MONOMER
AICART	CLJU_RS04230-MONOMER OR CLJU_RS10900-MONOMER
AIRCr	CLJU_RS04205-MONOMER
ALAALAr	CLJU_RS15825-MONOMER
ALAR	CLJU_RS15830-MONOMER OR CLJU_RS19890-MONOMER OR CLJU_RS05895-MONOMER
ALATA_L	CLJU_RS10450-MONOMER
ALCD2x	CLJU_RS05830-MONOMER OR CLJU_RS08100-MONOMER OR CLJU_RS08095-MONOMER_mod_fe2(1)
ALCD2yi	CLJU_RS12245-MONOMER
ALCD4	CLJU_RS08100-MONOMER OR CLJU_RS08095-MONOMER_mod_fe2(1)
ALCD4y	CLJU_RS12255-MONOMER OR CLJU_RS19680-MONOMER
ALLTN	CLJU_RS07520-MONOMER OR CLJU_RS07515-MONOMER_mod_cobalt2(1)_mod_zn2(1) OR CLJU_RS07515-MONOMER_mod_mn2(1)_mod_zn2(1) OR CLJU_RS07515-MONOMER_mod_ni2(1)_mod_zn2(1)
ALLTNt2r	CLJU_RS07525-MONOMER OR CLJU_RS07510-MONOMER
AMAA	CLJU_RS02360-MONOMER OR CLJU_RS15325-MONOMER OR CLJU_RS00915-MONOMER OR CLJU_RS19935-MONOMER
AMMQLT8	CLJU_RS19845-MONOMER
ANPRT	CLJU_RS07885-MONOMER
ANS	CPLX_ANS-0
ANS2	CPLX_ANS-0
