,query,evalue
BSU00010,SGL_RS08210,4.4400000000000004e-144
BSU00020,SGL_RS03390,7.99e-52
BSU00040,SGL_RS07025,7.510000000000001e-72
BSU00060,SGL_RS07790,3.42e-153
BSU00070,SGL_RS14415,0.0
BSU00090,SGL_RS08785,1.82e-25
BSU00130,SGL_RS05225,2.01e-137
BSU00180,SGL_RS08010,4.2999999999999995e-42
BSU00190,SGL_RS06875,1.67e-42
BSU00210,SGL_RS17075,2.0700000000000001e-75
BSU00360,SGL_RS09835,1.2799999999999999e-82
BSU00380,SGL_RS14365,1.47e-148
BSU00390,SGL_RS05935,2.43e-65
BSU00420,SGL_RS02330,4.52e-44
BSU00460,SGL_RS02315,7.71e-59
BSU00480,SGL_RS16325,3e-44
BSU00500,SGL_RS16850,8.59e-115
BSU00510,SGL_RS15555,2.6000000000000003e-122
BSU00530,SGL_RS14900,6.75e-62
BSU00550,SGL_RS14485,0.0
BSU00580,SGL_RS04290,5.89e-67
BSU00670,SGL_RS10715,3.66e-22
BSU00690,SGL_RS04115,0.0
BSU00700,SGL_RS09870,3.59e-13
BSU00710,SGL_RS09090,1.05e-71
BSU00730,SGL_RS06370,9.49e-114
BSU00740,SGL_RS10370,6.3800000000000005e-105
BSU00750,SGL_RS13880,1.3999999999999998e-82
BSU00770,SGL_RS05470,2.83e-91
BSU00780,SGL_RS11510,1.41e-28
BSU00790,SGL_RS02755,3.66e-28
BSU00810,SGL_RS14330,2.19e-72
BSU00820,SGL_RS06545,0.0
BSU00860,SGL_RS13375,0.0
BSU00870,SGL_RS11815,8.17e-161
BSU00890,SGL_RS10305,8.05e-86
BSU00900,SGL_RS11415,1.38e-47
BSU00910,SGL_RS06450,6.83e-51
BSU00920,SGL_RS14665,1.6900000000000002e-124
BSU00930,SGL_RS10115,7.649999999999999e-69
BSU00940,SGL_RS11450,4.21e-152
BSU00950,SGL_RS11435,2.38e-18
BSU00960,SGL_RS11440,2.88e-72
BSU00970,SGL_RS12605,1.75e-15
BSU01010,SGL_RS06215,1.5e-47
BSU01020,SGL_RS06210,1.62e-77
BSU01030,SGL_RS06205,5.47e-78
BSU01040,SGL_RS06200,1.17e-28
BSU01050,SGL_RS06195,1.8500000000000002e-26
BSU01070,SGL_RS05930,0.0
BSU01080,SGL_RS10640,0.0
BSU01100,SGL_RS10940,2.44e-64
BSU01110,SGL_RS10935,9.58e-72
BSU01120,SGL_RS10930,0.0
BSU01130,SGL_RS10925,0.0
BSU01150,SGL_RS10920,6.57e-46
BSU01160,SGL_RS05850,2.5500000000000003e-64
BSU01170,SGL_RS05845,1.35e-53
BSU01180,SGL_RS05840,9.82e-15
BSU01190,SGL_RS05835,6.65e-121
BSU01200,SGL_RS05830,1.73e-46
BSU01210,SGL_RS05825,8.070000000000001e-37
BSU01220,SGL_RS05820,2.6699999999999997e-68
BSU01230,SGL_RS05815,4.33e-68
BSU01250,SGL_RS05805,9.93e-24
BSU01260,SGL_RS05800,6.39e-46
BSU01270,SGL_RS05795,4.6899999999999994e-30
BSU01280,SGL_RS05790,3.99e-85
BSU01300,SGL_RS05785,1.4299999999999999e-46
BSU01310,SGL_RS05780,3.7e-61
BSU01320,SGL_RS05775,2.56e-44
BSU01330,SGL_RS05770,5.99e-47
BSU01350,SGL_RS05765,4.7299999999999995e-34
BSU01360,SGL_RS05760,1.8000000000000002e-85
BSU01370,SGL_RS05755,1.1799999999999998e-52
BSU01380,SGL_RS14930,3.1e-87
BSU01390,SGL_RS05750,8.48e-37
BSU01400,SGL_RS18715,7.15e-15
BSU01410,SGL_RS05745,1.81e-40
BSU01420,SGL_RS05740,6.22e-56
BSU01430,SGL_RS05735,6.32e-84
BSU01440,SGL_RS05730,9.12e-27
BSU01450,SGL_RS14425,1.53e-40
BSU01470,SGL_RS10365,4.1800000000000005e-27
BSU01480,SGL_RS05725,7.08e-46
BSU01490,SGL_RS05720,1.56e-56
BSU01500,SGL_RS05715,2.69e-44
BSU01540,SGL_RS13975,3.31e-60
BSU01580,SGL_RS06705,0.0
BSU01660,SGL_RS11500,1.53e-59
BSU01700,SGL_RS07305,1.11e-74
BSU01730,SGL_RS06480,6.89e-27
BSU01750,SGL_RS16705,1.64e-51
BSU01770,SGL_RS07655,1e-104
BSU01780,SGL_RS02630,8.91e-133
BSU02090,SGL_RS16005,5.699999999999999e-41
BSU02230,SGL_RS08220,1.1799999999999998e-140
BSU02330,SGL_RS13080,2.99e-50
BSU02390,SGL_RS16510,3.08e-23
BSU02570,SGL_RS02120,1.38e-47
BSU02630,SGL_RS04220,1.82e-13
BSU02700,SGL_RS06125,8.87e-13
BSU02850,SGL_RS04620,6.400000000000001e-37
BSU02860,SGL_RS04625,2.05e-57
BSU02890,SGL_RS04380,4.0199999999999993e-23
BSU03150,SGL_RS03075,6.05e-17
BSU03160,SGL_RS01985,2.84e-11
BSU03250,SGL_RS03450,1.8699999999999998e-48
