complex_id,name,genes,mod,replace
CPLX_10MDOD-0,10-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ,USA300HOU_RS04875() AND USA300HOU_RS04880(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,USA300HOU_RS08155() AND USA300HOU_RS09020() AND USA300HOU_RS09015() AND USA300HOU_RS08160() AND USA300HOU_RS08560(),,
CPLX_ACGApts-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,USA300HOU_RS05400() AND USA300HOU_RS01375() AND USA300HOU_RS01000() AND USA300HOU_RS09160() AND USA300HOU_RS05395(),,
CPLX_ACGAptsw-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS (cell wall),USA300HOU_RS05400() AND USA300HOU_RS09160() AND USA300HOU_RS05395(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,USA300HOU_RS11070() AND USA300HOU_RS11065(),,
CPLX_ACLS_a-0,Acetolactate synthase,USA300HOU_RS05460() AND USA300HOU_RS05455(),,
CPLX_ACMANApts-0,N-acetyl-D-mannosamine transport via PTS,USA300HOU_RS05395() AND USA300HOU_RS05400(),,
CPLX_AIRC4-0,NCAIR synthetase and NCAIR mutase ,USA300HOU_RS05305() AND USA300HOU_RS05300(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,USA300HOU_RS07205() AND USA300HOU_RS07210(),,
CPLX_ANS-0,Anthranilate synthase,USA300HOU_RS06965() AND USA300HOU_RS06960(),,
CPLX_ACPS1_1-0,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",USA300HOU_RS11185() AND USA300HOU_RS06195(),,
CPLX_G3PAT140_c-0,Glycerol-3-phosphate: acyl-coa acyltransferase C14:0,USA300HOU_RS06885() AND USA300HOU_RS06170(),,
CPLX_G3PAT140_c-1,Glycerol-3-phosphate: acyl-coa acyltransferase C14:0,USA300HOU_RS06885() AND USA300HOU_RS06175(),,
CPLX_ALPHNH-0,Allophanate hydrolase,USA300HOU_RS08570() AND USA300HOU_RS08565(),,
CPLX_ALPHNH-1,Allophanate hydrolase,USA300HOU_RS08570() AND USA300HOU_RS03875(),,
CPLX_ALPHNH-2,Allophanate hydrolase,USA300HOU_RS03870() AND USA300HOU_RS08565(),,
CPLX_ALPHNH-3,Allophanate hydrolase,USA300HOU_RS03870() AND USA300HOU_RS03875(),,
CPLX_ASCBpts-0,L-ascorbate transport via PEP:Pyr PTS ,USA300HOU_RS01750() AND USA300HOU_RS01755() AND USA300HOU_RS05400() AND USA300HOU_RS05395(),,
CPLX_BTCCPL-0,Biotin-carboxyl-carrier-protein carbon-dioxide ligase ADP-forming ,USA300HOU_RS08160() AND USA300HOU_RS08155() AND USA300HOU_RS07450(),,
CPLX_BTNt-0,Biotin ABC transporter ,USA300HOU_RS12355() AND USA300HOU_RS12035() AND USA300HOU_RS12030() AND USA300HOU_RS12025(),,
CPLX_ANS2-0,Anthranilate synthase 2,USA300HOU_RS06960() AND USA300HOU_RS06965() AND USA300HOU_RS03850(),,
CPLX_CYSGL-0,Cystathionine gamma-lyase,USA300HOU_RS02315() AND USA300HOU_RS02320(),,
CPLX_CYTB_B2-0,Menaquinol oxidase  71 protons ,USA300HOU_RS05275() AND USA300HOU_RS05270() AND USA300HOU_RS05265() AND USA300HOU_RS05280() AND USA300HOU_RS05575(),,
