Reaction	Complexes
10M3HDHL	USA300HOU_RS11335-MONOMER
10M3OACPO	USA300HOU_RS06185-MONOMER
10M3OUO	USA300HOU_RS06185-MONOMER
10MDOD	CPLX_10MDOD-0
10MTDAO	USA300HOU_RS05010-MONOMER
10MTU2A	USA300HOU_RS05010-MONOMER
10MUAM	CPLX_10MDOD-0
11M3ODO	USA300HOU_RS06185-MONOMER
11MDAMCA	CPLX_10MDOD-0
11MHDOD	USA300HOU_RS11335-MONOMER
11MTRDOC	USA300HOU_RS05010-MONOMER
12M3HTDH	USA300HOU_RS11335-MONOMER
12M3HTHL	USA300HOU_RS11335-MONOMER
12M3OXOT	USA300HOU_RS06185-MONOMER
12M3TDA	USA300HOU_RS06185-MONOMER
12MTACPM	CPLX_10MDOD-0
12MTT2E	USA300HOU_RS05010-MONOMER
12TTACA	USA300HOU_RS05010-MONOMER
13M3HTDAHL	USA300HOU_RS11335-MONOMER
13M3OTDAO	USA300HOU_RS06185-MONOMER
13MTDAM	CPLX_10MDOD-0
13MTTDAO	USA300HOU_RS05010-MONOMER
14M3HDEC	USA300HOU_RS11335-MONOMER
14M3HPAHL	USA300HOU_RS11335-MONOMER
14M3OHO	USA300HOU_RS06185-MONOMER
14M3OP	USA300HOU_RS06185-MONOMER
14MHDAAD	CPLX_10MDOD-0
14MTACPM	CPLX_10MDOD-0
14MTHEAO	USA300HOU_RS05010-MONOMER
14MTP2EA	USA300HOU_RS05010-MONOMER
15M3HEXDA	USA300HOU_RS11335-MONOMER
15M3OHAO	USA300HOU_RS06185-MONOMER
15MHDAAD	CPLX_10MDOD-0
15MTHACP	USA300HOU_RS05010-MONOMER
16M3HDEC	USA300HOU_RS11335-MONOMER
16M3HPAHL	USA300HOU_RS11335-MONOMER
16M3OHO	USA300HOU_RS06185-MONOMER
16M3OP	USA300HOU_RS06185-MONOMER
16MTHEAO	USA300HOU_RS05010-MONOMER
16MTP2EA	USA300HOU_RS05010-MONOMER
17M3HDEC	USA300HOU_RS11335-MONOMER
17M3OHO	USA300HOU_RS06185-MONOMER
17MTHEAO	USA300HOU_RS05010-MONOMER
23CN2P2	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
23CN2P3	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
23CN2P4	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
2A4H6ET	USA300HOU_RS02970-MONOMER
2ACLMM	USA300HOU_RS11075-MONOMER_mod_mg2(1)
2MACPT	USA300HOU_RS06180-MONOMER
2MPCAC	USA300HOU_RS06180-MONOMER
2MPCTF	USA300HOU_RS11335-MONOMER
3A2OA	USA300HOU_RS14115-MONOMER_mod_pydx5p(1)
3HACPH	USA300HOU_RS11335-MONOMER
3HAD100	USA300HOU_RS11335-MONOMER
3HAD120	USA300HOU_RS11335-MONOMER
3HAD140	USA300HOU_RS11335-MONOMER
3HAD160_2	USA300HOU_RS11335-MONOMER
3HAD200	USA300HOU_RS11335-MONOMER
3HAD60	USA300HOU_RS11335-MONOMER
3HAD80_2	USA300HOU_RS11335-MONOMER
3HAOR	USA300HOU_RS06185-MONOMER
3HOXTPP	USA300HOU_RS06185-MONOMER
3MBCOT	USA300HOU_RS06180-MONOMER
3METHMCAC	CPLX_10MDOD-0
3NUCLE2	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
3NUCLE3	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
3NUCLE4	USA300HOU_RS05075-MONOMER OR USA300HOU_RS00765-MONOMER
3OAR100	USA300HOU_RS06185-MONOMER
3OAR120_2	USA300HOU_RS06185-MONOMER
3OAR140	USA300HOU_RS06185-MONOMER
3OAR160_2	USA300HOU_RS06185-MONOMER
3OAR200	USA300HOU_RS06185-MONOMER
3OAR60	USA300HOU_RS06185-MONOMER
