bnum	position	modification
USA300HOU_RS02435	1518	m62A
USA300HOU_RS02435	1519	m62A
USA300HOU_RS02705	1518	m62A
USA300HOU_RS02705	1519	m62A
USA300HOU_RS10090	1518	m62A
USA300HOU_RS10090	1519	m62A
USA300HOU_RS11120	1518	m62A
USA300HOU_RS11120	1519	m62A
USA300HOU_RS11720	1518	m62A
USA300HOU_RS11720	1519	m62A
USA300HOU_RS02435	967	m5C
USA300HOU_RS02705	967	m5C
USA300HOU_RS10090	967	m5C
USA300HOU_RS11120	967	m5C
USA300HOU_RS11720	967	m5C
USA300HOU_RS02435	966	m2G
USA300HOU_RS02705	966	m2G
USA300HOU_RS10090	966	m2G
USA300HOU_RS11120	966	m2G
USA300HOU_RS11720	966	m2G
USA300HOU_RS02435	1498	m3U
USA300HOU_RS02705	1498	m3U
USA300HOU_RS10090	1498	m3U
USA300HOU_RS11120	1498	m3U
USA300HOU_RS11720	1498	m3U
USA300HOU_RS02435	527	m7G
USA300HOU_RS02705	527	m7G
USA300HOU_RS10090	527	m7G
USA300HOU_RS11120	527	m7G
USA300HOU_RS11720	527	m7G
USA300HOU_RS02435	1402	m4Cm
USA300HOU_RS02705	1402	m4Cm
USA300HOU_RS10090	1402	m4Cm
USA300HOU_RS11120	1402	m4Cm
USA300HOU_RS11720	1402	m4Cm
USA300HOU_RS02435	516	Y
USA300HOU_RS02705	516	Y
USA300HOU_RS10090	516	Y
USA300HOU_RS11120	516	Y
USA300HOU_RS11720	516	Y
USA300HOU_RS02440	2503	m2A
USA300HOU_RS02715	2503	m2A
USA300HOU_RS10075	2503	m2A
USA300HOU_RS11115	2503	m2A
USA300HOU_RS11715	2503	m2A
USA300HOU_RS02440	2251	Gm
USA300HOU_RS02715	2251	Gm
USA300HOU_RS10075	2251	Gm
USA300HOU_RS11115	2251	Gm
USA300HOU_RS11715	2251	Gm
USA300HOU_RS02440	1939	m5U
USA300HOU_RS02715	1939	m5U
USA300HOU_RS10075	1939	m5U
USA300HOU_RS11115	1939	m5U
USA300HOU_RS11715	1939	m5U
USA300HOU_RS02440	2445	m2G
USA300HOU_RS02715	2445	m2G
USA300HOU_RS10075	2445	m2G
USA300HOU_RS11115	2445	m2G
USA300HOU_RS11715	2445	m2G
USA300HOU_RS02440	1962	m5C
USA300HOU_RS02715	1962	m5C
USA300HOU_RS10075	1962	m5C
USA300HOU_RS11115	1962	m5C
USA300HOU_RS11715	1962	m5C
USA300HOU_RS02440	2069	m7G
USA300HOU_RS02715	2069	m7G
USA300HOU_RS10075	2069	m7G
USA300HOU_RS11115	2069	m7G
USA300HOU_RS11715	2069	m7G
USA300HOU_RS02440	1911	Y
USA300HOU_RS02440	1915	Y
USA300HOU_RS02440	1917	Y
USA300HOU_RS02715	1911	Y
USA300HOU_RS02715	1915	Y
USA300HOU_RS02715	1917	Y
USA300HOU_RS10075	1911	Y
USA300HOU_RS10075	1915	Y
USA300HOU_RS10075	1917	Y
USA300HOU_RS11115	1911	Y
USA300HOU_RS11115	1915	Y
USA300HOU_RS11115	1917	Y
USA300HOU_RS11715	1911	Y
USA300HOU_RS11715	1915	Y
USA300HOU_RS11715	1917	Y
