reaction	keff
10M3HDHL	65
10M3OACPO	65
10M3OUO	65
10MDOD	65
10MTDAO	65
10MTU2A	65
10MUAM	65
11M3ODO	65
11MDAMCA	65
11MHDOD	65
11MTRDOC	65
12M3HTDH	65
12M3HTHL	65
12M3OXOT	65
12M3TDA	65
12MTACPM	65
12MTT2E	65
12TTACA	65
13M3HTDAHL	65
13M3OTDAO	65
13MTDAM	65
13MTTDAO	65
14M3HDEC	65
14M3HPAHL	65
14M3OHO	65
14M3OP	65
14MHDAAD	65
14MTACPM	65
14MTHEAO	65
14MTP2EA	65
15M3HEXDA	65
15M3OHAO	65
15MHDAAD	65
15MTHACP	65
16M3HDEC	65
16M3HPAHL	65
16M3OHO	65
16M3OP	65
16MTHEAO	65
16MTP2EA	65
17M3HDEC	65
17M3OHO	65
17MTHEAO	65
23CN2P2	65
23CN2P3	65
23CN2P4	65
2A4H6ET	65
2ACLMM	65
2MACPT	65
2MPCAC	65
2MPCTF	65
3A2OA	65
3HACPH	65
3HAD100	65
3HAD120	65
3HAD140	65
3HAD160_2	65
3HAD200	65
3HAD60	65
3HAD80_2	65
3HAOR	65
3HOXTPP	65
3MBCOT	65
3METHMCAC	65
3NUCLE2	65
3NUCLE3	65
3NUCLE4	65
3OAR100	65
3OAR120_2	65
3OAR140	65
3OAR160_2	65
3OAR200	65
3OAR60	65
3OAR80_2	65
3OAS100	65
3OAS120_2	65
3OAS140	65
3OAS160_2	65
3OAS200	65
3OAS60	65
3OAS80_2	65
3OXDAM	65
4ABUTD	65
4HTHRS_1	65
4ISOHELS	65
4M3G3P	65
4M3OHAT	65
4M3OPAO	65
4M3OXHA	65
4METPAC	65
4MHEAMA	65
4MTHACP	65
4MTRPE	65
5DOAN	65
5M3HHAL	65
5MET3OH	65
5MHACC	65
5MTH2EO	65
6M3HHL	65
6M3HOAHL	65
6M3OHAO	65
6M3OXO	65
6MHACPA	65
6MOAMCA	65
6MTHAO	65
6MTR2EO	65
6PGALSZ_1	65
6PHBG	65
6PHBG2	65
7M3HOACPL	65
7M3ODO	65
7MOACA	65
7MTROCAC	65
8M3HDAL	65
8M3HNAHL	65
8M3OAO	65
8M3ONO	65
8MDAM	65
8METNO	65
8MNAMC	65
8MT2ACP	65
9M3HDL	65
9M3OXPA	65
9MDACP	65
9MDAM	65
AACLAM	65
AB6PGH_1	65
ABTA	65
ABUTD	65
ACACT1r	65
ACACT5r	65
ACALD	65
ACCOAC	65
ACGAMT	65
ACGApts	65
ACGAptsw	65
ACGK_1	65
ACGS	65
ACHBS	65
ACKr	65
ACLDC	65
ACLS_a	65
ACLS_b	65
ACLS_d	65
ACM6PH	65
ACMAA	65
ACMANApts	65
ACNML	65
ACOAD20	65
ACOADH2	65
ACOAM	65
ACOATA	65
ACODA	65
ACONTa	65
ACONTb	65
ACOTA	65
ACPAL	65
