Reaction,Complexes
NAabc,G12WB-1753-MONOMER OR G12WB-1799-MONOMER OR G12WB-703-MONOMER OR G12WB-1754-MONOMER
ASNS1,G12WB-497-MONOMER OR G12WB-1771-MONOMER_mod_mg2(1) OR G12WB-1675-MONOMER
ASNS2,G12WB-2848-MONOMER
SSALx,G12WB-2494-MONOMER
AMID_1,G12WB-2895-MONOMER
AGTi,G12WB-1109-MONOMER OR G12WB-2687-MONOMER
GLUDxi,G12WB-285-MONOMER
ABTA,G12WB-2315-MONOMER_mod_pydx5p(1)
SSALy,G12WB-2494-MONOMER OR G12WB-691-MONOMER
ASPTA,G12WB-191-MONOMER OR G12WB-2669-MONOMER OR G12WB-2532-MONOMER OR G12WB-1474-MONOMER OR G12WB-2988-MONOMER
GF6PTA,G12WB-224-MONOMER OR G12WB-2571-MONOMER OR G12WB-3499-MONOMER
A4PA,G12WB-2687-MONOMER
GLUR,G12WB-3748-MONOMER OR G12WB-2176-MONOMER OR G12WB-2980-MONOMER OR G12WB-559-MONOMER
ARGSL,G12WB-2654-MONOMER
ASNN,G12WB-497-MONOMER OR G12WB-1771-MONOMER_mod_mg2(1) OR G12WB-1675-MONOMER
GLUSy,G12WB-1474-MONOMER OR G12WB-1675-MONOMER
GLUN,G12WB-301-MONOMER_mod_mg2(1) OR G12WB-497-MONOMER OR G12WB-670-MONOMER OR G12WB-1675-MONOMER OR G12WB-1771-MONOMER_mod_mg2(1) OR G12WB-3775-MONOMER OR G12WB-3776-MONOMER OR G12WB-3777-MONOMER OR G12WB-3778-MONOMER
3A2OA,G12WB-2315-MONOMER_mod_pydx5p(1)
A4GA,G12WB-2687-MONOMER
UAMAS,G12WB-3699-MONOMER_mod_mg2(1)
GTHRDH_syn,G12WB-1672-MONOMER
UAMAGS,G12WB-2804-MONOMER_mod_k(1)_mod_mg2(1)
GLNS,G12WB-1478-MONOMER_mod_mn2(1)
ALAR,G12WB-2774-MONOMER OR G12WB-3643-MONOMER OR G12WB-2980-MONOMER OR G12WB-2176-MONOMER OR G12WB-559-MONOMER OR G12WB-1767-MONOMER
ALAALAD,G12WB-1765-MONOMER
ALAALAr,G12WB-1546-MONOMER
SPTc,G12WB-1109-MONOMER
ARGSS,G12WB-1932-MONOMER_mod_mg2(1)
GLUSx,G12WB-1474-MONOMER OR G12WB-1675-MONOMER
ASP4DC,G12WB-2669-MONOMER
G6PDA,G12WB-1126-MONOMER
ACGAMK,G12WB-1723-MONOMER
UAGDP,G12WB-3696-MONOMER_mod_mg2(1)
PGAMT,G12WB-223-MONOMER
G1PACT,G12WB-3696-MONOMER_mod_mg2(1)
AGDC,G12WB-1125-MONOMER_mod_zn2(1) OR G12WB-3632-MONOMER
UAG2EMA,G12WB-1148-MONOMER_mod_nad(1)
UAGCVT,G12WB-227-MONOMER
ACNML,G12WB-2395-MONOMER
AMANAPEr,G12WB-2396-MONOMER
AMANK,G12WB-2348-MONOMER
UAPGR,G12WB-3576-MONOMER_mod_fad(1)
UAG2E,G12WB-1148-MONOMER_mod_nad(1)
ARGDC,G12WB-996-MONOMER_mod_pydx5p(1) OR G12WB-3732-MONOMER
ALPHNH,CPLX12WB-25
PTRCAT1,G12WB-1343-MONOMER
AGPR,G12WB-2182-MONOMER
AGMT,G12WB-999-MONOMER_mod_mn2(2)
OCBT,G12WB-2178-MONOMER
ACODA,G12WB-409-MONOMER_mod_zn2(1)
ORNTAC,G12WB-2181-MONOMER
SHSL1,G12WB-1969-MONOMER
SPMS,G12WB-998-MONOMER
ADMDC,G12WB-997-MONOMER
CYSDS,G12WB-3191-MONOMER OR G12WB-2639-MONOMER OR G12WB-2849-MONOMER OR G12WB-2890-MONOMER
LCYSTST,G12WB-865-MONOMER OR G12WB-1413-MONOMER_mod_pydx5p(2) OR G12WB-3194-MONOMER OR G12WB-3862-MONOMER
SPMDAT2,G12WB-1343-MONOMER
SPRMS,G12WB-998-MONOMER
METRR,G12WB-559-MONOMER OR G12WB-2176-MONOMER OR G12WB-2980-MONOMER
AHCYSNS,G12WB-2762-MONOMER
METGL,G12WB-3764-MONOMER_mod_pydx5p(1)
HSST,G12WB-1970-MONOMER
AHSERL,CPLX_AHSERL-0
RHCCE,G12WB-3785-MONOMER
MTAN,G12WB-2762-MONOMER
