reaction,keff
26DPAi,65
2DHPFALDL,65
3A2OA,65
3MOPDC_2,65
4HALDD,65
4HBCOAH,65
6PHBG_2,65
A24T,65
A4GA,65
A4HBCT,65
A4PA,65
A6PAG,65
A6PAG2,65
AAAN,65
AACT,65
AB6PGH,65
ABG4t2,65
ABTA,65
ABUTD,65
ACACCT,65
ACALD,65
ACARP,65
ACBIPGT_2,65
ACCOAC,65
ACCOAS,65
ACGAMK,65
ACGApts,65
ACGK,65
ACGS_copy1,65
ACGS_copy2,65
ACHBS,65
ACKr,65
ACLS,65
ACM6PH,65
ACNAMt2,65
ACNML,65
ACNP,65
ACOAD1fr,65
ACODA,65
ACONTa,65
ACONTb,65
ACOTA,65
ACPPD,65
ACS,65
ACTD_1,65
ACTNabc,65
ADA,65
ADCL,65
ADCPS1E,65
ADCS,65
ADCYRSE,65
ADD,65
ADK1,65
ADMDC,65
ADNUC,65
ADOCBIK,65
ADOCBLS1,65
ADOCBLS2_2,65
ADPGLC,65
ADPRDP,65
ADPT,65
ADSL1r,65
ADSL2r,65
ADSS,65
AEPPYRTA,65
AGDC,65
AGMT,65
AGPOP,65
AGPR,65
AGTi,65
AH5L,65
AHCYSNS,65
AHCi,65
AHSERL,65
AHSERL2,65
AICART,65
AIRCr,65
AKGDH,65
ALAALAD,65
ALAALAP,65
ALAALAr,65
ALAR,65
ALATA_D,65
ALATRS,65
ALAabc,65
ALAt4,65
ALCD19,65
ALCD19y,65
ALCD2x,65
ALDD2x,65
ALMPC,65
ALPHNH,65
ALTRH,65
AMANAPEr,65
AMANK,65
AMID_1,65
AMPTASECG,65
ANHMK,65
ANTDR,65
AP3S,65
AP7MT,65
APCPT_1,65
APNPT,65
APRAUR,65
ARBTpts,65
ARBt2r,65
ARGDC,65
ARGSL,65
ARGSS,65
ARGabc,65
ARNO,65
AROH,65
ASAD,65
ASLP,65
ASNN,65
ASNS1,65
ASNS2,65
ASNS3_1,65
ASNTRS,65
ASNabc,65
ASP4DC,65
ASPCMY,65
ASPCT,65
ASPK,65
ASPO2,65
ASPO2y,65
ASPO5,65
ASPR,65
ASPTA,65
ASPTRS,65
ASPabc,65
ATPPRT,65
ATPS4r,65
B2BO_copy1,65
BACCL,65
BDH,65
BGLA,65
BGLA1,65
BMOC,65
BNOCA,65
BTCOARx,65
BTNTe,65
BTS,65
BTS4E,65
BTS_nadph,65
BUP2,65
BUPN,65
BUTCT,65
BUTCT2,65
BUTKr,65
C4HP,65
CA2abc,65
CAt6,65
CBIATE,65
CBPS,65
CD6P,65
CDCPO,65
CDHG,65
CDPGH_2,65
CDPGt,65
CDPMEK,65
CELBpts,65
CELBt2,65
CELLBpts_2,65
CHLabc,65
CHOLD,65
CHOLD3,65
CHORM,65
CHORS,65
CHPHD,65
CHTBSH,65
CLGAL,65
CMH2,65
CNOR,65
CO1abc,65
CO2FO,65
COAO,65
COBALTt5,65
CODH_ACS,65
CODSCL4MT_1,65
CODSCL5BMT,65
CODSCL5DA,65
COHG,65
COMCOA,65
COabc,65
CP3S,65
CP7MT,65
CPC2MTE,65
CPC3MT,65
CPC6R,65
CPC8MM_2,65
CPPPGO2,65
CPS_1,65
CSND,65
CSNt2,65
CT6PT,65
CTHG,65
CTPTHD,65
CYANST,65
CYRDAAT,65
CYSDS,65
CYSS,65
CYSTL,65
CYSTRS,65
CYSabc,65
CYTD,65
CYTDK1,65
CYTDK2,65
CYTK1,65
CYTK2,65
CYTOM,65
Cuabc,65
DACHpts,65
DACL,65
DADA,65
DADK,65
DAPAL_1,65
DAPDC,65
DAPE,65
DATCY,65
DATUP,65
DB4PS,65
DC6PH,65
DCMPDA,65
DCTCP,65
DCTPD,65
DCTUP,65
DCYTD,65
DDGLCNt2r,65
DDGLK,65
DDPA,65
DE3OX,65
DEDACP1,65
DGAK,65
DGK1,65
DGNSK,65
DGTCY,65
DGTUP,65
DHAD2,65
DHBD,65
DHDPRx_r,65
DHDPRy,65
DHDPS,65
DHFR,65
DHFS,65
DHNCM,65
DHNPA2r,65
DHORD2,65
DHORTS,65
DHPD,65
DHPH,65
DHPM2,65
DHPPDA2,65
DHPS2,65
DHPS2_2,65
DHQS,65
DHQTi,65
DHRG,65
DHRG2,65
DMATT,65
DMPPS,65
DMPPS_syn,65
DODEC1,65
DODEC2,65
DOP1,65
DOP2,65
DOPH,65
DPCOAK,65
DPR,65
DRBK,65
DRPA,65
DTMPK,65
DTPH_2,65
DTTGY,65
DTTUP,65
DURIPP,65
DUTCP,65
DUTPDP,65
DUTUP,65
DXPRIi,65
DXPS,65
ECOAH9ir,65
EDA,65
EDD,65
ENO,65
ETHAAL,65
