Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
G12WB-3563-MONOMER,Plasma_Membrane,CD630_33890(),Plasma_Membrane,s
G12WB-2366-MONOMER,Plasma_Membrane,CD630_22110(),Plasma_Membrane,s
G12WB-414-MONOMER,Plasma_Membrane,CD630_03080(),Plasma_Membrane,s
G12WB-2703-MONOMER,Plasma_Membrane,CD630_25480(),Plasma_Membrane,s
G12WB-1647-MONOMER,Cell_Wall,CD630_15110(),Cell_Wall,s
G12WB-3549-MONOMER,Plasma_Membrane,CD630_33750(),Plasma_Membrane,s
G12WB-892-MONOMER,Plasma_Membrane,CD630_07810(),Plasma_Membrane,s
G12WB-398-MONOMER,Plasma_Membrane,CD630_02921(),Plasma_Membrane,s
G12WB-7-MONOMER,Plasma_Membrane,CD630_00070(),Plasma_Membrane,s
G12WB-352-MONOMER,Plasma_Membrane,CD630_02490(),Plasma_Membrane,s
G12WB-684-MONOMER,Plasma_Membrane,CD630_05730(),Plasma_Membrane,s
G12WB-2995-MONOMER,Plasma_Membrane,CD630_28350(),Plasma_Membrane,s
G12WB-2308-MONOMER,Plasma_Membrane,CD630_21510(),Plasma_Membrane,s
G12WB-159-MONOMER,Plasma_Membrane,CD630_01010(),Plasma_Membrane,s
G12WB-2807-MONOMER,Plasma_Membrane,CD630_26560(),Plasma_Membrane,s
G12WB-1278-MONOMER,Plasma_Membrane,CD630_11480(),Plasma_Membrane,s
G12WB-1360-MONOMER,Plasma_Membrane,CD630_12290(),Plasma_Membrane,s
G12WB-1346-MONOMER,Plasma_Membrane,CD630_12150(),Plasma_Membrane,s
G12WB-1575-MONOMER,Plasma_Membrane,CD630_14380(),Plasma_Membrane,s
G12WB-1930-MONOMER,Plasma_Membrane,CD630_17830(),Plasma_Membrane,s
G12WB-2279-MONOMER,Plasma_Membrane,CD630_21240(),Plasma_Membrane,s
G12WB-2951-MONOMER,Plasma_Membrane,CD630_27920(),Plasma_Membrane,s
G12WB-3461-MONOMER,Plasma_Membrane,CD630_32940(),Plasma_Membrane,s
G12WB-260-MONOMER,Plasma_Membrane,CD630_01560(),Plasma_Membrane,s
G12WB-963-MONOMER,Plasma_Membrane,CD630_08530(),Plasma_Membrane,s
G12WB-3270-MONOMER,Plasma_Membrane,CD630_31080(),Plasma_Membrane,s
G12WB-3447-MONOMER,Plasma_Membrane,CD630_32800(),Plasma_Membrane,s
G12WB-603-MONOMER,Plasma_Membrane,CD630_04910(),Plasma_Membrane,s
G12WB-949-MONOMER,Plasma_Membrane,CD630_08390(),Plasma_Membrane,s
