Reaction,Complexes
3HAD100,SYNPCC7942_0930-MONOMER
3HAD120,SYNPCC7942_0930-MONOMER
3HAD140,SYNPCC7942_0930-MONOMER
3HAD160,SYNPCC7942_0930-MONOMER
3HAD180,SYNPCC7942_0930-MONOMER
3HAD40_2,SYNPCC7942_0930-MONOMER
3HAD60,SYNPCC7942_0930-MONOMER
3HAD80,SYNPCC7942_0930-MONOMER
3OAR100,SYNPCC7942_0684-MONOMER
3OAR120,SYNPCC7942_0684-MONOMER
3OAR140,SYNPCC7942_0684-MONOMER
3OAR160,SYNPCC7942_0684-MONOMER
3OAR180,SYNPCC7942_0684-MONOMER
3OAR40_2,SYNPCC7942_0684-MONOMER
3OAR60,SYNPCC7942_0684-MONOMER
3OAR80,SYNPCC7942_0684-MONOMER
3OAS100,SYNPCC7942_0537-MONOMER
3OAS120,SYNPCC7942_0537-MONOMER
3OAS140,SYNPCC7942_0537-MONOMER
3OAS160,SYNPCC7942_0537-MONOMER
3OAS180,SYNPCC7942_0537-MONOMER
3OAS60,SYNPCC7942_0537-MONOMER
3OAS80,SYNPCC7942_0537-MONOMER
4PCP,SYNPCC7942_1963-MONOMER
4PEPTabcpp,CPLX_ALAALAabcpp-0
A5PISO,SYNPCC7942_2291-MONOMER
AACPS6,SYNPCC7942_0918-MONOMER_mod_mg2(1)
ACBIPGT,SYNPCC7942_RS13875-MONOMER
ACCOAC,CPLX490-3538_mod_btn(1)
ACGAMK,SYNPCC7942_2111-MONOMER
ACGAMT,SYNPCC7942_0281-MONOMER_mod_mg2(1)
ACGK,SYNPCC7942_1496-MONOMER
ACGS,SYNPCC7942_1896-MONOMER
ACHBSb,CPLX_ACHBSb-0
ACKr,SYNPCC7942_2079-MONOMER
ACLSa,CPLX_ACHBSb-0
ACLSb,CPLX_ACHBSb-0
ACM6PH,SYNPCC7942_2577-MONOMER
ACMAMT,SYNPCC7942_1651-MONOMER
ACOATA,SYNPCC7942_1455-MONOMER
ACODA,SYNPCC7942_0256-MONOMER
ACONT,SYNPCC7942_0903-MONOMER_mod_4fe4s(1)
ACOTA,SYNPCC7942_0943-MONOMER_mod_pydx5p(1)
ACS,SYNPCC7942_1352-MONOMER
ADCL,SYNPCC7942_1335-MONOMER_mod_pydx5p(1)
ADCPS2,SYNPCC7942_1441-MONOMER
ADCS,SYNPCC7942_1334-MONOMER
ADCYRS,SYNPCC7942_0211-MONOMER
ADK1,SYNPCC7942_2213-MONOMER_mod_mg2(1)
ADMDC,SYNPCC7942_2043-MONOMER OR SYNPCC7942_2249-MONOMER
ADOCBLS,SYNPCC7942_0454-MONOMER
ADPGLC,SYNPCC7942_2271-MONOMER
ADSK,SYNPCC7942_0939-MONOMER_mod_mg2(1) OR SYNPCC7942_0939-MONOMER_mod_mn2(1) OR SYNPCC7942_0939-MONOMER_mod_cobalt2(1) OR SYNPCC7942_0939-MONOMER_mod_cd2(1)
ADSL1r,SYNPCC7942_0315-MONOMER
ADSL2r,SYNPCC7942_0315-MONOMER
ADSS,SYNPCC7942_2409-MONOMER_mod_mg2(1)
AFAT,SYNPCC7942_0492-MONOMER
AGDC,SYNPCC7942_0440-MONOMER_mod_zn2(1)
AGDI_1,SYNPCC7942_2402-MONOMER
AGM3PApp,SYNPCC7942_2134-MONOMER
AGM3PH,SYNPCC7942_0354-MONOMER
