Reaction	Complexes
4HGLSD	HP_RS00285-MONOMER_mod_fad(1)
ACACT1r	HP_RS03375-MONOMER
ACCOAC	CPLX2DNV-983_mod_btn(1)
ACKr	HP_RS04410-MONOMER
ACOATA	HP_RS00985-MONOMER
ACONT	HP_RS03795-MONOMER_mod_4fe4s(1)
ACP1_FMN	HP_RS04535-MONOMER_mod_cobalt2(1)
ACPS	HP_RS03935-MONOMER_mod_mg2(1) OR HP_RS03935-MONOMER_mod_mn2(1)
ACS	HP_RS05135-MONOMER
ADCL	HP_RS02895-MONOMER
ADK1	HP_RS03040-MONOMER_mod_mg2(1)
ADNt2	HP_RS05795-MONOMER
ADPT	HP_RS02815-MONOMER_mod_mg2(1) OR HP_RS02815-MONOMER_mod_mn2(1)
ADSL1r	HP_RS05460-MONOMER
ADSL2r	HP_RS05460-MONOMER
ADSS	HP_RS01255-MONOMER_mod_mg2(1)
AGMHE	HP_RS04190-MONOMER_mod_nadp(1)
AHCYSNS	HP_RS00450-MONOMER
AHSERL2	HP_RS00540-MONOMER_mod_pydx5p(1)
AKGt2r	HP_RS05365-MONOMER
ALAALAr	CPLX2DNV-1118
ALAD_L	HP_RS06905-MONOMER
ALAR	HP_RS04585-MONOMER
ALAt2r	HP_RS04590-MONOMER
ALAt4	HP_RS04590-MONOMER
ALCD2y	HP_RS05420-MONOMER
AMAA	HP_RS03760-MONOMER
AMAOTr	HP_RS04775-MONOMER_mod_pydx5p(1)
AMID2	HP_RS01450-MONOMER
AMID4	HP_RS01450-MONOMER
AMID5	HP_RS01450-MONOMER
AMMQT6	HP_RS07345-MONOMER
ANPRT	HP_RS06315-MONOMER
ANS	CPLX_ANS-0
ANS2	CPLX_ANS-0
AOXSr	HP_RS02950-MONOMER
APRAUR	HP_RS07450-MONOMER
ARGDC	HP_RS02090-MONOMER_mod_mg2(1)_mod_pydx5p(4)
ARGN	HP_RS06910-MONOMER
ARGt2r	HP_RS05000-MONOMER
ASAD	HP_RS05845-MONOMER
ASNN	CPLX2DNV-1095
ASNS2	CPLX2DNV-1095
ASNt2r	HP_RS03525-MONOMER
ASP1DC	HP_RS00185-MONOMER
ASPCT	HP_RS05330-MONOMER
ASPK	HP_RS06065-MONOMER
ASPT	HP_RS03200-MONOMER_mod_mg2(1) OR HP_RS03200-MONOMER_mod_mn2(1) OR HP_RS03200-MONOMER_mod_cobalt2(1)
ASPTA	HP_RS03305-MONOMER
ASPt2r	HP_RS03525-MONOMER
ATPS4r	CPLX2DNV-979
BACCL	HP_RS05600-MONOMER
BC10_new	CPLX_BC10_new-0
BTS2	HP_RS06945-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
C140SN	CPLX_C140SN-0
C160SN	CPLX_C140SN-0
C180SN	CPLX_C140SN-0
C181SN	CPLX_C140SN-0
C190cSN	HP_RS02060-MONOMER_mod_hco3(1) OR CPLX_C140SN-0
CAT	HP_RS04270-MONOMER_mod_hemed(6)
CBPS	CPLX2DNV-980_mod_mg2(1) OR CPLX2DNV-980_mod_mn2(1) OR CPLX2DNV-980_mod_cobalt2(1) OR CPLX2DNV-980_mod_cd2(1) OR CPLX2DNV-980_mod_zn2(1)
CCP	HP_RS07235-MONOMER
CDAPPA_HP	HP_RS04250-MONOMER
CDPMEK	HP_RS07145-MONOMER
CHORM	HP_RS01435-MONOMER
CHORS	HP_RS03270-MONOMER_mod_fmnh2(1) OR HP_RS03270-MONOMER_mod_fadh2(1)
CPPPGO	CPLX_CPPPGO-0
CS	CPLX-9289
CTPS1	HP_RS01710-MONOMER_mod_mg2(1)
CYOO_HP	CPLX_CYOO_HP-0
CYSS	HP_RS00545-MONOMER_mod_pydx5p(1)
CYTDt2	HP_RS05795-MONOMER
DAAD	HP_RS04595-MONOMER
DADK	HP_RS03040-MONOMER_mod_mg2(1)
DADNt2	HP_RS05795-MONOMER
DAGK_HP	HP_RS03420-MONOMER_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1)
DALAt2r	HP_RS04590-MONOMER
DAPDC	HP_RS01430-MONOMER_mod_pydx5p(1)
DAPE	HP_RS02785-MONOMER
DASYN_HP	HP_RS01055-MONOMER_mod_mg2(1)_mod_k(1)
DB4PS	HP_RS03915-MONOMER_mod_mg2(1)
DBTS	HP_RS00160-MONOMER_mod_mg2(1)
DCTPD	HP_RS01830-MONOMER
DCTPD2	HP_RS01830-MONOMER
DCYTt2	HP_RS05795-MONOMER
DDPA	HP_RS00665-MONOMER
DDPGA	HP_RS05395-MONOMER
DGK1	HP_RS01580-MONOMER_mod_mg2(1)
DHDPRy	HP_RS02515-MONOMER
DHDPS	HP_RS04980-MONOMER
DHFS	HP_RS07640-MONOMER
DHNPA	HP_RS07475-MONOMER
DHORD3	HP_RS04970-MONOMER_mod_fmn(1)
DHORTS	CPLX_DHORTS-0
DHPPDA	HP_RS07450-MONOMER
DHPS	HP_RS06080-MONOMER_mod_mg2(1)
DHQS	HP_RS01395-MONOMER_mod_cobalt2(1)_mod_nad(1)
DHQTi	HP_RS05100-MONOMER
DMATT	HP_RS04530-MONOMER_mod_mg2(1) OR HP_RS04530-MONOMER_mod_mn2(1)
DMPPS	HP_RS01970-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1)
DNMPPA	HP_RS06060-MONOMER
DNTPPA	HP_RS06060-MONOMER
DPCOAK	HP_RS04055-MONOMER
DSERt2	HP_RS04590-MONOMER
DTMPK	HP_RS07300-MONOMER_mod_mg2(1)
DURIPP	CPLX2DNV-1084
DURIt2	HP_RS05795-MONOMER
DUTPDP	HP_RS04220-MONOMER_mod_zn2(1)
DXPRIi	HP_RS01060-MONOMER_mod_mn2(1) OR HP_RS01060-MONOMER_mod_cobalt2(1) OR HP_RS01060-MONOMER_mod_mg2(1)
DXPS	HP_RS01735-MONOMER_mod_thmpp(1)
EDA	HP_RS05395-MONOMER
EDD	HP_RS05400-MONOMER
EHGLAT	HP_RS03305-MONOMER
ENO	HP_RS00760-MONOMER_mod_mg2(4)
FBA	HP_RS00860-MONOMER
FBA2	HP_RS00860-MONOMER
FBP	HP_RS06840-MONOMER_mod_mg2(1)
FCLPA	HP_RS00570-MONOMER
FCLT	HP_RS01850-MONOMER
FE2abc	HP_RS03365-MONOMER
FEDCabc	CPLX2DNV-1087 OR HP_RS03930-MONOMER OR HP_RS03360-MONOMER OR HP_RS06915-MONOMER
FMNAT	HP_RS05345-MONOMER
FMNRx2	CPLX_FMNRx2-0
FOLD3	HP_RS06080-MONOMER_mod_mg2(1)
FORAMD	HP_RS06110-MONOMER
FRD5	CPLX_FRD5-0
FTHFD	HP_RS07095-MONOMER
FTHFLi	HP_RS02840-MONOMER
FUM	HP_RS06540-MONOMER
G1PACT	HP_RS03350-MONOMER_mod_mg2(1)
G1SAT	HP_RS01510-MONOMER_mod_pydx5p(1)
G3PD1ir	HP_RS04705-MONOMER
G3PD2	HP_RS04705-MONOMER
G6PDH2r	HP_RS05405-MONOMER
GALUi	HP_RS03185-MONOMER
GALt2	HP_RS05770-MONOMER
GAPD	HP_RS04490-MONOMER OR HP_RS06645-MONOMER
GF6PTA	HP_RS07575-MONOMER
GFUCS	HP_RS00235-MONOMER
GHMT2r	HP_RS00895-MONOMER
GK1	HP_RS01580-MONOMER_mod_mg2(1)
GLCt2	HP_RS05770-MONOMER
GLNS	HP_RS02525-MONOMER_mod_mn2(1)
GLNabc	CPLX2DNV-1089
GLUDC	HP_RS02090-MONOMER_mod_mg2(1)_mod_pydx5p(4)
GLUDy	HP_RS01870-MONOMER
GLUR	HP_RS02705-MONOMER
GLUTRR	HP_RS01175-MONOMER
GLUTRS	CPLX_GLUTRS-0
GLUt2r	HP_RS07455-MONOMER
GLYCTO1	HP_RS02510-MONOMER
GLYt2r	HP_RS04590-MONOMER
GMAND	CPLX2DNV-1152_mod_nadp(1)
GMHEPAT	HP_RS04185-MONOMER
GMHEPK	HP_RS04185-MONOMER
GMHEPPA	HP_RS04195-MONOMER_mod_mg2(1)
