complex_id,name,genes,mod,replace
CPLX_CPPPGO-0,Coproporphyrinogen oxidase (O2 required),HP0665() AND HP1226(),,
CPLX_CYOO_HP-0,CYOO HP,HP0147() AND HP0146() AND HP1227() AND HP0144() AND HP0145(),,
CPLX_ANS-0,Anthranilate synthase,HP1282() AND HP1281(),,
CPLX_DHORTS-0,Dihydroorotase,HP0581() AND HP0266(),,
CPLX_BC10_new-0,BC10 new,HP1540() AND HP1539() AND HP1538() AND HP1227(),,
CPLX_C140SN-0,Fatty acid biosynthesis (n-C14:0),HP1376() AND HP0561() AND HP0558() AND HP0195(),,
CPLX_FMNRx2-0,FMN reductase,HP0642() AND HP1161(),,
CPLX_FRD5-0,FRD5,HP0192() AND HP0191() AND HP0193(),,
CPLX_GLUTRS-0,Glutamyl-tRNA synthetase,HP0643() AND HP0476(),,
CPLX_LPSSYN_HP-0,LPSSYN HP,HP1416() AND HP0279(),,
CPLX_LPSSYN_HP-1,LPSSYN HP,HP0208() AND HP0279(),,
CPLX_LPSSYN_HP-2,LPSSYN HP,HP0159() AND HP0279(),,
CPLX_LPSSYN_HP-3,LPSSYN HP,HP0826() AND HP0094(),,
CPLX_L_LACt2r-0,L lactate reversible transport via proton symport,HP0141() AND HP0140(),,
CPLX_HYDA1-0,HYDA1,HP0633() AND HP0631() AND HP0632() AND HP0634(),,
CPLX_PGCD-0,Phosphoglycerate dehydrogenase,HP0096() AND HP0397(),,
CPLX_NIabc-0,Nickel transport via ABC system,HP1077() AND HP1576(),,
CPLX_TRDR-0,Thioredoxin reductase (NADPH),HP0824() AND HP1458() AND HP0825() AND HP1164(),,
CPLX_PROabc-0,L-proline transport via ABC system,HP0819() AND HP0818(),,
CPLX_UREA-0,Urease,HP0069() AND HP0068() AND HP0067() AND HP0073() AND HP0070() AND HP0072(),,
CPLX_RBFSa-0,Riboflavin synthase,HP0002() AND HP1574(),,
HP_RS03040-MONOMER,,,mg2(1),
HP_RS05090-MONOMER,,,mg2(1),
HP_RS07065-MONOMER,,,4fe4s(1),
HP_RS05010-MONOMER,,,mn2(1),
HP_RS02710-MONOMER,,,mg2(3),
HP_RS02060-MONOMER,,,hco3(1),
HP_RS06120-MONOMER,,,zn2(4),
HP_RS03795-MONOMER,,,4fe4s(1),
HP_RS03270-MONOMER,,,fmnh2(1),
HP_RS03270-MONOMER,,,fadh2(1),
HP_RS05320-MONOMER,,,mg2(1),
HP_RS07300-MONOMER,,,mg2(1),
HP_RS03105-MONOMER,,,fad(1),
HP_RS03025-MONOMER,,,mg2(1),
HP_RS06700-MONOMER,,,4fe4s(1),
HP_RS01770-MONOMER,,,nad(1),
HP_RS05810-MONOMER,,,4fe4s(1),
HP_RS03610-MONOMER,,,mg2(1) AND pi(1),
HP_RS03610-MONOMER,,,mn2(1) AND pi(1),
HP_RS07620-MONOMER,,,mg2(1),
HP_RS03350-MONOMER,,,mg2(1),
HP_RS01080-MONOMER,,,pydx5p(2),
HP_RS00655-MONOMER,,,4fe4s(1),
HP_RS04195-MONOMER,,,mg2(1),
HP_RS04020-MONOMER,,,Oxidized(1),
HP_RS05790-MONOMER,,,mn2(1),
HP_RS01570-MONOMER,,,mg2(1),
