Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HP_RS07315-MONOMER	Periplasm	HP1477()	Periplasm	s
HP_RS07235-MONOMER	Periplasm	HP1461()	Periplasm	s
HP_RS03120-MONOMER	Inner_Membrane	HP0633()	Inner_Membrane	s
HP_RS07155-MONOMER	Inner_Membrane	HP1445()	Inner_Membrane	s
HP_RS00935-MONOMER	Inner_Membrane	HP0192()	Inner_Membrane	s
HP_RS02955-MONOMER	Membrane	HP0599()	Membrane	s
HP_RS00850-MONOMER	Membrane	HP0174()	Membrane	s
HP_RS02870-MONOMER	Membrane	HP0583()	Membrane	s
HP_RS02790-MONOMER	Inner_Membrane	HP0567()	Inner_Membrane	s
HP_RS00280-MONOMER	Inner_Membrane	HP0055()	Inner_Membrane	s
HP_RS02620-MONOMER	Inner_Membrane	HP0532()	Inner_Membrane	s
HP_RS04630-MONOMER	Inner_Membrane	HP0946()	Inner_Membrane	s
HP_RS06620-MONOMER	Inner_Membrane	HP1341()	Inner_Membrane	s
HP_RS00430-MONOMER	Membrane	HP0085()	Membrane	s
HP_RS02345-MONOMER	Inner_Membrane	HP0474()	Inner_Membrane	s
HP_RS06365-MONOMER	Membrane	HP1290()	Membrane	s
HP_RS02265-MONOMER	Membrane	HP0457()	Membrane	s
HP_RS03970-MONOMER	Inner_Membrane	HP0815()	Inner_Membrane	s
HP_RS05825-MONOMER	Inner_Membrane	HP1185()	Inner_Membrane	s
HP_RS07795-MONOMER	Inner_Membrane	HP1575()	Inner_Membrane	s
HP_RS05740-MONOMER	Inner_Membrane	HP1168()	Inner_Membrane	s
HP_RS07635-MONOMER	Membrane	HP1544()	Membrane	s
HP_RS01520-MONOMER	Membrane	HP0308()	Membrane	s
HP_RS05565-MONOMER	Inner_Membrane	HP1133()	Inner_Membrane	s
HP_RS01440-MONOMER	Inner_Membrane	HP0292()	Inner_Membrane	s
HP_RS07465-MONOMER	Inner_Membrane	HP1508()	Inner_Membrane	s
HP_RS03365-MONOMER	Inner_Membrane	HP0687()	Inner_Membrane	s
HP_RS07380-MONOMER	Membrane	HP1490()	Membrane	s
HP_RS05320-MONOMER	Membrane	HP1082()	Membrane	s
HP_RS03190-MONOMER	Membrane	HP0647()	Membrane	s
HP_RS00920-MONOMER	Inner_Membrane	HP0189()	Inner_Membrane	s
HP_RS04990-MONOMER	Membrane	HP1015()	Membrane	s
HP_RS06965-MONOMER	Membrane	HP1408()	Membrane	s
HP_RS02855-MONOMER	Membrane	HP0580()	Membrane	s
HP_RS04785-MONOMER	Inner_Membrane	HP0978()	Inner_Membrane	s
HP_RS02685-MONOMER	Membrane	HP0546()	Membrane	s
HP_RS02605-MONOMER	Membrane	HP0529()	Membrane	s
HP_RS04595-MONOMER	Inner_Membrane	HP0943()	Inner_Membrane	s
HP_RS00505-MONOMER	Membrane	HP0099()	Membrane	s
HP_RS00095-MONOMER	Membrane	HP0016()	Membrane	s
HP_RS00415-MONOMER	Membrane	HP0082()	Membrane	s
HP_RS02435-MONOMER	Outer_Membrane	HP0492()	Outer_Membrane	s
HP_RS02330-MONOMER	Membrane	HP0471()	Membrane	s
HP_RS06270-MONOMER	Membrane	HP1271()	Membrane	s
HP_RS02020-MONOMER	Outer_Membrane	HP0410()	Outer_Membrane	s
HP_RS01940-MONOMER	Inner_Membrane	HP0394()	Inner_Membrane	s
HP_RS01860-MONOMER	Inner_Membrane	HP0378()	Inner_Membrane	s
