complex,name,genes,source
YmfC_mono,16S RNA U516 pseudouridine synthase (EC:4.2.1.70),b1135(1),2011_Updated_E_recon
CARNRACE-MONOMER,default_name,b0036(1),M_recon
CPLX0-1601,default_name,b1587(1) AND b1590(1) AND b1588(1) AND b1589(1),M_recon
CPLX0-1762,default_name,b1388(1) AND b1389(1) AND b1392(1) AND b1390(1),M_recon
NANE-MONOMER,default_name,b3223(1),M_recon
DTDPGLUCDEHYDRAT2-MONOMER,default_name,b3788(1),M_recon
NARU-MONOMER,default_name,b1469(1),M_recon
YDGEF-CPLX,default_name,b1599(1) AND b1600(1),M_recon
PHOSMANMUT-MONOMER,default_name,b2048(1),M_recon
CPLX0-3929,default_name,b2708(4),M_recon
CPLX0-7652,default_name,b3903(4),M_recon
ANSB-CPLX,default_name,b2957(4),M_recon
EG11983-MONOMER,default_name,b2034(1),M_recon
NARW-MONOMER,default_name,b1466(1),M_recon
EG11009-MONOMER,default_name,b3035(1),M_recon
GABATRANSAM-CPLX,default_name,b2662(2),M_recon
DIHYDROOROTOX-MONOMER,default_name,b0945(1),M_recon
NAPD-MONOMER,default_name,b2207(1),M_recon
DSBD-MONOMER,default_name,b4136(1),M_recon
NITRATREDUCTZ-CPLX,default_name,b1468(1) AND b1465(1) AND b1467(1),M_recon
YGFO-MONOMER,default_name,b2882(1),M_recon
ALTRO-OXIDOREDUCT-MONOMER,default_name,b1521(1),M_recon
EG10739-MONOMER,default_name,b3825(1),M_recon
DCUA-MONOMER,default_name,b4138(1),M_recon
ALPHA-AMYL-PERI-MONOMER,default_name,b3571(1),M_recon
KUP-MONOMER,default_name,b3747(1),M_recon
PYRUVFORMLY-MONOMER_EG11784-MONOMER,default_name,b2579(1) AND b0903(1),M_recon
PHOSNACMURPENTATRANS-MONOMER,default_name,b0087(1),M_recon
ISOCIT-LYASE,default_name,b4015(4),M_recon
RplY_mono,50S ribosomal subunit protein L25,b2185(1),2011_Updated_E_recon
CPLX0-1262,default_name,b3197(4),M_recon
YJGT-MONOMER,default_name,b4265(1),M_recon
CPLX0-303,default_name,b3925(2),M_recon
G6425-MONOMER,default_name,b0822(1),M_recon
RumA_mono,"23S rRNA m(5)U1939 methyltransferase, SAM-dependent (EC:2.1.1.-)",b2785(1),2011_Updated_E_recon
DIOHBUTANONEPSYN-CPLX,default_name,b3041(2),M_recon
CPLX0-1541,default_name,b0159(2),M_recon
DCUB-MONOMER,default_name,b4123(1),M_recon
G6406-MONOMER,default_name,b0789(1),M_recon
G7533-MONOMER,default_name,b2963(1),M_recon
CPLX0-7794,default_name,b3882(4),M_recon
FPPSYN-MONOMER,default_name,b0421(1),M_recon
G6580-MONOMER,default_name,b1134(1),M_recon
PABASYN-COMPI-MONOMER,default_name,b1812(1),M_recon
CPLX0-243,default_name,b4226(6),M_recon
KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,default_name,b1850(3),M_recon
UPPSYN-CPLX,default_name,b0174(2),M_recon
G495-MONOMER,default_name,b2901(1),M_recon
AROG-CPLX,default_name,b0754(4),M_recon
PSERPHOSPHA-MONOMER,default_name,b4388(1),M_recon
DAPASYN-CPLX,default_name,b0774(2),M_recon
CPLX0-3841,default_name,b1208(2),M_recon
RlmG_mono,23S rRNA m2G1835 methyltransferase,b3084(1),2011_Updated_E_recon
CPLX0-7458,default_name,b4467(1) AND b4468(1) AND b2979(1),M_recon
YDEA-MONOMER,default_name,b1528(1),M_recon
EG11486-MONOMER,default_name,b3792(1),M_recon
FADA-CPLX,default_name,b3845(2),M_recon
