,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_dilution,0.17441854350561875,0.3638571352825327,0.5540675320288266,0.7453626095437202,0.9382575744430576,1.1276264893824581,1.257729894259912,1.3406192020868857,1.3966943169542247,1.403621132560493,1.403621132560493,1.403621132560493,1.403621132560493,1.403621132560493
protein_biomass_to_biomass,0.09315725479686877,0.18836594471795357,0.2805406002166149,0.36888720879825965,0.4520788363116338,0.5282524954272784,0.5771105582801527,0.607360103912194,0.627218330768206,0.6296434837324537,0.6296434837324537,0.6296434837324537,0.6296434837324537,0.6296434837324537
mRNA_biomass_to_biomass,0.0003666835544068563,0.000985188768637698,0.0018279487233873247,0.002874121128003719,0.004095602888967745,0.005441025715310522,0.006462223862798101,0.0071381489670424795,0.007618760222869807,0.007680380601403579,0.007680380601403579,0.007680380601403579,0.007680380601403579,0.007680380601403579
tRNA_biomass_to_biomass,0.0022176969580152734,0.00597352015477377,0.011089327535761941,0.01744594194621413,0.024836811179536306,0.03293847770802412,0.0390628539587216,0.04310752303365901,0.04600582756173028,0.046378515856952726,0.046378515856952726,0.046378515856952726,0.046378515856952726,0.046378515856952726
rRNA_biomass_to_biomass,0.01592944865825875,0.0427896660975096,0.07937569136499119,0.12477398279049282,0.17775475187446685,0.23610868546708397,0.28042482541257646,0.30976076112089734,0.3305885613633059,0.3332637462191377,0.3332637462191377,0.3332637462191377,0.3332637462191377,0.3332637462191377
ncRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.010283231204865538,0.01959733979506642,0.023054865077801415,0.023265739347536382,0.02428435099942655,0.02648950634591457,0.02845460631638556,0.029830569955879634,0.030802308319046675,0.030924304320570216,0.030924304320570216,0.030924304320570216,0.030924304320570216,0.030924304320570216
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
