,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_dilution,0.49481274148034393,1.0079679104361114,1.5200115998396204,1.52740203440319,1.5339985550008601,1.5405830161458842,1.5471560878078527,1.553707050473303,1.5601159795853599,1.5658140709608614,1.5658140709608614,1.5658140709608614,1.5658140709608614,1.5658140709608614
protein_biomass_to_biomass,0.2521400231412343,0.48036541565954777,0.6698383785927754,0.672473090512562,0.6747009919840234,0.6769202600365323,0.6791311615269962,0.6813301434967114,0.6833448186268488,0.685413196762602,0.685413196762602,0.685413196762602,0.685413196762602,0.685413196762602
mRNA_biomass_to_biomass,0.0015540442590607495,0.0046184440380627675,0.008775379859668657,0.008844331560233107,0.008903984892580387,0.008963665766426118,0.0090233790969272,0.009083025872699753,0.009139573683303884,0.009192676348461933,0.009192676348461933,0.009192676348461933,0.009192676348461933,0.009192676348461933
tRNA_biomass_to_biomass,0.009384806594621686,0.027838841895577584,0.05287250462169355,0.05296369650326132,0.0533214602996055,0.053679399037742645,0.05403754218533542,0.0543952973742284,0.055038577035841106,0.05505285141201421,0.05505285141201421,0.05505285141201421,0.05505285141201421,0.05505285141201421
rRNA_biomass_to_biomass,0.0669008160671803,0.1985917518334242,0.3774576941253581,0.38042394786984235,0.3829902280614394,0.38555770200926553,0.3881265811688134,0.3906926078276193,0.3931250087746182,0.39540786427175745,0.39540786427175745,0.39540786427175745,0.39540786427175745,0.39540786427175745
ncRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.022607967044984738,0.024981597646483514,0.03302796009933145,0.03316454033406972,0.03328671375612606,0.03340890836112986,0.0335311306207947,0.03365317487006759,0.03377279399328723,0.03387932595523158,0.03387932595523158,0.03387932595523158,0.03387932595523158,0.03387932595523158
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,0.00039632135631790567,0.0013663130545200164,0.001255594582357026,0.0012663142099053517,0.001275868016072226,0.0012854346642383828,0.0012950148500505958,0.0013045953150763701,0.001313746993858103,0.0013232330318305471,0.0013232330318305471,0.0013232330318305471,0.0013232330318305471,0.0013232330318305471
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_5drib_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_amob_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C100aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C100pPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C101PAH_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C120aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C121aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C121d6PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C140aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C141aPHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C141d5PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_C142PHA_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
