,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_dilution,0.1782186110284693,0.36637220112893276,0.5593227735043628,0.7602339245657078,0.9741176968267983,1.2019086978677427,1.4426013033317362,1.6953426419288293,1.9615175408046035,2.239049764195075,2.239049764195075,2.239049764195075,2.239049764195075,2.239049764195075
protein_biomass_to_biomass,0.09524236893375841,0.18981278986751904,0.28323813030545786,0.3755683064418747,0.46653855844755004,0.5559226359730097,0.643275364058619,0.728156433273973,0.8110099998352925,0.891441484016411,0.891441484016411,0.891441484016411,0.891441484016411,0.891441484016411
mRNA_biomass_to_biomass,0.00037463448442515504,0.0009931639964422597,0.0018574043668749456,0.0029767221635946103,0.004373801464341612,0.006064890111950645,0.008054665744153588,0.010347791927401505,0.012961964660144822,0.015877467453801714,0.015877467453801714,0.015877467453801714,0.015877467453801714,0.015877467453801714
tRNA_biomass_to_biomass,0.0022824197841232055,0.0060494344350539115,0.011309361033905955,0.01811793355029999,0.026618274562084925,0.03687296595933169,0.04895038584009192,0.06286968727127296,0.07873326259899122,0.09612513577408674,0.09612513577408674,0.09612513577408674,0.09612513577408674,0.09612513577408674
rRNA_biomass_to_biomass,0.01624072354141808,0.04305321335613132,0.08050566761183185,0.1289960773997962,0.18950131572061032,0.26271676830162993,0.34879787994291356,0.4479591218157835,0.5609474240053683,0.6868844051412205,0.6868844051412205,0.6868844051412205,0.6868844051412205,0.6868844051412205
ncRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.010501745839464654,0.019686246470334796,0.02307641892177994,0.023294695738979267,0.02462393696839208,0.027577916365283412,0.031618057623289134,0.03634113766692146,0.04157081345166046,0.04716399143319764,0.04716399143319764,0.04716399143319764,0.04716399143319764,0.04716399143319764
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.8859200406932533e-06,7.65870297195909e-06,1.4342967692199507e-05,2.3016897608528613e-05,3.387053707235169e-05,4.703842171922852e-05,6.255783969589216e-05,8.04762568672226e-05,0.00010095134579409891,0.00012144561712608847,0.00012144561712607714,0.00012144561712607714,0.00012144561712607714,0.00012144561712607714
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_tyr__L_e,-0.0316673286849654,-0.0633346573699307,-0.0950019860548961,-0.126669314739861,-0.158336643424827,-0.190003972109792,-0.221671300794758,-0.253338629479723,-0.285005958164688,-0.316673286849654,-0.3166732868496537,-0.3166732868496537,-0.3166732868496537,-0.3166732868496537
EX_val__L_e,-0.12650526533592502,-0.24785228188006972,-0.3483105134898445,-0.4417389929649855,-0.5262759474276899,-0.6008646649527397,-0.6718468124256972,-0.7241466464266519,-0.7653010002063111,-0.9336709542060789,-0.9336709542062626,-0.9336709542062626,-0.9336709542062626,-0.9336709542062626
EX_ser__D_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3001307277346598e-57,0.0,0.0,0.0,0.0
EX_orn_e,5.943982614140906e-23,2.462158070570972e-23,1.4442056831519057e-22,4.407058964234041e-23,3.0330998073973705e-23,2.2314338387948606e-23,3.38093373152068e-23,0.0,2.2730780213981468e-23,-2.2716942538789187e-15,0.0,0.0,0.0,0.0
EX_ptrc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_spmd_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_co2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_na1_e,-8.563191253576961e-62,9.000728195704562e-62,8.223567178065632e-62,0.0,0.0,-3.001836993486987e-26,-2.5794727778674306e-26,-9.50171739501084e-61,6.867432226375991e-61,9.046373155602987e-39,0.0,0.0,0.0,0.0
