,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomass_dilution,0,0,0,0,0,0.0027441954466847496,0.0054877209237780234,0.002743525477093274,0.008575610770889842,0.002743525477093274,0.010119220709650014,0.009604684063396624,0.009604684063396624,0.009604684063396624
protein_biomass_to_biomass,0,0,0,0,0,0.001522261087651499,0.003043141409683359,0.0015223318546257433,0.004970384393215536,0.001522331537179737,0.005864185619188817,0.005566279771038838,0.005566279771038838,0.005566279771038838
mRNA_biomass_to_biomass,0,0,0,0,0,4.092119438968469e-06,8.247453633471908e-06,4.092135759024602e-06,1.3582449346194329e-05,4.092138009328043e-06,1.6088689863126808e-05,1.5251248414893246e-05,1.5251248414893246e-05,1.5251248414893246e-05
tRNA_biomass_to_biomass,0,0,0,0,0,2.4329215249723892e-05,4.753778046540243e-05,2.358862271972005e-05,7.826826208136512e-05,2.3588654940742995e-05,9.270961581627643e-05,8.788418992375927e-05,8.788418992375927e-05,8.788418992375927e-05
rRNA_biomass_to_biomass,0,0,0,0,0,0.00017393400183348255,0.00035044642671484865,0.00017393392309569526,0.000207098025055473,0.00017393415773456761,0.00024530501282149996,0.00023253856606789909,0.00023253856606789909,0.00023253856606789909
ncRNA_biomass_to_biomass,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tmRNA_biomass_to_biomass,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0,0,0,0,0,0.00016276951258650186,0.00032549928399965033,0.00016272977393605415,0.0005086547029818671,0.00016272977393605415,0.0006002125236582399,0.000569693252299743,0.000569693252299743,0.000569693252299743
lipid_biomass_to_biomass,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,0,0,0,0,0,5.376481206056331e-07,1.0815263344020693e-06,5.37498730056119e-07,1.7817170256682567e-06,5.377256292422704e-07,2.1148375083452216e-06,2.004664442144906e-06,2.004664442144906e-06,2.004664442144906e-06
peptidoglycan_biomass_to_biomass,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_gln__L_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_hco3_e,0,0,0,0,0,0.0,8.511076929512493e-34,-7.229815845589306e-35,0.0,0.0,0.0,0.0,0.0,0.0
EX_mn2_e,0,0,0,0,0,-5.2600622673664566e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arg__L_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK_for_c,0,0,0,0,0,0.01625300738183561,0.038959725235312166,0.06689311283569041,0.08141654934989916,0.07832668555003144,0.10776651108518713,0.10650649342483466,0.10650649342483466,0.10650649342483466
EX_mg2_e,0,0,0,0,0,-2.0853696366483606e-05,-4.201921110816947e-05,-2.0854953295683516e-05,-6.920292743159438e-05,-2.085509617495934e-05,-8.196420016406412e-05,-7.769777580919024e-05,-7.769777580919024e-05,-7.769777580919024e-05
EX_ptrc_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_h2_c,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ca2_e,0,0,0,0,0,3.4348039349812695e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_nh4_e,0,0,0,0,0,-0.21458144629960837,-0.017484387423802157,0.0,-0.008578872552827993,0.0,0.0,0.0,0.0,0.0
DM_dialurate_c,0,0,0,0,0,6.2417266439202855e-53,0.0,0.0,8.424773175767767e-48,0.0,0.0,0.0,0.0,0.0
DM_co_c,0,0,0,0,0,3.5058876478223396e-10,7.194442258569619e-10,3.5194646689600966e-10,1.2053425559036042e-09,3.5158725266459176e-10,1.4381708969295501e-09,1.3595177016578256e-09,1.3595177016578256e-09,1.3595177016578256e-09
EX_fe2_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_cu2_e,0,0,0,0,0,3.0617592084259124e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_5drib_c,0,0,0,0,0,3.5058876478223396e-10,7.194442258569619e-10,3.5194646689600966e-10,1.2053425559036042e-09,3.5158725266459176e-10,1.4381708969295501e-09,1.3595177016578256e-09,1.3595177016578256e-09,1.3595177016578256e-09
SK_amylose_c,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_k_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK_14glucan_c,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK_glycogen_c,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_h2o_e,0,0,0,0,0,1.1586061290731515,1.325127116288696,1.4389892056160243,1.6524675571682863,1.5032587729886664,1.784856123350171,1.7658683947967133,1.7658683947967133,1.7658683947967133
EX_o2_e,0,0,0,0,0,-0.25025842730562825,-0.47761818574974824,-0.647077326147502,-0.73230024874483,-0.7220018710721894,-0.8873561814078325,-0.8771528239996796,-0.8771528239996796,-0.8771528239996796
EX_co2_e,0,0,0,0,0,0.23759358834735675,0.41789611326730364,0.6817957568757693,0.7671060468977055,0.8039019014514012,0.9872524926300926,0.9765990376532944,0.9765990376532944,0.9765990376532944
EX_leu__L_e,0,0,0,0,0,-0.002523095360454747,-0.1435483151935965,-0.017674941275438033,-0.04001633774990481,0.0,0.0,0.0,0.0,0.0
EX_cobalt2_e,0,0,0,0,0,-4.288832058674672e-10,-5.1545181307743825e-11,-1.2994661762077879e-11,-1.5497873136677468e-09,-4.30085675702204e-10,-1.8717536518703875e-09,-1.762368324235867e-09,-1.762368324235867e-09,-1.762368324235867e-09
EX_no3_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_zn2_e,0,0,0,0,0,-7.452631092539948e-10,-1.0518656086227808e-09,-8.792895420039657e-10,-3.078003818028664e-09,-9.082094913301669e-10,-3.9161142467989344e-09,-3.694396515572223e-09,-3.694396515572223e-09,-3.694396515572223e-09
EX_fe3_e,0,0,0,0,0,-1.3830578256982233e-11,-2.0637398931740097e-10,-2.970107847331968e-11,-1.8560507716161386e-10,-6.946085960988291e-12,-9.898568087892204e-11,-8.918257996122953e-11,-8.918257996122953e-11,-8.918257996122953e-11
EX_so4_e,0,0,0,0,0,9.185277625277737e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_spmd_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_mobd_e,0,0,0,0,0,-3.0617592084259124e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ni2_e,0,0,0,0,0,1.4851219579020014e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_na1_e,0,0,0,0,0,8.621979223949735e-34,2.848613510021843e-36,0.0,-1.1471778173177075e-34,0.0,0.0,0.0,0.0,0.0
EX_cynt_e,0,0,0,0,0,0.0,-2.256550487595046e-36,0.0,7.287954967629282e-37,0.0,0.0,0.0,0.0,0.0
EX_h_e,0,0,0,0,0,9.460567345690118,6.565932564882687e-23,8.999969131638741e-23,-1.1514061149492234e-56,0.0,0.0,0.0,0.0,0.0
EX_photon410_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_photon430_e,0,0,0,0,0,-8.00531394726075e-54,4.466139977686783e-23,2.7863162682759617e-23,6.020961678239285e-54,0.0,0.0,0.0,0.0,0.0
EX_photon450_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_photon470_e,0,0,0,0,0,-0.1963393923555949,-2.54507018680692,-0.6483815119511335,-1.0436868340305594,0.0,0.0,0.0,0.0,0.0
EX_photon490_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_photon510_e,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
