Gene Name	Accession-2	Left-End-Position	Right-End-Position	Product	Accession-1
CLJU_RS01450	CLJU_RS01450	300525	302369	CLJU_RS01450-MONOMER	CLJU_c02960
CLJU_RS13810	CLJU_RS13810	3090345	3091988	CLJU_RS13810-MONOMER	CLJU_c27960
CLJU_RS11390	CLJU_RS11390	2538779	2539345	CLJU_RS11390-MONOMER	CLJU_c23150
CLJU_RS05460	CLJU_RS05460	1215220	1215444	CLJU_RS05460-MONOMER	CLJU_c11140
CLJU_RS21760	CLJU_RS21760	3270081	3270212	CLJU_RS21760-MONOMER	
CLJU_RS14170	CLJU_RS14170	3176299	3178221	CLJU_RS14170-MONOMER	CLJU_c28720
CLJU_RS18955	CLJU_RS18955	4184105	4184425	CLJU_RS18955-MONOMER	CLJU_c38490
CLJU_RS04445	CLJU_RS04445	999041	999376	CLJU_RS04445-MONOMER	CLJU_c09020
CLJU_RS08560	CLJU_RS08560	1894046	1894621	CLJU_RS08560-MONOMER	CLJU_c17430
CLJU_RS06250	CLJU_RS06250	1373429	1374595	CLJU_RS06250-MONOMER	CLJU_c12740
CLJU_RS10385	CLJU_RS10385	2302005	2302463	CLJU_RS10385-MONOMER	CLJU_c21150
CLJU_RS16190	CLJU_RS16190	3591830	3592372	CLJU_RS16190-MONOMER	CLJU_c32850
CLJU_RS19135	CLJU_RS19135	4228249	4229514	CLJU_RS19135-MONOMER	CLJU_c38870
CLJU_RS02470	CLJU_RS02470	545909	546634	CLJU_RS02470-MONOMER	CLJU_c05040
CLJU_RS11615	CLJU_RS11615	2600024	2600302	CLJU_RS11615-MONOMER	CLJU_c23620
CLJU_RS17720	CLJU_RS17720	3921290	3921895	CLJU_RS17720-MONOMER	CLJU_c36020
CLJU_RS09360	CLJU_RS09360	2077354	2078223	CLJU_RS09360-MONOMER	CLJU_c19090
CLJU_RS10890	CLJU_RS10890	2421957	2422430	CLJU_RS10890-MONOMER	CLJU_c22190
CLJU_RS06445	CLJU_RS06445	1411788	1412057	CLJU_RS06445-MONOMER	CLJU_c13130
CLJU_RS07300	CLJU_RS07300	1610759	1611577	CLJU_RS07300-MONOMER	CLJU_c14900
CLJU_RS15670	CLJU_RS15670	3482122	3482916	CLJU_RS15670-MONOMER	CLJU_c31800
CLJU_RS00060	CLJU_RS00060	14599	15102	CLJU_RS00060-MONOMER	CLJU_c00120
CLJU_RS07585	CLJU_RS07585	1680061	1681002	CLJU_RS07585-MONOMER	CLJU_c15480
CLJU_RS20500	CLJU_RS20500	4502823	4502911	CLJU_RS20500-tRNA	CLJU_c41610
CLJU_RS12435	CLJU_RS12435	2799685	2800587	CLJU_RS12435-MONOMER	CLJU_c25240
CLJU_RS17580	CLJU_RS17580	3890759	3891511	CLJU_RS17580-MONOMER	CLJU_c35700
CLJU_RS11155	CLJU_RS11155	2485154	2486704	CLJU_RS11155-MONOMER	CLJU_c22670
CLJU_RS17900	CLJU_RS17900	3962579	3963499	CLJU_RS17900-MONOMER	CLJU_c36400
CLJU_RS07740	CLJU_RS07740	1718859	1719437	CLJU_RS07740-MONOMER	CLJU_c15790
CLJU_RS06610	CLJU_RS06610	1446300	1448300	CLJU_RS06610-MONOMER	CLJU_c13460
CLJU_RS00950	CLJU_RS00950	197885	198499	CLJU_RS00950-MONOMER	CLJU_c01950
CLJU_RS05965	CLJU_RS05965	1316393	1316644	CLJU_RS05965-MONOMER	CLJU_c12160
CLJU_RS03795	CLJU_RS03795	852527	853774	CLJU_RS03795-MONOMER	CLJU_c07710
CLJU_RS19910	CLJU_RS19910	4397107	4397301	CLJU_RS19910-MONOMER	CLJU_c40430
CLJU_RS09600	CLJU_RS09600	2122128	2123306	CLJU_RS09600-MONOMER	CLJU_c19590
CLJU_RS20645	CLJU_RS20645	4530282	4531385	CLJU_RS20645-MONOMER	CLJU_c41900
CLJU_RS07950	CLJU_RS07950	1765491	1766084	CLJU_RS07950-MONOMER	CLJU_c16220
CLJU_RS12325	CLJU_RS12325	2775653	2775922	CLJU_RS12325-MONOMER	CLJU_c25020
CLJU_RS08225	CLJU_RS08225	1816378	1816569	CLJU_RS08225-MONOMER	CLJU_c16760
CLJU_RS05915	CLJU_RS05915	1305640	1306521	CLJU_RS05915-MONOMER	CLJU_c12060
CLJU_RS02035	CLJU_RS02035	436581	437990	CLJU_RS02035-MONOMER	CLJU_c04170
CLJU_RS14640	CLJU_RS14640	3274203	3274847	CLJU_RS14640-MONOMER	CLJU_c29680
