Reaction	Metabolites	Stoichiometry
mod_acetyl_c	accoa_c	-1.0
mod_acetyl_c	coa_c	1.0
biotin_ligase	atp_c	-1.0
biotin_ligase	btn_c	-1.0
biotin_ligase	amp_c	1.0
biotin_ligase	ppi_c	1.0
lipoyl_scavenging	lipoate_c	-1.0
lipoyl_scavenging	atp_c	-1.0
lipoyl_scavenging	amp_c	1.0
lipoyl_scavenging	ppi_c	1.0
lipoyl_denovo	CLJU_RS06285-MONOMER_mod_pan4p(1)_mod_oc(1)	-1.0
lipoyl_denovo	CLJU_RS16370-MONOMER_mod_4fe4s(2)	-1.0
lipoyl_denovo	amet_c	-2.0
lipoyl_denovo	nad_c	-1.0
lipoyl_denovo	h_c	-1.0
lipoyl_denovo	CLJU_RS06285-MONOMER_mod_pan4p(1)	1.0
lipoyl_denovo	CLJU_RS16370-MONOMER_mod_2fe2s(1)_mod_4fe4s(1)	1.0
lipoyl_denovo	fe2_c	2.0
lipoyl_denovo	met__L_c	2.0
lipoyl_denovo	dad__5_c	2.0
lipoyl_denovo	nadh_c	1.0
citx_transfer_to_citd	2tpr3dpcoa	-1.0
citx_transfer_to_citd	ppi_c	1.0
gre_activation	CLJU_RS06875-MONOMER	-1.0
gre_activation	amet_c	-1.0
gre_activation	dad__2_c	1.0
gre_activation	CLJU_RS06875-MONOMER_mod_Oxidized(1)	1.0
gre_activation	met__L_c	1.0
acpP_activation	coa_c	-1.0
acpP_activation	pap_c	1.0
mod_2nd_pg160_p	pg160_p	-1.0
mod_2nd_pg160_p	2agpg160_p	1.0
mod_2nd_pe160_p	pe160_p	-1.0
mod_2nd_pe160_p	2agpe160_p	1.0
mod_1st_pe120_p	pe120_p	-1.0
mod_1st_pe120_p	g3p_c	1.0
mod_1st_pe140_p	pe140_p	-1.0
mod_1st_pe140_p	g3p_c	1.0
mod_1st_pe141_p	pe141_p	-1.0
mod_1st_pe141_p	g3p_c	1.0
mod_1st_pe160_p	pe160_p	-1.0
mod_1st_pe160_p	g3p_c	1.0
mod_1st_pe161_p	pe161_p	-1.0
mod_1st_pe161_p	g3p_c	1.0
mod_1st_pe180_p	pe180_p	-1.0
mod_1st_pe180_p	g3p_c	1.0
mod_1st_pe181_p	pe181_p	-1.0
mod_1st_pe181_p	g3p_c	1.0
mod_1st_pg120_p	pg120_p	-1.0
mod_1st_pg120_p	g3p_c	1.0
mod_1st_pg140_p	pg140_p	-1.0
mod_1st_pg140_p	g3p_c	1.0
mod_1st_pg141_p	pg141_p	-1.0
mod_1st_pg141_p	g3p_c	1.0
mod_1st_pg160_p	pg160_p	-1.0
mod_1st_pg160_p	g3p_c	1.0
mod_1st_pg161_p	pg161_p	-1.0
mod_1st_pg161_p	g3p_c	1.0
mod_1st_pg180_p	pg180_p	-1.0
mod_1st_pg180_p	g3p_c	1.0
mod_1st_pg181_p	pg181_p	-1.0
mod_1st_pg181_p	g3p_c	1.0
Y	asp__L_c	0.0
m7G,m5U,Gm,Cm,Um,m1G,m6A,m2A,m3Y,m5C,m2G,m3U,m4Cm,m62A,m1A	amet_c	-1.0
m7G,m5U,Gm,Cm,Um,m1G,m6A,m2A,m3Y,m5C,m2G,m3U,m4Cm,m62A,m1A	ahcys_c	1.0
m4Cm,m62A	amet_c	-2.0
m4Cm,m62A	ahcys_c	2.0
D	nadph_c	-1.0
D	h_c	-1.0
D	nadp_c	1.0
t6A	atp_c	-1.0
t6A	amp_c	1.0
t6A	ppi_c	1.0
t6A	hco3_c	-1.0
t6A	h_c	-1.0
t6A	thr__L_c	-1.0
t6A	h2o_c	1.0
m6t6A	atp_c	-1.0
m6t6A	amp_c	1.0
m6t6A	ppi_c	1.0
m6t6A	hco3_c	-1.0
m6t6A	h_c	-1.0
m6t6A	thr__L_c	-1.0
m6t6A	h2o_c	1.0
m6t6A	amet_c	-1.0
m6t6A	ahcys_c	1.0
i6A	dmpp_c	-1.0
i6A	ppi_c	1.0
acp3U	amet_c	-1.0
acp3U	5mta_c	1.0
Q	preq1_c	-1.0
Q	gua_c	1.0
Q	amet_c	-1.0
Q	ade_c	1.0
Q	met__L_c	1.0
Q	h2o_c	1.0
Q	generic_thioredoxin	-1.0
Q	generic_thioredoxin_mod_Oxidized(1)	1.0
cmo5U	amet_c	-2.0
cmo5U	ahcys_c	2.0
cmo5U	pphn_c	-1.0
cmo5U	h2o_c	1.0
cmo5U	phpyr_c	1.0
cmo5U	o2_c	-1.0
k2C	atp_c	-1.0
k2C	amp_c	1.0
k2C	ppi_c	1.0
k2C	lys__L_c	-1.0
I	h2o_c	-1.0
I	h_c	-1.0
