amino_acid	enzyme
ala__L_c	GMET_RS01010-MONOMER_mod_zn2(4)
arg__L_c	GMET_RS07225-MONOMER_mod_mg2(1)
asn__L_c	GMET_RS12145-MONOMER
asp__L_c	GMET_RS06835-MONOMER
cys__L_c	GMET_RS00285-MONOMER_mod_zn2(1)
gln__L_c	GMET_RS00290-MONOMER
glu__L_c	GMET_RS08735-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX2LZ9-24
his__L_c	GMET_RS09665-MONOMER_mod_mg2(4)
ile__L_c	GMET_RS01750-MONOMER_mod_zn2(2)
leu__L_c	GMET_RS11595-MONOMER
lys__L_c	GMET_RS11895-MONOMER
met__L_c	GMET_RS11700-MONOMER_mod_zn2(2)
phe__L_c	CPLX2LZ9-17_mod_mg2(1)
pro__L_c	GMET_RS06810-MONOMER
ser__L_c	GMET_RS17700-MONOMER_mod_mg2(1)
thr__L_c	GMET_RS07110-MONOMER_mod_zn2(1)
trp__L_c	GMET_RS09900-MONOMER_mod_mg2(1)
tyr__L_c	GMET_RS05925-MONOMER
val__L_c	GMET_RS04785-MONOMER_mod_mg2(1)
