Reaction,Complexes
26DPAi,G12WB-3133-MONOMER
2DHPFALDL,G12WB-1650-MONOMER_mod_mg2(1)
3A2OA,G12WB-2315-MONOMER_mod_pydx5p(1)
3MOPDC_2,G12WB-2137-MONOMER
4HALDD,G12WB-2361-MONOMER
4HBCOAH,G12WB-2493-MONOMER
6PHBG_2,G12WB-494-MONOMER OR G12WB-3042-MONOMER OR G12WB-3258-MONOMER OR G12WB-3287-MONOMER OR G12WB-3293-MONOMER
A24T,CPLX12WB-37
A4GA,G12WB-2687-MONOMER
A4HBCT,G12WB-2491-MONOMER
A4PA,G12WB-2687-MONOMER
A6PAG,G12WB-2391-MONOMER
A6PAG2,G12WB-2391-MONOMER
AAAN,CPLX12WB-76
AACT,G12WB-942-MONOMER
AB6PGH,CPLX_S6PG-0
ABG4t2,G12WB-2995-MONOMER OR G12WB-3262-MONOMER
ABTA,G12WB-2315-MONOMER_mod_pydx5p(1)
ABUTD,G12WB-2361-MONOMER
ACACCT,CPLX_BUTCT2-0
ACALD,G12WB-443-MONOMER OR G12WB-2061-MONOMER OR G12WB-3131-MONOMER_mod_fe2(1)
ACARP,G12WB-3613-MONOMER
ACBIPGT_2,G12WB-3615-MONOMER
ACCOAC,CPLX12WB-18_mod_btn(1)
ACCOAS,G12WB-1179-MONOMER OR G12WB-2827-MONOMER
ACGAMK,G12WB-1723-MONOMER
ACGApts,G12WB-3300-MONOMER
ACGK,G12WB-2180-MONOMER
ACGS_copy1,G12WB-2181-MONOMER
ACGS_copy2,G12WB-2181-MONOMER
ACHBS,G12WB-1704-MONOMER
ACKr,G12WB-1305-MONOMER_mod_mg2(1)
ACLS,G12WB-1704-MONOMER
ACM6PH,G12WB-3208-MONOMER
ACNAMt2,G12WB-2704-MONOMER
ACNML,G12WB-2395-MONOMER
ACNP,G12WB-2733-MONOMER OR G12WB-1313-MONOMER
ACOAD1fr,G12WB-1176-MONOMER OR G12WB-1175-MONOMER OR G12WB-1174-MONOMER
ACODA,G12WB-409-MONOMER_mod_zn2(1)
ACONTa,G12WB-943-MONOMER
ACONTb,G12WB-943-MONOMER
ACOTA,G12WB-2179-MONOMER_mod_pydx5p(1)
ACPPD,G12WB-1681-MONOMER
ACS,G12WB-2350-MONOMER
ACTD_1,G12WB-1313-MONOMER
ACTNabc,G12WB-2089-MONOMER
ADA,G12WB-1891-MONOMER OR G12WB-19-MONOMER_mod_zn2(2)
ADCL,G12WB-1357-MONOMER OR G12WB-1584-MONOMER_mod_pydx5p(1)
ADCPS1E,G12WB-3610-MONOMER
ADCS,CPLX12WB-16_mod_mg2(1)
ADCYRSE,G12WB-3612-MONOMER
ADD,G12WB-1964-MONOMER_mod_mn2(1)
ADK1,G12WB-148-MONOMER_mod_mg2(1)
ADMDC,G12WB-997-MONOMER
ADNUC,CPLX-9456_mod_ca2(1)
ADOCBIK,G12WB-3615-MONOMER
ADOCBLS1,G12WB-3614-MONOMER
ADOCBLS2_2,G12WB-3614-MONOMER
ADPGLC,G12WB-1911-MONOMER
ADPRDP,G12WB-1351-MONOMER
ADPT,G12WB-2903-MONOMER_mod_mg2(1) OR G12WB-2903-MONOMER_mod_mn2(1) OR G12WB-3698-MONOMER
ADSL1r,G12WB-1469-MONOMER
ADSL2r,G12WB-1469-MONOMER
ADSS,G12WB-3846-MONOMER_mod_mg2(1)
AEPPYRTA,CPLX_AEPPYRTA-0
AGDC,G12WB-1125-MONOMER_mod_zn2(1) OR G12WB-3632-MONOMER
AGMT,G12WB-999-MONOMER_mod_mn2(2)
AGPOP,G12WB-3568-MONOMER_mod_mg2(1)_mod_k(1) OR G12WB-3568-MONOMER_mod_mn2(1)_mod_k(1)
AGPR,G12WB-2182-MONOMER
AGTi,G12WB-1109-MONOMER OR G12WB-2687-MONOMER
AH5L,G12WB-3596-MONOMER_mod_zn2(1)
AHCYSNS,G12WB-2762-MONOMER
AHCi,G12WB-2762-MONOMER
AHSERL,CPLX_AHSERL-0
AHSERL2,G12WB-1969-MONOMER_mod_pydx5p(1)
AICART,G12WB-951-MONOMER
AIRCr,G12WB-321-MONOMER
AKGDH,CPLX_AKGDH-0
ALAALAD,G12WB-1765-MONOMER
ALAALAP,G12WB-2806-MONOMER
ALAALAr,G12WB-1546-MONOMER
ALAR,G12WB-2774-MONOMER OR G12WB-3643-MONOMER OR G12WB-2980-MONOMER OR G12WB-2176-MONOMER OR G12WB-559-MONOMER OR G12WB-1767-MONOMER
ALATA_D,G12WB-1953-MONOMER
ALATRS,G12WB-1416-MONOMER_mod_zn2(4)
ALAabc,G12WB-1922-MONOMER OR G12WB-1923-MONOMER OR G12WB-2329-MONOMER OR G12WB-864-MONOMER OR G12WB-863-MONOMER
ALAt4,G12WB-1838-MONOMER OR G12WB-2429-MONOMER OR G12WB-2573-MONOMER
ALCD19,G12WB-443-MONOMER OR G12WB-3131-MONOMER_mod_fe2(1) OR G12WB-3171-MONOMER
ALCD19y,G12WB-443-MONOMER OR G12WB-3131-MONOMER_mod_fe2(1) OR G12WB-3171-MONOMER
ALCD2x,G12WB-443-MONOMER OR G12WB-3171-MONOMER OR G12WB-3131-MONOMER_mod_fe2(1)
ALDD2x,G12WB-2361-MONOMER
ALMPC,G12WB-3597-MONOMER
ALPHNH,CPLX12WB-25
ALTRH,G12WB-3032-MONOMER OR G12WB-3167-MONOMER
AMANAPEr,G12WB-2396-MONOMER
AMANK,G12WB-2348-MONOMER
AMID_1,G12WB-2895-MONOMER
AMPTASECG,G12WB-818-MONOMER OR G12WB-1434-MONOMER_mod_zn2(1)
ANHMK,G12WB-3213-MONOMER_mod_mg2(1)
ANTDR,G12WB-192-MONOMER
AP3S,G12WB-3738-MONOMER
AP7MT,G12WB-3605-MONOMER
APCPT_1,G12WB-3741-MONOMER
APNPT,G12WB-3741-MONOMER
APRAUR,G12WB-1842-MONOMER
ARBTpts,CPLX_SALCpts-0
ARBt2r,G12WB-2704-MONOMER
ARGDC,G12WB-996-MONOMER_mod_pydx5p(1) OR G12WB-3732-MONOMER
ARGSL,G12WB-2654-MONOMER
ARGSS,G12WB-1932-MONOMER_mod_mg2(1)
ARGabc,G12WB-1922-MONOMER OR G12WB-1923-MONOMER OR G12WB-2329-MONOMER OR G12WB-864-MONOMER OR G12WB-863-MONOMER
ARNO,G12WB-1984-MONOMER
AROH,G12WB-1981-MONOMER
ASAD,G12WB-3391-MONOMER
ASLP,G12WB-2175-MONOMER_mod_mn2(1) OR G12WB-2175-MONOMER_mod_2fe2s(1)_mod_mn2(1) OR G12WB-2175-MONOMER_mod_4fe4s(1)_mod_mn2(1)
ASNN,G12WB-497-MONOMER OR G12WB-1771-MONOMER_mod_mg2(1) OR G12WB-1675-MONOMER
ASNS1,G12WB-497-MONOMER OR G12WB-1771-MONOMER_mod_mg2(1) OR G12WB-1675-MONOMER
