,value
CD630_00010,TU12WB-10
CD630_00020,TU12WB-11
CD630_00030,TU12WB-12
CD630_00040,TU12WB-12
CD630_00050,TU12WB-12
CD630_00060,TU12WB-12
CD630_00070,TU12WB-13
CD630_00080,TU12WB-13
CD630_00090,TU12WB-13
CD630_00100,TU12WB-13
CD630_00110,TU12WB-13
CD630_00120,TU12WB-15
CD630_00130,TU12WB-15
CD630_00140,TU12WB-16
CD630_00150,TU12WB-17
CD630_00160,TU12WB-18
CD630_00170,TU12WB-19
CD630_00180,TU12WB-19
CD630_00181,TU12WB-20
CD630_00190,TU12WB-2390
CD630_00200,TU12WB-22
CD630_00210,TU12WB-23
CD630_00220,TU12WB-24
CD630_00230,TU12WB-25
CD630_00240,TU12WB-25
CD630_00250,TU12WB-25
CD630_00260,TU12WB-25
CD630_00270,TU12WB-26
CD630_00280,TU12WB-26
CD630_00290,TU12WB-27
CD630_00300,TU12WB-28
CD630_00310,TU12WB-2389
CD630_00320,TU12WB-29
CD630_00330,TU12WB-29
CD630_00340,TU12WB-30
CD630_00350,TU12WB-31
CD630_00360,TU12WB-31
CD630_00370,TU12WB-31
CD630_00380,TU12WB-31
CD630_00390,TU12WB-31
CD630_00400,TU12WB-32
CD630_00410,TU12WB-33
CD630_00420,TU12WB-34
CD630_00430,TU12WB-35
CD630_00440,TU12WB-35
CD630_00450,TU12WB-36
CD630_00460,TU12WB-37
CD630_00470,TU12WB-38
CD630_00480,TU12WB-38
CD630_00490,TU12WB-39
CD630_00500,TU12WB-39
CD630_00510,TU12WB-39
CD630_00511,TU12WB-40
CD630_00520,TU12WB-41
CD630_00530,TU12WB-41
CD630_00540,TU12WB-42
CD630_00550,TU12WB-42
CD630_00560,TU12WB-42
CD630_00570,TU12WB-2391
CD630_00580,TU12WB-43
CD630_00581,TU12WB-44
CD630_00590,TU12WB-44
CD630_00600,TU12WB-44
CD630_00610,TU12WB-44
CD630_00620,TU12WB-45
CD630_00630,TU12WB-46
CD630_00640,TU12WB-47
CD630_00650,TU12WB-48
CD630_00660,TU12WB-49
CD630_00670,TU12WB-50
CD630_00680,TU12WB-51
CD630_00690,TU12WB-52
CD630_00700,TU12WB-53
CD630_00710,TU12WB-54
CD630_00720,TU12WB-55
CD630_00730,TU12WB-56
CD630_00740,TU12WB-56
