,value
CD630_00010,MONOMER
CD630_00020,MONOMER
CD630_00030,MONOMER
CD630_00040,MONOMER
CD630_00050,MONOMER
CD630_00060,MONOMER
CD630_00070,MONOMER
CD630_00080,MONOMER
CD630_00090,MONOMER
CD630_00100,MONOMER
CD630_00110,MONOMER
CD630_00120,MONOMER
CD630_00130,MONOMER
CD630_00140,MONOMER
CD630_00150,MONOMER
CD630_00160,MONOMER
CD630_00170,MONOMER
CD630_00180,MONOMER
CD630_00181,MONOMER
CD630_00190,MONOMER
CD630_00200,MONOMER
CD630_00210,MONOMER
CD630_00220,MONOMER
CD630_00230,MONOMER
CD630_00240,MONOMER
CD630_00250,MONOMER
CD630_00260,MONOMER
CD630_00270,MONOMER
CD630_00280,MONOMER
CD630_00290,MONOMER
CD630_00300,MONOMER
CD630_00310,MONOMER
CD630_00320,MONOMER
CD630_00330,MONOMER
CD630_00340,MONOMER
CD630_00350,MONOMER
CD630_00360,MONOMER
CD630_00370,MONOMER
CD630_00380,MONOMER
CD630_00390,MONOMER
CD630_00400,MONOMER
CD630_00410,MONOMER
CD630_00420,MONOMER
CD630_00430,MONOMER
CD630_00440,MONOMER
CD630_00450,MONOMER
CD630_00460,MONOMER
CD630_00470,MONOMER
CD630_00480,MONOMER
CD630_00490,MONOMER
CD630_00500,MONOMER
CD630_00510,MONOMER
CD630_00511,MONOMER
CD630_00520,MONOMER
CD630_00530,MONOMER
CD630_00540,MONOMER
CD630_00550,MONOMER
CD630_00560,MONOMER
CD630_00570,MONOMER
CD630_00580,MONOMER
CD630_00581,MONOMER
CD630_00590,MONOMER
CD630_00600,MONOMER
CD630_00610,MONOMER
CD630_00620,MONOMER
CD630_00630,MONOMER
CD630_00640,MONOMER
CD630_00650,MONOMER
CD630_00660,MONOMER
CD630_00670,MONOMER
CD630_00680,MONOMER
CD630_00690,MONOMER
CD630_00700,MONOMER
CD630_00710,MONOMER
CD630_00720,MONOMER
CD630_00730,MONOMER
CD630_00740,MONOMER
CD630_00750,MONOMER
CD630_00760,MONOMER
CD630_00770,MONOMER
CD630_00780,MONOMER
CD630_00790,MONOMER
CD630_00800,MONOMER
CD630_00801,MONOMER
CD630_00810,MONOMER
CD630_00820,MONOMER
CD630_00830,MONOMER
CD630_00840,MONOMER
CD630_00841,MONOMER
CD630_00850,MONOMER
CD630_00860,MONOMER
CD630_00870,MONOMER
CD630_00880,MONOMER
CD630_00881,MONOMER
CD630_00890,MONOMER
CD630_00900,MONOMER
CD630_00910,MONOMER
CD630_00920,MONOMER
CD630_00930,MONOMER
CD630_00940,MONOMER
CD630_00941,MONOMER
CD630_00950,MONOMER
CD630_00960,MONOMER
CD630_00970,MONOMER
CD630_00980,MONOMER
CD630_00990,MONOMER
CD630_01000,MONOMER
CD630_01010,MONOMER
CD630_01020,MONOMER
CD630_01030,MONOMER
CD630_01040,MONOMER
CD630_01050,MONOMER
CD630_01060,MONOMER
CD630_01070,MONOMER
CD630_01080,MONOMER
CD630_01090,MONOMER
CD630_01100,MONOMER
CD630_01110,MONOMER
CD630_01111,MONOMER
CD630_01120,MONOMER
CD630_01130,MONOMER
CD630_01140,MONOMER
CD630_01150,MONOMER
CD630_01160,MONOMER
CD630_01170,MONOMER
CD630_01180,MONOMER
CD630_01190,MONOMER
CD630_01200,MONOMER
CD630_01210,MONOMER
CD630_01220,MONOMER
CD630_01230,MONOMER
CD630_01240,MONOMER
CD630_01250,MONOMER
CD630_01260,MONOMER
CD630_01270,MONOMER
CD630_01280,MONOMER
CD630_01290,MONOMER
CD630_01300,MONOMER
CD630_01310,MONOMER
CD630_01320,MONOMER
CD630_01330,MONOMER
CD630_01340,MONOMER
CD630_01350,MONOMER
CD630_01360,MONOMER
CD630_01370,MONOMER
CD630_01380,MONOMER
CD630_01390,MONOMER
CD630_01400,MONOMER
CD630_01410,MONOMER
CD630_01420,MONOMER
CD630_01430,MONOMER
CD630_01440,MONOMER
CD630_01450,MONOMER
CD630_01460,MONOMER
CD630_01470,MONOMER
CD630_01480,MONOMER
CD630_01490,MONOMER
CD630_01500,MONOMER
CD630_01510,MONOMER
CD630_01520,MONOMER
CD630_01530,MONOMER
CD630_01540,MONOMER
CD630_01550,MONOMER
CD630_01560,MONOMER
CD630_01570,MONOMER
CD630_01590,MONOMER
CD630_01600,MONOMER
CD630_01610,MONOMER
CD630_01620,MONOMER
CD630_01630,MONOMER
CD630_01631,MONOMER
CD630_01632,MONOMER
CD630_01640,MONOMER
CD630_01650,MONOMER
CD630_01660,MONOMER
CD630_01670,MONOMER
CD630_01680,MONOMER
CD630_01690,MONOMER
CD630_01700,MONOMER
CD630_01710,MONOMER
CD630_01720,MONOMER
CD630_01721,MONOMER
CD630_01730,MONOMER
CD630_01740,MONOMER
CD630_01750,MONOMER
CD630_01760,MONOMER
