reaction	keff
HCO3E	65
CYTBD	65
NO3R2	65
PPA	65
PPK	65
GLUSy	65
UAGDP	65
NTRIR2x	65
UAG2EMA	65
G6PI	65
NTRIR2y	65
FBP	65
FBA	65
UAG2E	65
UACMAMO	65
UAGCVT	65
UAPGR	65
AHEXASE3	65
PPM	65
PMANM	65
FBA2	65
TPI	65
GAPD	65
ASPT	65
PGK	65
PGM	65
GLUSx_copy1	65
ENO	65
UAG4E	65
NPPDO	65
PPS	65
ACS	65
DAAD	65
CS	65
LDH_D	65
ALDD2x	65
PPAKr	65
ACCOAC	65
ALCD2x	65
ADSK	65
ACKr	65
SADT	65
MALS	65
LGTHL	65
ACONT	65
GDH1	65
AKGDa	65
PTAr	65
PTA2	65
PPC	65
ME1	65
ME2	65
ICDHyr	65
AKGDb	65
MDH	65
ACACT1r	65
GLUDy	65
LDH_L	65
SUCOAS	65
IPDPS	65
FUM	65
FRD2	65
FRD3	65
GLYOX	65
PAPSR	65
RPE	65
RPI	65
DMALRED	65
TKT1	65
MCOATA	65
TKT2	65
TALA	65
EDA	65
IPPS	65
GNK	65
SULR	65
EDD	65
ACOATA	65
UDPGD	65
FRUK	65
FCLPA	65
PEPCK_re	65
ICL	65
GALUi	65
UDPG4E	65
TRE6PS	65
TRE6PP	65
FDH	65
PGLYCP	65
TRSARr	65
GF6PTA	65
TARTRDH	65
RDXR	65
TARTRDH2	65
MALDDH	65
HPYRI	65
MCITS	65
MCITL2	65
ACLDC	65
PGAMT	65
G1PACT	65
GLUPRT	65
ETHAAL	65
PRPPS	65
PPCOAC	65
DMATT	65
SSALx	65
DXPS	65
HACD1	65
PPRGL	65
SSALy	65
DXPRIi	65
ABTA	65
PRFGS	65
GARFT	65
PRFGCL	65
MEPCT	65
PRASCSi	65
BDH	65
MECDPS	65
MECDPDH2	65
HBCO_nadp	65
GRTT	65
GLYCK	65
GLYK	65
BTDD_RR	65
AIRC1	65
ADSL1r	65
G3PD2	65
IMPC	65
ADSS	65
IMPD	65
G3PD5	65
ACTD	65
ACTDa	65
GK2	65
G3PD6	65
GMPS2	65
G3PD4	65
DGK1	65
ADA	65
NDPK4	65
OCOAT1	65
DAGK160	65
MMSAD3	65
NTD11	65
BPNT	65
NTD7	65
NDPK8	65
NDPK1	65
NDPK5	65
NDPK9	65
GPDDA2	65
GPDDA1	65
NDPK10	65
DASYN160	65
NDPK2	65
NDPK3	65
HXPRT	65
NDPK6	65
PSSA160	65
NTPP8	65
RNDR4	65
PSD160	65
GLUTRS	65
XPPT	65
NTD2	65
PGSA160	65
NTD4	65
NTD3	65
ADPT	65
NTPTP1	65
GTPDPK	65
PPGPPDP	65
DADK	65
NTD5	65
URIDK2r	65
CYTK1	65
ADK1	65
ADPRDP	65
AP4AH	65
UGLYCH	65
DCTPD	65
CYTK2	65
UPPRT	65
TRDR	65
RNDR2	65
RNDR3	65
RNDR1	65
PSUDS	65
UMPK	65
HACD9	65
DCTPD2	65
DUTPDP	65
PPPPH	65
HXAND	65
ACHBS	65
XAND	65
GUAD	65
GLNS	65
CBPS	65
GLNTRS	65
NTPP10	65
NTPP2	65
ASPO1	65
EHGLAT	65
ASNTRAT	65
GLUN	65
NTPP9	65
NTPP11	65
NTPP1	65
AIRCr	65
ASPCT	65
DHORD2	65
DHORD5	65
GLNTRAT	65
ASPTA	65
ASPTRS	65
ALATRS	65
ORPT	65
OMPDC	65
ASNN	65
SERHL	65
ASPR	65
ASPK	65
CTPS1	65
CTPS2	65
DTMPK	65
ASAD	65
CYSLYSL	65
HSK	65
THRS	65
PGCD	65
THRTRS	65
SERD_L	65
SERTRS	65
INDPYRD	65
34DHOXPEGOX	65
URCN	65
CYSTRS	65
IZPN	65
FUMAC	65
DABAAT	65
GLYTRS	65
SERD_D	65
BETALDHx	65
CYSTL	65
CYSDS	65
METS	65
METTRS	65
PPOR	65
FGLU	65
SERAT	65
HDC	65
FMETTRS	65
METAT	65
CYSDDS	65
CMHMI	65
CYTOM	65
SLCYSS	65
AHCYSNS	65
MACACI	65
CYSS	65
HPA3MO	65
HSERTA	65
SHSL2	65
LEUTA	65
ILETA	65
PHETA1	65
TYRTA	65
ILETA2	65
ALDD19xr	65
NBAH	65
PACCOAL	65
TRPTRS	65
AMID3	65
AMID2	65
LFORKYNHYD	65
KYN	65
HKYNH	65
DHQS	65
DDPA	65
SHK3Dr	65
DHQTi	65
SHKK	65
PPND	65
PSCVT	65
CHORS	65
ANPRT	65
ANS	65
PRAIi	65
IGPS	65
TRPS1	65
TRPS3	65
TYRTRS	65
AROH	65
TRPS2	65
CHORM	65
PHETRS	65
QUIDH	65
GLU5K	65
G5SD	65
ACGK	65
ACGS	65
P5CR	65
P5CRx	65
ORNTAC	65
AGPR	65
ACOTA	65
ASPO5	65
NMNHYD	65
ASPO6	65
4HTHRS	65
OHPBAT	65
DPR	65
NNDMBRT	65
E4PD	65
PERD	65
PDX5POi	65
PYAM5PO	65
QULNS	65
NNDPR	65
NAPRT	65
NNATr	65
NMNAT	65
NADS2	65
NNAM	65
NADK	65
THD2	65
ASPO2	65
ASPO2y	65
DNADDP	65
NADDP	65
MOHMT	65
PBAL	65
PNTK	65
APCPT	65
APNPT	65
PPNCL2	65
PPCDC	65
PTPATi	65
DPCOAK	65
AOXSr	65
AMAOTr	65
DBTS	65
BTS3r	65
BACCL	65
GTPCI	65
DNMPPA	65
DHNPA_1	65
ADCL	65
HPPK	65
ADCS	65
DHFS	65
DHFR	65
DHFR2i	65
PTHPS	65
AKP1	65
MTHFC	65
MTHFD	65
MTHFC_1	65
MTHFR3	65
SELCYSTL	65
SELADT	65
GLNSP3	65
SELMETAT	65
OCBT	65
MTAN	65
ACSERL	65
AMID	65
ARGSS	65
ARGSL	65
AMPTASECG	65
AABHH	65
UREA	65
ALPHNH	65
APATr	65
ASP1DC	65
TAUDO	65
AEPPYRTA	65
PALDH	65
SEAHCYSHYD_1	65
SELCYSLY3	65
ALAALAr	65
GLUR	65
ALAR	65
GTHRDH_syn	65
GTHPi	65
GLUCYS	65
GTHS	65
UHGADA	65
LPADSS	65
TDSK	65
MOAT	65
MOAT2	65
KDOPS	65
KDOPP	65
KDOCT2	65
UAMAS	65
UAMAGS	65
UAAGDS	65
UGMDDS	65
PAPPT3	65
UAGPT3	65
UDCPDP	65
PMPK	65
HMPK1	65
TMPPP	65
TMPK	65
HETZK	65
TMN	65
TDP	65
APRAUR	65
RBFSa	65
DHPPDA	65
DB4PS	65
RBFSb	65
RBFK	65
FMNAT	65
A5PISO	65
TMDS	65
MTHFR2	65
FTHFD	65
GLUTRR	65
G1SAT	65
PPBNGS	65
HMBS	65
UPP3S	65
UPP3MT	65
UPPDC2	65
UPPDC1	65
CPPPGO	65
