id	me_id	name	formula	compartment	type
2fe1s_c					REMOVE
3haACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ha(1)				REPLACE
3hcddec5eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)				REPLACE
3hcmrs7eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)				REPLACE
3hcpalm9eACP_c					CURATE
3hcvac11eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)				REPLACE
3hddecACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hddec(1)				REPLACE
3hdecACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hdec(1)				REPLACE
3hhexACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hhex(1)				REPLACE
3hmrsACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hmrs(1)				REPLACE
3hoctACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hoct(1)				REPLACE
3hoctaACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hocta(1)				REPLACE
3hpalmACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3hpalm(1)				REPLACE
3ocddec5eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)				REPLACE
3ocmrs7eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)				REPLACE
3ocpalm9eACP_c					CURATE
3ocvac11eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)				REPLACE
3oddecACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3oddec(1)				REPLACE
3odecACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3odec(1)				REPLACE
3ohexACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ohex(1)				REPLACE
3omrsACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3omrs(1)				REPLACE
3ooctACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ooct(1)				REPLACE
3ooctdACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3ooctd(1)				REPLACE
3opalmACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_3opalm(1)				REPLACE
ACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)				REPLACE
LI_c					CURATE
acACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_ac(1)				REPLACE
actACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_act(1)				REPLACE
alatrna_c					REMOVE
alpp_p					CURATE
apoACP_c	ALW85_RS08605-MONOMER				REPLACE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
but2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_but2e(1)				REPLACE
butACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_but(1)				REPLACE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cddec5eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_cddec5e(1)				REPLACE
cdec3eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_cdec3e(1)				REPLACE
cystrna_c					REMOVE
dcaACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_dca(1)				REPLACE
ddcaACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_ddca(1)				REPLACE
dsbaox_p					CURATE
dsbard_p					CURATE
dsbcox_p	ALW85_RS07900-MONOMER_mod_Oxidized(1)				REPLACE
dsbcrd_p	ALW85_RS07900-MONOMER				REPLACE
dsbdox_c	ALW85_RS12450-MONOMER_mod_Oxidized(1)				REPLACE
dsbdrd_c	ALW85_RS12450-MONOMER				REPLACE
dsbgox_p					CURATE
dsbgrd_p					CURATE
egmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_egme(1)				REPLACE
epmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_epme(1)				REPLACE
fldox_c					CURATE
fldrd_c					CURATE
flxr_c					CURATE
flxso_c					CURATE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
gmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_gme(1)				REPLACE
grxox_c					CURATE
grxrd_c					CURATE
hdeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_hde(1)				REPLACE
hexACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_hex(1)				REPLACE
hgmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_hgme(1)				REPLACE
histrna_c					REMOVE
hpmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_hpme(1)				REPLACE
iletrna_c					REMOVE
iscs_c	ALW85_RS00905-MONOMER_mod_pydx5p(2)				REPLACE
iscssh_c					CURATE
iscu_2fe2s_c					CURATE
iscu_4fe4s_c					CURATE
iscu_c	ALW85_RS07565-MONOMER				REPLACE
leutrna_c					REMOVE
lipopb_c					REMOVE
lpp_p					CURATE
lystrna_c					REMOVE
malACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_mal(1)				REPLACE
mettrna_c					REMOVE
moadamp_c					CURATE
moadcoo_c					CURATE
moadcosh_c					CURATE
myrsACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_myrs(1)				REPLACE
ocACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_oc(1)				REPLACE
ocdcaACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_ocdca(1)				REPLACE
octapb_c					REMOVE
octeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_octe(1)				REPLACE
ogmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_ogme(1)				REPLACE
opmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_opme(1)				REPLACE
palmACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_palm(1)				REPLACE
phetrna_c					REMOVE
pimACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_pim(1)				REPLACE
pmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_pme(1)				REPLACE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
sertrna_sec_c					CURATE
sufbcd_2fe2s2_c					CURATE
sufbcd_2fe2s_c					CURATE
sufbcd_4fe4s_c					CURATE
sufbcd_c	CPLX_S4FE4SR-0				REPLACE
sufse_c					CURATE
sufsesh_c					CURATE
t3c11vaceACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)				REPLACE
t3c5ddeceACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)				REPLACE
t3c7mrseACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)				REPLACE
t3c9palmeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)				REPLACE
tddec2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_tddec2e(1)				REPLACE
tdeACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_tde(1)				REPLACE
tdec2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_tdec2e(1)				REPLACE
thex2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_thex2e(1)				REPLACE
thrtrna_c					REMOVE
tmrs2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)				REPLACE
toct2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_toct2e(1)				REPLACE
toctd2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_toctd2e(1)				REPLACE
tpalm2eACP_c	ALW85_RS08605-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)				REPLACE
trdox_c	ALW85_RS05390-MONOMER_mod_Oxidized(1)				REPLACE
trdrd_c	ALW85_RS05390-MONOMER				REPLACE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
