amino_acid	enzyme
ala__L_c	ALW85_RS10050-MONOMER_mod_zn2(4)
arg__L_c	ALW85_RS01920-MONOMER_mod_mg2(1)
asn__L_c	CPLX_dummy
asp__L_c	ALW85_RS11765-MONOMER
cys__L_c	ALW85_RS00235-MONOMER_mod_zn2(1)
gln__L_c	generic_gln_ligase
glu__L_c	ALW85_RS08480-MONOMER_mod_mg2(1)_mod_zn2(1)
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	ALW85_RS00785-MONOMER_mod_mg2(4)
ile__L_c	ALW85_RS05955-MONOMER_mod_zn2(2)
leu__L_c	ALW85_RS05905-MONOMER
lys__L_c	ALW85_RS12280-MONOMER_mod_mg2(6)
met__L_c	ALW85_RS03280-MONOMER_mod_zn2(2)
phe__L_c	CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
pro__L_c	ALW85_RS06860-MONOMER
ser__L_c	ALW85_RS00935-MONOMER_mod_mg2(1)
thr__L_c	ALW85_RS05010-MONOMER
trp__L_c	ALW85_RS08990-MONOMER_mod_mg2(1)
tyr__L_c	ALW85_RS07490-MONOMER
val__L_c	ALW85_RS02345-MONOMER_mod_mg2(1)
