complex_id,name,genes,mod,replace
CPLX_ASNTRAT,Aspartyl-tRNA(Asn) amidotransferase,TM1272() AND TM1273() AND TM0252(),,
SufBCD,SufBC2D Fe-S cluster scaffold complex,TM1369(1) AND TM1368(2) AND TM1416(1),,
SufBCD,,,2fe1s(1),
SufBCD,,,2fe2s(1) AND 2fe1s(1),
SufBCD,,,2fe2s(2),
SufBCD,,,2fe2s(1) AND fe2(2),
SufBCD,,,4fe4s(1),
SufBCD,,,2fe2s(1) AND fe2(1),
SufBCD,,,fe2(1),

SufSU,L-cysteine desulfurase,TM1371(2) AND TM1372(2),,
SufSU,,,pydx5p(1),
SufSU,,,pydx5p(1) AND SH(1),

# Ligases
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,TM0217(2) AND TM0216(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,TM0822(2) AND TM0821(2),,

# From coralME
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,TM0716() AND TM0717(),,
CPLX_ALCD19-0,Alcohol dehydrogenase (glycerol),TM0111() AND TM0920(),,
CPLX_ACLS-0,Acetolactate synthase,TM0549(2) AND TM0548(2),,
CPLX_ATPS1-0,H+-exporting ATPase,TM1612() AND TM1616() AND TM1609() AND TM1610() AND TM1615() AND TM1614() AND TM1611() AND TM1613(),,
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),TM0558(2) AND TM0557(2),,
CPLX_CEL6abc-0,Oligo-cellulose (6) transport via ABC system,TM1226() AND TM1222() AND TM1221() AND TM1220() AND TM1219(),,
CPLX_CELLBabc-0,Cellobiose transport via ATP transporter,TM0031() AND TM0030() AND TM0029() AND TM0028() AND TM0027(),,
CPLX_CELLBabc-1,Cellobiose transport via ATP transporter,TM1223() AND TM1222() AND TM1221() AND TM1220() AND TM1219(),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,TM0446() AND TM0447(),,
CPLX_ALAabc-0,L-alanine transport via ABC system,TM1135(1) AND TM1137(1) AND TM1136(1) AND TM1139(1) AND TM1138(1),,
CPLX_DDPGA-0,2-dehydro-3-deoxy-phosphogluconate aldolase,TM0128() AND TM0880(),,
CPLX_DHORD_NAD-0,Dihydoorotic acid dehydrogenase,TM0333() AND TM0334(),,
CPLX_AMYe-0,"Starch hydrolysis by alpha-1,4-amylase and alpha-1,6 pullulanase",TM1840() AND TM1845(),,
CPLX_FE3abc-0,Iron (III) transport via ABC system,TM0191() AND TM0189() AND TM0190(),,
CPLX_FE3abc-1,Iron (III) transport via ABC system,TM0078() AND TM0080() AND TM0079(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,TM1042() AND TM1043(),,
CPLX_FUM-0,Fumarase,TM0540() AND TM0541(),,
CPLX_GLCMAN4-0,Hydrolysis of glucomannan,TM1751() AND TM1752() AND TM1624(),,
CPLX_GLCMAN6abc-0,Glucomannan transport via ABC system,TM1746() AND TM1747() AND TM1748() AND TM1749() AND TM1750(),,
CPLX_GALMAN4-0,Hydrolysis of galactomannan,TM1751() AND TM1752() AND TM1192() AND TM1624(),,
CPLX_GALabc-0,D-galactose transport via ABC system,TM1204() AND TM1203() AND TM1202(),,
CPLX_GLUCAN2abc-0,Glucan transport via ATP transporter,TM0300() AND TM0301() AND TM0302() AND TM0303() AND TM0304(),,
CPLX_GLUSy-0,Glutamate synthase (NADPH),TM0397() AND TM1217(),,
CPLX_GLUSy-1,Glutamate synthase (NADPH),TM0397() AND TM1640(),,
CPLX_GLYC3Pabc-0,Sn-Glycerol 3-phosphate transport via ABC system,TM1121() AND TM1120() AND TM1122(),,
CPLX_MALTTRabc-0,Maltotriose transport via ABC system,TM1839() AND TM1837() AND TM1836(),,
CPLX_HCO3abc-0,Bicarbonate transport via ABC,TM0202() AND TM0204() AND TM0203(),,
CPLX_HYDFDN-0,,TM1426() AND TM1425() AND TM1424(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,TM1036(1) AND TM1038(1),,
CPLX_INSTabc-0,Inositol transport in via ABC transport,TM0418() AND TM0419() AND TM0420() AND TM0421(),,
CPLX_OOR2r-0,2-ketoglutarate ferredoxin oxidoreductase,TM1164() AND TM1165(),,
CPLX_OOR2r-1,2-ketoglutarate ferredoxin oxidoreductase,TM0405() AND TM0406(),,
CPLX_NOX-0,NADH oxidase,TM1432() AND TM1433(),,
