bnum	position	modification
TM_t45	58	m1A
TM_t45	54	s2T
TM_t45	55	Y
TM_t45	8	s4U
TM_t45	19	D
TM_t45	21	D
TM_t13	58	m1A
TM_t13	54	s2T
TM_t13	55	Y
TM_t13	8	s4U
TM_t13	46	m7G
TM_t13	16	D
TM_t13	18	D
TM_t14	58	m1A
TM_t14	54	s2T
TM_t14	55	Y
TM_t14	8	s4U
TM_t14	34	k2C
TM_t14	46	m7G
TM_t14	16	D
TM_t14	17	D
TM_t14	37	t6A
TM_t29	58	m1A
TM_t29	54	s2T
TM_t29	55	Y
TM_t29	8	s4U
TM_t29	46	m7G
TM_t29	39	Y
TM_t29	37	t6A
TM_t16	37	ms2i6A
TM_t16	58	m1A
TM_t16	54	s2T
TM_t16	55	Y
TM_t16	8	s4U
TM_t16	34	Q
TM_t16	16	D
TM_t16	39	Y
TM_t43	58	m1A
TM_t43	54	s2T
TM_t43	55	Y
TM_t43	37	m1G
TM_t43	8	s4U
TM_t43	46	m7G
TM_t43	17	D
TM_t43	21	D
TM_t01	58	m1A
TM_t01	54	s2T
TM_t01	55	Y
TM_t01	37	m1G
TM_t01	8	s4U
TM_t01	46	m7G
TM_t01	17	D
TM_t01	21	D
TM_t33	58	m1A
TM_t33	54	s2T
TM_t33	55	Y
TM_t33	8	s4U
TM_t33	46	m7G
TM_t33	16	D
TM_t27	58	m1A
TM_t27	54	s2T
TM_t27	55	Y
TM_t27	8	s4U
TM_t27	34	Q
TM_t27	46	m7G
TM_t27	20	D
TM_t27	37	t6A
TM_t30	58	m1A
TM_t30	54	s2T
TM_t30	55	Y
TM_t30	8	s4U
TM_t30	46	m7G
TM_t30	17	D
TM_t30	20	D
TM_t20	58	m1A
TM_t20	54	s2T
TM_t20	55	Y
TM_t20	17	D
TM_t20	39	Y
TM_t26	37	ms2i6A
TM_t26	58	m1A
TM_t26	54	s2T
TM_t26	55	Y
TM_t26	16	D
TM_t26	39	Y
TM_t21	58	m1A
TM_t21	54	s2T
TM_t21	55	Y
TM_t21	34	cmnm5s2U
TM_t21	46	m7G
TM_t21	39	Y
TM_t21	37	t6A
TM_t35	58	m1A
TM_t35	54	s2T
TM_t35	55	Y
TM_t35	8	s4U
TM_t35	46	m7G
TM_t38	37	ms2i6A
TM_t38	58	m1A
TM_t38	54	s2T
TM_t38	55	Y
TM_t38	8	s4U
TM_t38	46	m7G
TM_t38	16	D
TM_t38	17	D
TM_t38	20	D
TM_t38	39	Y
TM_t10	58	m1A
TM_t10	54	s2T
TM_t10	55	Y
TM_t10	37	m1G
TM_t10	8	s4U
TM_t10	46	m7G
TM_t10	16	D
TM_t10	17	D
TM_t10	21	D
TM_t10	39	Y
TM_t34	58	m1A
TM_t34	54	s2T
TM_t34	55	Y
TM_t34	17	D
TM_t23	58	m1A
TM_t23	54	s2T
TM_t23	55	Y
TM_t23	8	s4U
TM_t23	19	D
TM_t23	39	Y
TM_t31	37	ms2i6A
TM_t31	58	m1A
TM_t31	54	s2T
TM_t31	55	Y
TM_t31	16	D
TM_t31	17	D
TM_t31	39	Y
TM_t41	58	m1A
TM_t41	54	s2T
TM_t41	55	Y
TM_t41	46	m7G
TM_t41	20	D
TM_t41	39	Y
TM_t41	37	t6A
TM_t32	37	ms2i6A
TM_t32	58	m1A
