Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
FY484_RS08410-MONOMER	Membrane	VC_1674()	Membrane	s
FY484_RS11785-MONOMER	Inner_Membrane	arcB()	Inner_Membrane	s
FY484_RS04405-MONOMER	Outer_Membrane	bamE()	Outer_Membrane	s
FY484_RS13785-MONOMER	Inner_Membrane	atpG()	Inner_Membrane	s
FY484_RS08240-MONOMER	Inner_Membrane	VC_1639()	Inner_Membrane	s
FY484_RS02175-MONOMER	Membrane	mshA()	Membrane	s
FY484_RS08155-MONOMER	Outer_Membrane	VC_1622()	Outer_Membrane	s
FY484_RS02095-MONOMER	Membrane	VC_0393()	Membrane	s
FY484_RS11545-MONOMER	Membrane	VC_2314()	Membrane	s
FY484_RS13470-MONOMER	Inner_Membrane	envZ()	Inner_Membrane	s
FY484_RS17390-MONOMER	Inner_Membrane	napC()	Inner_Membrane	s
FY484_RS17765-MONOMER	Inner_Membrane	artM()	Inner_Membrane	s
FY484_RS11445-MONOMER	Inner_Membrane	nqrD()	Inner_Membrane	s
FY484_RS04040-MONOMER	Periplasm	viuP()	Periplasm	s
FY484_RS05935-MONOMER	Inner_Membrane	VC_1168()	Inner_Membrane	s
FY484_RS07880-MONOMER	Inner_Membrane	VC_1570()	Inner_Membrane	s
FY484_RS03875-MONOMER	Inner_Membrane	secD()	Inner_Membrane	s
FY484_RS05855-MONOMER	Inner_Membrane	VC_1151()	Inner_Membrane	s
FY484_RS07800-MONOMER	Inner_Membrane	ugpE()	Inner_Membrane	s
FY484_RS17505-MONOMER	Membrane	VC_A0705()	Membrane	s
FY484_RS03790-MONOMER	Inner_Membrane	ppx()	Inner_Membrane	s
FY484_RS17425-MONOMER	Inner_Membrane	VC_A0686()	Inner_Membrane	s
FY484_RS09670-MONOMER	Membrane	VC_1935()	Membrane	s
FY484_RS19355-MONOMER	Periplasm	nikA()	Periplasm	s
FY484_RS03685-MONOMER	Inner_Membrane	mbaA()	Inner_Membrane	s
FY484_RS01485-MONOMER	Inner_Membrane	VC_0286()	Inner_Membrane	s
FY484_RS12980-MONOMER	Inner_Membrane	kefG()	Inner_Membrane	s
FY484_RS07555-MONOMER	Membrane	VC_1501()	Membrane	s
FY484_RS19195-MONOMER	Inner_Membrane	potE()	Inner_Membrane	s
FY484_RS13930-MONOMER	Membrane	vasX()	Membrane	s
FY484_RS14895-MONOMER	Periplasm	VC_A0227()	Periplasm	s
FY484_RS09420-MONOMER	Inner_Membrane	lolE()	Inner_Membrane	s
FY484_RS10800-MONOMER	Inner_Membrane	VC_2171()	Inner_Membrane	s
FY484_RS05440-MONOMER	Membrane	VC_1066()	Membrane	s
FY484_RS09340-MONOMER	Membrane	VC_1865()	Membrane	s
FY484_RS01130-MONOMER	Inner_Membrane	lpxL()	Inner_Membrane	s
FY484_RS03260-MONOMER	Inner_Membrane	VC_0617()	Inner_Membrane	s
FY484_RS05265-MONOMER	Inner_Membrane	VC_1033()	Inner_Membrane	s
FY484_RS14635-MONOMER	Membrane	VC_A0172()	Membrane	s
FY484_RS16915-MONOMER	Periplasm	VC_A0578()	Periplasm	s
FY484_RS05165-MONOMER	Inner_Membrane	VC_1012()	Inner_Membrane	s
FY484_RS14555-MONOMER	Inner_Membrane	mrpE()	Inner_Membrane	s
FY484_RS00850-MONOMER	Inner_Membrane	vexB()	Inner_Membrane	s
FY484_RS05000-MONOMER	Inner_Membrane	VC_0976()	Inner_Membrane	s
FY484_RS16665-MONOMER	Inner_Membrane	VC_A0524()	Inner_Membrane	s
FY484_RS08910-MONOMER	Inner_Membrane	siaQ()	Inner_Membrane	s
FY484_RS04910-MONOMER	Inner_Membrane	corC()	Inner_Membrane	s
FY484_RS02805-MONOMER	Inner_Membrane	uppP()	Inner_Membrane	s
FY484_RS10135-MONOMER	Inner_Membrane	rne()	Inner_Membrane	s
FY484_RS06705-MONOMER	Periplasm	mglB()	Periplasm	s
FY484_RS00460-MONOMER	Inner_Membrane	tatA()	Inner_Membrane	s
FY484_RS10045-MONOMER	Inner_Membrane	ptsG()	Inner_Membrane	s
FY484_RS12025-MONOMER	Inner_Membrane	dsbC()	Inner_Membrane	s
FY484_RS04650-MONOMER	Inner_Membrane	VC_0906()	Inner_Membrane	s
FY484_RS14035-MONOMER	Inner_Membrane	gltS()	Inner_Membrane	s
FY484_RS00375-MONOMER	Inner_Membrane	VC_0069()	Inner_Membrane	s
