amino_acid	enzyme
ala__L_c	generic_ala_ligase
arg__L_c	generic_arg_ligase
asn__L_c	generic_asn_ligase
asp__L_c	generic_asp_ligase
cys__L_c	generic_cys_ligase
gln__L_c	generic_gln_ligase
glu__L_c	generic_glu_ligase
gly_c	CPLX2G6Z-31
his__L_c	generic_his_ligase
ile__L_c	generic_ile_ligase
leu__L_c	generic_leu_ligase
lys__L_c	FY484_RS03510-MONOMER
met__L_c	generic_met_ligase
phe__L_c	CPLX2G6Z-11
pro__L_c	FY484_RS04510-MONOMER
ser__L_c	generic_ser_ligase
thr__L_c	generic_thr_ligase
trp__L_c	generic_trp_ligase
tyr__L_c	generic_tyr_ligase
val__L_c	FY484_RS12470-MONOMER
