bnum	position	modification
VC_r001	1518	m62A
VC_r001	1519	m62A
VC_r004	1518	m62A
VC_r004	1519	m62A
VC_r007	1518	m62A
VC_r007	1519	m62A
VC_r010	1518	m62A
VC_r010	1519	m62A
VC_r013	1518	m62A
VC_r013	1519	m62A
VC_r018	1518	m62A
VC_r018	1519	m62A
VC_r021	1518	m62A
VC_r021	1519	m62A
VC_r024	1518	m62A
VC_r024	1519	m62A
VC_r001	967	m5C
VC_r004	967	m5C
VC_r007	967	m5C
VC_r010	967	m5C
VC_r013	967	m5C
VC_r018	967	m5C
VC_r021	967	m5C
VC_r024	967	m5C
VC_r001	966	m2G
VC_r004	966	m2G
VC_r007	966	m2G
VC_r010	966	m2G
VC_r013	966	m2G
VC_r018	966	m2G
VC_r021	966	m2G
VC_r024	966	m2G
VC_r001	1498	m3U
VC_r004	1498	m3U
VC_r007	1498	m3U
VC_r010	1498	m3U
VC_r013	1498	m3U
VC_r018	1498	m3U
VC_r021	1498	m3U
VC_r024	1498	m3U
VC_r001	527	m7G
VC_r004	527	m7G
VC_r007	527	m7G
VC_r010	527	m7G
VC_r013	527	m7G
VC_r018	527	m7G
VC_r021	527	m7G
VC_r024	527	m7G
VC_r001	1402	m4Cm
VC_r004	1402	m4Cm
VC_r007	1402	m4Cm
VC_r010	1402	m4Cm
VC_r013	1402	m4Cm
VC_r018	1402	m4Cm
VC_r021	1402	m4Cm
VC_r024	1402	m4Cm
VC_r001	516	Y
VC_r004	516	Y
VC_r007	516	Y
VC_r010	516	Y
VC_r013	516	Y
VC_r018	516	Y
VC_r021	516	Y
VC_r024	516	Y
VC_r002	2503	m2A
VC_r005	2503	m2A
VC_r008	2503	m2A
VC_r011	2503	m2A
VC_r014	2503	m2A
VC_r017	2503	m2A
VC_r020	2503	m2A
VC_r023	2503	m2A
VC_r002	2251	Gm
VC_r005	2251	Gm
VC_r008	2251	Gm
VC_r011	2251	Gm
VC_r014	2251	Gm
VC_r017	2251	Gm
VC_r020	2251	Gm
VC_r023	2251	Gm
VC_r002	1939	m5U
VC_r005	1939	m5U
VC_r008	1939	m5U
VC_r011	1939	m5U
VC_r014	1939	m5U
VC_r017	1939	m5U
VC_r020	1939	m5U
VC_r023	1939	m5U
VC_r002	745	m1G
VC_r005	745	m1G
VC_r008	745	m1G
VC_r011	745	m1G
VC_r014	745	m1G
VC_r017	745	m1G
VC_r020	745	m1G
VC_r023	745	m1G
VC_r002	1835	m2G
VC_r005	1835	m2G
VC_r008	1835	m2G
VC_r011	1835	m2G
VC_r014	1835	m2G
VC_r017	1835	m2G
VC_r020	1835	m2G
VC_r023	1835	m2G
VC_r002	1962	m5C
VC_r005	1962	m5C
VC_r008	1962	m5C
VC_r011	1962	m5C
VC_r014	1962	m5C
VC_r017	1962	m5C
VC_r020	1962	m5C
VC_r023	1962	m5C
VC_r002	1618	m6A
VC_r005	1618	m6A
VC_r008	1618	m6A
VC_r011	1618	m6A
VC_r014	1618	m6A
VC_r017	1618	m6A
VC_r020	1618	m6A
VC_r023	1618	m6A
VC_r002	2069	m7G
VC_r005	2069	m7G
VC_r008	2069	m7G
VC_r011	2069	m7G
VC_r014	2069	m7G
VC_r017	2069	m7G
VC_r020	2069	m7G
VC_r023	2069	m7G
VC_r002	2552	Um
VC_r005	2552	Um
VC_r008	2552	Um
VC_r011	2552	Um
VC_r014	2552	Um
VC_r017	2552	Um
VC_r020	2552	Um
VC_r023	2552	Um
VC_r002	1911	Y
VC_r002	1915	Y
VC_r002	1917	Y
VC_r005	1911	Y
VC_r005	1915	Y
VC_r005	1917	Y
VC_r008	1911	Y
VC_r008	1915	Y
VC_r008	1917	Y
VC_r011	1911	Y
VC_r011	1915	Y
VC_r011	1917	Y
VC_r014	1911	Y
VC_r014	1915	Y
VC_r014	1917	Y
VC_r017	1911	Y
VC_r017	1915	Y
VC_r017	1917	Y
VC_r020	1911	Y
VC_r020	1915	Y
VC_r020	1917	Y
VC_r023	1911	Y
VC_r023	1915	Y
VC_r023	1917	Y
