Modified_enzyme,Core_enzyme,Modifications,Source
CPLX2G6Z-10_mod_zn2(1)_mod_mg2(2),CPLX2G6Z-10,zn2(1) AND mg2(2),RNA_Polymerase
FY484_RS13060-MONOMER_mod_mg2(1)_mod_cl(1),FY484_RS13060-MONOMER,mg2(1) AND cl(1),Homology
FY484_RS14975-MONOMER_mod_zn2(1),FY484_RS14975-MONOMER,zn2(1),Homology
FY484_RS12275-MONOMER_mod_fad(1),FY484_RS12275-MONOMER,fad(1),Homology
FY484_RS08570-MONOMER_mod_zn2(1),FY484_RS08570-MONOMER,zn2(1),Homology
FY484_RS11935-MONOMER_mod_mg2(1),FY484_RS11935-MONOMER,mg2(1),Homology
FY484_RS02450-MONOMER_mod_mg2(1),FY484_RS02450-MONOMER,mg2(1),Homology
FY484_RS04485-MONOMER_mod_mg2(1),FY484_RS04485-MONOMER,mg2(1),Homology
FY484_RS02080-MONOMER_mod_zn2(1)_mod_cbl1(1),FY484_RS02080-MONOMER,zn2(1) AND cbl1(1),Homology
FY484_RS13455-MONOMER_mod_mn2(1),FY484_RS13455-MONOMER,mn2(1),Homology
CPLX2G6Z-3_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1),CPLX2G6Z-3,4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1),Homology
FY484_RS11270-MONOMER_mod_mg2(1)_mod_k(1),FY484_RS11270-MONOMER,mg2(1) AND k(1),Homology
FY484_RS03590-MONOMER_mod_zn2(2),FY484_RS03590-MONOMER,zn2(2),Homology
CPLX2G6Z-33_mod_mg2(1),CPLX2G6Z-33,mg2(1),Homology
CPLX2G6Z-33_mod_mn2(1),CPLX2G6Z-33,mn2(1),Homology
CPLX2G6Z-33_mod_cobalt2(1),CPLX2G6Z-33,cobalt2(1),Homology
CPLX2G6Z-33_mod_cd2(1),CPLX2G6Z-33,cd2(1),Homology
CPLX2G6Z-33_mod_zn2(1),CPLX2G6Z-33,zn2(1),Homology
FY484_RS03510-MONOMER_mod_mg2(6),FY484_RS03510-MONOMER,mg2(6),Homology
FY484_RS03510-MONOMER_mod_lys__L(1),FY484_RS03510-MONOMER,lys__L(1),Homology
FY484_RS01115-MONOMER_mod_mg2(1),FY484_RS01115-MONOMER,mg2(1),Homology
FY484_RS12175-MONOMER_mod_mg2(1),FY484_RS12175-MONOMER,mg2(1),Homology
FY484_RS04470-MONOMER_mod_zn2(2),FY484_RS04470-MONOMER,zn2(2),Homology
FY484_RS11335-MONOMER_mod_mg2(1),FY484_RS11335-MONOMER,mg2(1),Homology
FY484_RS10850-MONOMER_mod_mg2(1),FY484_RS10850-MONOMER,mg2(1),Homology
FY484_RS02855-MONOMER_mod_pydx5p(1),FY484_RS02855-MONOMER,pydx5p(1),Homology
FY484_RS00610-MONOMER_mod_dpm(1),FY484_RS00610-MONOMER,dpm(1),Homology
FY484_RS00145-MONOMER_mod_4fe4s(1),FY484_RS00145-MONOMER,4fe4s(1),Homology
FY484_RS08000-MONOMER_mod_mg2(1),FY484_RS08000-MONOMER,mg2(1),Homology
FY484_RS11320-MONOMER_mod_mg2(1),FY484_RS11320-MONOMER,mg2(1),Homology
FY484_RS05890-MONOMER_mod_pydx5p(1),FY484_RS05890-MONOMER,pydx5p(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1),FY484_RS10080-MONOMER,pan4p(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_ac(1),FY484_RS10080-MONOMER,pan4p(1) AND ac(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_mal(1),FY484_RS10080-MONOMER,pan4p(1) AND mal(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_but2e(1),FY484_RS10080-MONOMER,pan4p(1) AND but2e(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_act(1),FY484_RS10080-MONOMER,pan4p(1) AND act(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_but(1),FY484_RS10080-MONOMER,pan4p(1) AND but(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_3ha(1),FY484_RS10080-MONOMER,pan4p(1) AND 3ha(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_egme(1),FY484_RS10080-MONOMER,pan4p(1) AND egme(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_ogme(1),FY484_RS10080-MONOMER,pan4p(1) AND ogme(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_gme(1),FY484_RS10080-MONOMER,pan4p(1) AND gme(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_hgme(1),FY484_RS10080-MONOMER,pan4p(1) AND hgme(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_thex2e(1),FY484_RS10080-MONOMER,pan4p(1) AND thex2e(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_3ohex(1),FY484_RS10080-MONOMER,pan4p(1) AND 3ohex(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_hex(1),FY484_RS10080-MONOMER,pan4p(1) AND hex(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_3hhex(1),FY484_RS10080-MONOMER,pan4p(1) AND 3hhex(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_pim(1),FY484_RS10080-MONOMER,pan4p(1) AND pim(1),Homology
FY484_RS10080-MONOMER_mod_pan4p(1)_mod_epme(1),FY484_RS10080-MONOMER,pan4p(1) AND epme(1),Homology
